,FBtr0082376_FBgn0040255,FBtr0308027_FBgn0040253,FBtr0085813_FBgn0051002,FBtr0082375_FBgn0026314,FBtr0082374_FBgn0026315,FBtr0303507_FBgn0039086,FBtr0084419_FBgn0039086,FBtr0084418_FBgn0039087,FBtr0084420_FBgn0039085,FBtr0335217_FBgn0040252,FBtr0082340_FBgn0040252,FBtr0082373_FBgn0040250,FBtr0082338_FBgn0040259,FBtr0082337_FBgn0040257,FBtr0082378_FBgn0040251,FBtr0346101_FBgn0040251,FBtr0075037_FBgn0036842,FBtr0332648_FBgn0036842,FBtr0082657_FBgn0038082,FBtr0302379_FBgn0038083,FBtr0081372_FBgn0026756,FBtr0079242_FBgn0026755,FBtr0080909_FBgn0040262,FBtr0331620_FBgn0040262,FBtr0087076_FBgn0026754,FBtr0080910_FBgn0040261,FBtr0344850_FBgn0040260,FBtr0080911_FBgn0040260,FBtr0080912_FBgn0040260,FBtr0289952_FBgn0031887,FBtr0073204_FBgn0042179,FBtr0332979_FBgn0042179,C07A9.6.1_WBGene00007402
FBtr0082340_FBgn0040252,0.42,0.56,0.56,0.56,0.56,0.56,0.56,0.42,0.56,0.6,1.0,0.55,0.56,0.42,0.56,0.56,0.21,0.21,0.14,0.14,0.14,0.14,0.27,0.27,0.14,0.14,0.14,0.14,0.14,0.22,0.13,0.13,0.19
FBtr0082373_FBgn0040250,0.42,0.55,0.55,0.55,0.55,0.55,0.55,0.42,0.55,0.55,0.55,1.0,0.55,0.42,0.55,0.55,0.21,0.21,0.14,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.23,0.13,0.13,0.19
FBtr0082338_FBgn0040259,0.42,0.56,0.56,0.56,0.56,0.55,0.55,0.42,0.55,0.56,0.56,0.55,1.0,0.44,0.57,0.57,0.21,0.21,0.14,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.22,0.13,0.13,0.19
FBtr0082337_FBgn0040257,0.82,0.42,0.42,0.42,0.42,0.42,0.42,0.35,0.42,0.42,0.42,0.42,0.44,1.0,0.43,0.43,0.19,0.19,0.14,0.14,0.14,0.14,0.24,0.24,0.15,0.14,0.14,0.14,0.14,0.21,0.13,0.13,0.19
FBtr0082378_FBgn0040251,0.42,0.56,0.56,0.56,0.56,0.55,0.55,0.42,0.55,0.56,0.56,0.55,0.57,0.43,1.0,0.6,0.21,0.21,0.14,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.22,0.13,0.13,0.2
FBtr0346101_FBgn0040251,0.42,0.56,0.56,0.56,0.56,0.55,0.55,0.42,0.55,0.56,0.56,0.55,0.57,0.43,0.6,1.0,0.21,0.21,0.14,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.22,0.13,0.13,0.2
FBtr0075037_FBgn0036842,0.19,0.21,0.21,0.21,0.21,0.21,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.21,1.0,0.84,0.11,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.32,0.1,0.1,0.12
FBtr0332648_FBgn0036842,0.19,0.21,0.21,0.21,0.21,0.21,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.21,0.84,1.0,0.11,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.32,0.1,0.1,0.12
FBtr0082657_FBgn0038082,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.11,0.11,1.0,0.58,0.57,0.57,0.17,0.17,0.56,0.56,0.57,0.57,0.57,0.12,0.54,0.54,0.09
FBtr0302379_FBgn0038083,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.11,0.11,0.58,1.0,0.57,0.57,0.17,0.17,0.56,0.56,0.57,0.57,0.57,0.12,0.54,0.54,0.09
FBtr0081372_FBgn0026756,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.57,0.57,1.0,0.57,0.16,0.16,0.57,0.56,0.56,0.56,0.56,0.12,0.54,0.54,0.1
FBtr0079242_FBgn0026755,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.11,0.11,0.57,0.57,0.57,1.0,0.16,0.16,0.56,0.56,0.57,0.57,0.57,0.11,0.54,0.54,0.09
FBtr0080909_FBgn0040262,0.23,0.28,0.28,0.28,0.27,0.28,0.28,0.23,0.27,0.27,0.27,0.28,0.28,0.24,0.28,0.28,0.11,0.11,0.17,0.17,0.16,0.16,1.0,0.8,0.18,0.16,0.17,0.17,0.17,0.12,0.14,0.14,0.14
FBtr0331620_FBgn0040262,0.23,0.28,0.28,0.28,0.27,0.28,0.28,0.23,0.27,0.27,0.27,0.28,0.28,0.24,0.28,0.28,0.11,0.11,0.17,0.17,0.16,0.16,0.8,1.0,0.18,0.16,0.17,0.17,0.17,0.12,0.14,0.14,0.14
FBtr0087076_FBgn0026754,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.12,0.12,0.56,0.56,0.57,0.56,0.18,0.18,1.0,0.56,0.56,0.56,0.56,0.12,0.54,0.54,0.09
FBtr0080910_FBgn0040261,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.11,0.11,0.56,0.56,0.56,0.56,0.16,0.16,0.56,1.0,0.57,0.57,0.57,0.11,0.54,0.54,0.09
FBtr0344850_FBgn0040260,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.11,0.11,0.57,0.57,0.56,0.57,0.17,0.17,0.56,0.57,1.0,0.6,0.6,0.11,0.54,0.54,0.09
FBtr0080911_FBgn0040260,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.11,0.11,0.57,0.57,0.56,0.57,0.17,0.17,0.56,0.57,0.6,1.0,0.6,0.11,0.54,0.54,0.09
FBtr0080912_FBgn0040260,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.11,0.11,0.57,0.57,0.56,0.57,0.17,0.17,0.56,0.57,0.6,0.6,1.0,0.11,0.54,0.54,0.09
FBtr0289952_FBgn0031887,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.23,0.22,0.21,0.22,0.22,0.32,0.32,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,1.0,0.1,0.1,0.14
FBtr0073204_FBgn0042179,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.1,0.1,0.54,0.54,0.54,0.54,0.14,0.14,0.54,0.54,0.54,0.54,0.54,0.1,1.0,0.6,0.08
FBtr0332979_FBgn0042179,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.1,0.1,0.54,0.54,0.54,0.54,0.14,0.14,0.54,0.54,0.54,0.54,0.54,0.1,0.6,1.0,0.08
C07A9.6.1_WBGene00007402,0.19,0.19,0.19,0.2,0.19,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.12,0.12,0.09,0.09,0.1,0.09,0.14,0.14,0.09,0.09,0.09,0.09,0.09,0.14,0.08,0.08,1.0
