,FBtr0300420_FBgn0028577,FBtr0072708_FBgn0028577,FBtr0072707_FBgn0028577,FBtr0072710_FBgn0028577,FBtr0301523_FBgn0028577,FBtr0300419_FBgn0028577,FBtr0072709_FBgn0028577,FBtr0300417_FBgn0028577,FBtr0300416_FBgn0028577,FBtr0300418_FBgn0028577,ENSPKIT00000012740_ENSPKIG00000012204,ENSPKIT00000012769_ENSPKIG00000012204,ENSPKIT00000012794_ENSPKIG00000012204,ENSPKIT00000012808_ENSPKIG00000012204,ENSSFOT00015030523_ENSSFOG00015019371,ENSSFOT00015030544_ENSSFOG00015019371,ENSSFOT00015030565_ENSSFOG00015019371,ENSSMAT00000027126_ENSSMAG00000016381,ENSCSET00000031474_ENSCSEG00000019887,ENSPFOT00000019355_ENSPFOG00000019217,ENSPLAT00000003249_ENSPLAG00000010754,ENSPLAT00000003261_ENSPLAG00000010754,ENSPMET00000027307_ENSPMEG00000000838,ENSPMET00000027330_ENSPMEG00000000838,ENSPMET00000034122_ENSPMEG00000000838,ENSPRET00000008343_ENSPREG00000005440,ENSPRET00000008381_ENSPREG00000005440,ENSPRET00000008396_ENSPREG00000005440,ENSXMAT00000033745_ENSXMAG00000001862,ENSXMAT00000001864_ENSXMAG00000001862,ENSXMAT00000026940_ENSXMAG00000001862,ENSXCOT00000016559_ENSXCOG00000012355,ENSGAFT00000031529_ENSGAFG00000021040,ENSGAFT00000031530_ENSGAFG00000021040,ENSFHET00000027134_ENSFHEG00000020046,ENSFHET00000027147_ENSFHEG00000020046,ENSFHET00000034279_ENSFHEG00000020046,ENSCVAT00000002844_ENSCVAG00000009386,ENSCVAT00000002857_ENSCVAG00000009386,ENSCVAT00000002865_ENSCVAG00000009386,ENSCVAT00000002872_ENSCVAG00000009386,ENSKMAT00000022857_ENSKMAG00000016745
ENSPKIT00000012740_ENSPKIG00000012204,0.59,0.59,0.59,0.59,0.59,0.59,0.52,0.59,0.59,0.59,1.0,0.99,0.97,1.0,0.9,0.89,0.9,0.74,0.88,0.89,0.92,0.91,0.91,0.92,0.89,0.9,0.9,0.88,0.92,0.89,0.87,0.91,0.92,0.89,0.91,0.92,0.91,0.92,0.92,0.92,0.9,0.92
ENSPKIT00000012769_ENSPKIG00000012204,0.57,0.57,0.57,0.57,0.57,0.57,0.5,0.57,0.57,0.57,0.99,1.0,0.99,0.99,0.89,0.9,0.89,0.75,0.88,0.9,0.91,0.9,0.9,0.91,0.9,0.91,0.89,0.87,0.91,0.89,0.88,0.89,0.91,0.89,0.92,0.91,0.9,0.91,0.91,0.91,0.89,0.91
ENSPKIT00000012794_ENSPKIG00000012204,0.59,0.59,0.59,0.59,0.59,0.59,0.52,0.59,0.59,0.59,0.97,0.99,1.0,0.97,0.88,0.89,0.87,0.73,0.86,0.88,0.9,0.91,0.91,0.9,0.88,0.89,0.9,0.86,0.89,0.88,0.89,0.91,0.89,0.88,0.9,0.9,0.91,0.89,0.89,0.89,0.91,0.89
ENSPKIT00000012808_ENSPKIG00000012204,0.59,0.59,0.59,0.59,0.59,0.59,0.52,0.59,0.59,0.59,1.0,0.99,0.97,1.0,0.9,0.89,0.9,0.74,0.88,0.89,0.92,0.91,0.91,0.92,0.89,0.9,0.9,0.88,0.92,0.89,0.87,0.91,0.92,0.89,0.91,0.92,0.91,0.92,0.92,0.92,0.9,0.92
ENSSFOT00015030523_ENSSFOG00015019371,0.56,0.56,0.56,0.56,0.56,0.56,0.49,0.56,0.56,0.56,0.9,0.89,0.88,0.9,1.0,0.99,0.95,0.71,0.85,0.86,0.89,0.88,0.88,0.89,0.86,0.89,0.87,0.85,0.89,0.86,0.84,0.87,0.89,0.86,0.88,0.89,0.88,0.89,0.89,0.89,0.87,0.89
ENSSFOT00015030544_ENSSFOG00015019371,0.55,0.55,0.55,0.55,0.55,0.55,0.48,0.55,0.55,0.55,0.89,0.9,0.89,0.89,0.99,1.0,0.94,0.72,0.85,0.87,0.88,0.87,0.87,0.88,0.87,0.89,0.86,0.84,0.88,0.86,0.85,0.86,0.88,0.86,0.89,0.88,0.87,0.88,0.88,0.88,0.86,0.88
ENSSFOT00015030565_ENSSFOG00015019371,0.59,0.59,0.59,0.59,0.59,0.59,0.53,0.59,0.59,0.59,0.9,0.89,0.87,0.9,0.95,0.94,1.0,0.7,0.84,0.85,0.88,0.87,0.87,0.88,0.85,0.86,0.86,0.9,0.88,0.85,0.84,0.87,0.88,0.85,0.87,0.89,0.87,0.88,0.88,0.88,0.87,0.88
ENSSMAT00000027126_ENSSMAG00000016381,0.46,0.46,0.46,0.46,0.46,0.46,0.39,0.46,0.46,0.46,0.74,0.75,0.73,0.74,0.71,0.72,0.7,1.0,0.73,0.74,0.76,0.74,0.74,0.76,0.74,0.75,0.75,0.73,0.75,0.74,0.73,0.74,0.76,0.74,0.77,0.76,0.74,0.75,0.75,0.75,0.74,0.76
ENSCSET00000031474_ENSCSEG00000019887,0.54,0.54,0.54,0.54,0.54,0.54,0.47,0.54,0.54,0.54,0.88,0.88,0.86,0.88,0.85,0.85,0.84,0.73,1.0,0.88,0.91,0.89,0.89,0.91,0.88,0.89,0.89,0.87,0.91,0.88,0.87,0.89,0.91,0.88,0.9,0.91,0.89,0.9,0.9,0.9,0.89,0.91
ENSPFOT00000019355_ENSPFOG00000019217,0.55,0.55,0.55,0.55,0.55,0.55,0.48,0.55,0.55,0.55,0.89,0.9,0.88,0.89,0.86,0.87,0.85,0.74,0.88,1.0,0.97,0.95,0.95,0.97,1.0,0.96,0.94,0.92,0.96,0.99,0.98,0.95,0.96,0.99,0.97,0.95,0.94,0.95,0.95,0.95,0.93,0.93
ENSPLAT00000003249_ENSPLAG00000010754,0.58,0.58,0.58,0.58,0.58,0.58,0.51,0.58,0.58,0.58,0.92,0.91,0.9,0.92,0.89,0.88,0.88,0.76,0.91,0.97,1.0,0.99,0.98,1.0,0.97,0.97,0.97,0.96,0.99,0.96,0.95,0.98,0.99,0.96,0.98,0.99,0.97,0.98,0.98,0.98,0.96,0.96
ENSPLAT00000003261_ENSPLAG00000010754,0.59,0.59,0.59,0.59,0.59,0.59,0.52,0.59,0.59,0.59,0.91,0.9,0.91,0.91,0.88,0.87,0.87,0.74,0.89,0.95,0.99,1.0,1.0,0.98,0.95,0.96,0.99,0.94,0.98,0.95,0.96,0.99,0.98,0.95,0.96,0.97,0.99,0.96,0.96,0.96,0.98,0.95
ENSPMET00000027307_ENSPMEG00000000838,0.59,0.59,0.59,0.59,0.59,0.59,0.52,0.59,0.59,0.59,0.91,0.9,0.91,0.91,0.88,0.87,0.87,0.74,0.89,0.95,0.98,1.0,1.0,0.99,0.95,0.96,0.99,0.94,0.98,0.95,0.96,0.99,0.98,0.95,0.96,0.97,0.99,0.96,0.96,0.96,0.98,0.95
ENSPMET00000027330_ENSPMEG00000000838,0.58,0.58,0.58,0.58,0.58,0.58,0.51,0.58,0.58,0.58,0.92,0.91,0.9,0.92,0.89,0.88,0.88,0.76,0.91,0.97,1.0,0.98,0.99,1.0,0.97,0.97,0.97,0.96,0.99,0.96,0.95,0.98,0.99,0.96,0.98,0.99,0.97,0.98,0.98,0.98,0.96,0.96
ENSPMET00000034122_ENSPMEG00000000838,0.55,0.55,0.55,0.55,0.55,0.55,0.48,0.55,0.55,0.55,0.89,0.9,0.88,0.89,0.86,0.87,0.85,0.74,0.88,1.0,0.97,0.95,0.95,0.97,1.0,0.96,0.94,0.92,0.96,0.99,0.98,0.95,0.96,0.99,0.97,0.95,0.94,0.94,0.94,0.94,0.93,0.93
ENSPRET00000008343_ENSPREG00000005440,0.56,0.56,0.56,0.56,0.56,0.56,0.49,0.56,0.56,0.56,0.9,0.91,0.89,0.9,0.89,0.89,0.86,0.75,0.89,0.96,0.97,0.96,0.96,0.97,0.96,1.0,0.95,0.94,0.97,0.96,0.95,0.96,0.97,0.96,0.98,0.96,0.95,0.96,0.96,0.96,0.94,0.94
ENSPRET00000008381_ENSPREG00000005440,0.59,0.59,0.59,0.59,0.59,0.59,0.52,0.59,0.59,0.59,0.9,0.89,0.9,0.9,0.87,0.86,0.86,0.75,0.89,0.94,0.97,0.99,0.99,0.97,0.94,0.95,1.0,0.95,0.97,0.94,0.95,0.99,0.97,0.94,0.95,0.96,0.98,0.96,0.96,0.96,0.97,0.94
ENSPRET00000008396_ENSPREG00000005440,0.58,0.58,0.58,0.58,0.58,0.58,0.53,0.58,0.58,0.58,0.88,0.87,0.86,0.88,0.85,0.84,0.9,0.73,0.87,0.92,0.96,0.94,0.94,0.96,0.92,0.94,0.95,1.0,0.96,0.92,0.91,0.94,0.95,0.92,0.94,0.95,0.93,0.94,0.94,0.94,0.93,0.92
ENSXMAT00000033745_ENSXMAG00000001862,0.58,0.58,0.58,0.58,0.58,0.58,0.51,0.58,0.58,0.58,0.92,0.91,0.89,0.92,0.89,0.88,0.88,0.75,0.91,0.96,0.99,0.98,0.98,0.99,0.96,0.97,0.97,0.96,1.0,0.97,0.95,0.98,0.99,0.96,0.97,0.99,0.97,0.98,0.98,0.98,0.96,0.96
ENSXMAT00000001864_ENSXMAG00000001862,0.55,0.55,0.55,0.55,0.55,0.55,0.48,0.55,0.55,0.55,0.89,0.89,0.88,0.89,0.86,0.86,0.85,0.74,0.88,0.99,0.96,0.95,0.95,0.96,0.99,0.96,0.94,0.92,0.97,1.0,0.99,0.95,0.96,0.99,0.96,0.95,0.94,0.94,0.94,0.94,0.93,0.93
ENSXMAT00000026940_ENSXMAG00000001862,0.56,0.56,0.56,0.56,0.56,0.56,0.49,0.56,0.56,0.56,0.87,0.88,0.89,0.87,0.84,0.85,0.84,0.73,0.87,0.98,0.95,0.96,0.96,0.95,0.98,0.95,0.95,0.91,0.95,0.99,1.0,0.97,0.95,0.98,0.95,0.94,0.95,0.93,0.93,0.93,0.94,0.91
ENSXCOT00000016559_ENSXCOG00000012355,0.59,0.59,0.59,0.59,0.59,0.59,0.52,0.59,0.59,0.59,0.91,0.89,0.91,0.91,0.87,0.86,0.87,0.74,0.89,0.95,0.98,0.99,0.99,0.98,0.95,0.96,0.99,0.94,0.98,0.95,0.97,1.0,0.98,0.95,0.96,0.97,0.99,0.96,0.96,0.96,0.98,0.95
ENSGAFT00000031529_ENSGAFG00000021040,0.58,0.58,0.58,0.58,0.58,0.58,0.51,0.58,0.58,0.58,0.92,0.91,0.89,0.92,0.89,0.88,0.88,0.76,0.91,0.96,0.99,0.98,0.98,0.99,0.96,0.97,0.97,0.95,0.99,0.96,0.95,0.98,1.0,0.97,0.97,0.98,0.97,0.98,0.98,0.98,0.97,0.96
ENSGAFT00000031530_ENSGAFG00000021040,0.54,0.54,0.54,0.54,0.54,0.54,0.47,0.54,0.54,0.54,0.89,0.89,0.88,0.89,0.86,0.86,0.85,0.74,0.88,0.99,0.96,0.95,0.95,0.96,0.99,0.96,0.94,0.92,0.96,0.99,0.98,0.95,0.97,1.0,0.96,0.95,0.94,0.95,0.95,0.95,0.93,0.93
ENSFHET00000027134_ENSFHEG00000020046,0.57,0.57,0.57,0.57,0.57,0.57,0.5,0.57,0.57,0.57,0.91,0.92,0.9,0.91,0.88,0.89,0.87,0.77,0.9,0.97,0.98,0.96,0.96,0.98,0.97,0.98,0.95,0.94,0.97,0.96,0.95,0.96,0.97,0.96,1.0,0.99,0.97,0.97,0.97,0.97,0.95,0.95
ENSFHET00000027147_ENSFHEG00000020046,0.58,0.58,0.58,0.58,0.58,0.58,0.51,0.58,0.58,0.58,0.92,0.91,0.9,0.92,0.89,0.88,0.89,0.76,0.91,0.95,0.99,0.97,0.97,0.99,0.95,0.96,0.96,0.95,0.99,0.95,0.94,0.97,0.98,0.95,0.99,1.0,0.99,0.98,0.98,0.98,0.96,0.96
ENSFHET00000034279_ENSFHEG00000020046,0.59,0.59,0.59,0.59,0.59,0.59,0.52,0.59,0.59,0.59,0.91,0.9,0.91,0.91,0.88,0.87,0.87,0.74,0.89,0.94,0.97,0.99,0.99,0.97,0.94,0.95,0.98,0.93,0.97,0.94,0.95,0.99,0.97,0.94,0.97,0.99,1.0,0.96,0.96,0.96,0.98,0.95
ENSCVAT00000002844_ENSCVAG00000009386,0.58,0.58,0.58,0.58,0.58,0.58,0.51,0.58,0.58,0.58,0.92,0.91,0.89,0.92,0.89,0.88,0.88,0.75,0.9,0.95,0.98,0.96,0.96,0.98,0.94,0.96,0.96,0.94,0.98,0.94,0.93,0.96,0.98,0.95,0.97,0.98,0.96,1.0,1.0,1.0,0.99,0.96
ENSCVAT00000002857_ENSCVAG00000009386,0.58,0.58,0.58,0.58,0.58,0.58,0.51,0.58,0.58,0.58,0.92,0.91,0.89,0.92,0.89,0.88,0.88,0.75,0.9,0.95,0.98,0.96,0.96,0.98,0.94,0.96,0.96,0.94,0.98,0.94,0.93,0.96,0.98,0.95,0.97,0.98,0.96,1.0,1.0,1.0,0.99,0.96
ENSCVAT00000002865_ENSCVAG00000009386,0.58,0.58,0.58,0.58,0.58,0.58,0.51,0.58,0.58,0.58,0.92,0.91,0.89,0.92,0.89,0.88,0.88,0.75,0.9,0.95,0.98,0.96,0.96,0.98,0.94,0.96,0.96,0.94,0.98,0.94,0.93,0.96,0.98,0.95,0.97,0.98,0.96,1.0,1.0,1.0,0.99,0.96
ENSCVAT00000002872_ENSCVAG00000009386,0.59,0.59,0.59,0.59,0.59,0.59,0.52,0.59,0.59,0.59,0.9,0.89,0.91,0.9,0.87,0.86,0.87,0.74,0.89,0.93,0.96,0.98,0.98,0.96,0.93,0.94,0.97,0.93,0.96,0.93,0.94,0.98,0.97,0.93,0.95,0.96,0.98,0.99,0.99,0.99,1.0,0.94
ENSKMAT00000022857_ENSKMAG00000016745,0.58,0.58,0.58,0.58,0.58,0.58,0.51,0.58,0.58,0.58,0.92,0.91,0.89,0.92,0.89,0.88,0.88,0.76,0.91,0.93,0.96,0.95,0.95,0.96,0.93,0.94,0.94,0.92,0.96,0.93,0.91,0.95,0.96,0.93,0.95,0.96,0.95,0.96,0.96,0.96,0.94,1.0
