,ENSCHAT00000035784_ENSCHAG00000015727,ENSCHAT00000035868_ENSCHAG00000015727,ENSCHAT00000035892_ENSCHAG00000015727,ENSDCDT00000039808_ENSDCDG00000021467,ENSDCDT00000039811_ENSDCDG00000021467,ENSEEET00000024157_ENSEEEG00000011580,ENSEEET00000024158_ENSEEEG00000011580,ENSEEET00000024161_ENSEEEG00000011580,ENSIPUT00000014631_ENSIPUG00000009584,ENSPNAT00000022921_ENSPNAG00000020833,ENSAMXT00000010873_ENSAMXG00000010584,ENSDART00000158046_ENSDARG00000102167,ENSDART00000180030_ENSDARG00000102167,ENSHHUT00000020049_ENSHHUG00000012084,ENSHHUT00000058392_ENSHHUG00000033688,ENSELUT00000034877_ENSELUG00000022493,ENSXMAT00000042306_ENSXMAG00000026912,ENSXCOT00000011951_ENSXCOG00000008931,ENSPRET00000027115_ENSPREG00000018136,ENSPFOT00000000113_ENSPFOG00000000128,ENSPLAT00000022559_ENSPLAG00000017965,ENSCVAT00000020604_ENSCVAG00000015584,ENSCVAT00000030617_ENSCVAG00000015584
ENSAMXT00000010873_ENSAMXG00000010584,0.54,0.54,0.46,0.58,0.5,0.58,0.54,0.42,0.58,0.58,1.0,0.58,0.58,0.54,0.59,0.54,0.54,0.29,0.54,0.17,0.08,0.54,0.54
ENSDART00000158046_ENSDARG00000102167,0.71,0.71,0.62,0.75,0.67,0.75,0.62,0.58,0.75,0.75,0.58,1.0,0.75,0.71,0.58,0.71,0.71,0.27,0.71,0.33,0.25,0.71,0.71
ENSDART00000180030_ENSDARG00000102167,0.71,0.71,0.62,0.75,0.67,0.75,0.62,0.58,0.75,0.75,0.58,0.75,1.0,0.71,0.58,0.71,0.71,0.27,0.71,0.33,0.25,0.71,0.71
ENSHHUT00000020049_ENSHHUG00000012084,0.67,0.67,0.58,0.71,0.62,0.71,0.58,0.54,0.71,0.71,0.54,0.71,0.71,1.0,0.58,0.71,0.71,0.27,0.71,0.33,0.21,0.71,0.71
ENSHHUT00000058392_ENSHHUG00000033688,0.54,0.54,0.46,0.58,0.5,0.58,0.54,0.42,0.58,0.58,0.59,0.58,0.58,0.58,1.0,0.58,0.58,0.29,0.58,0.21,0.08,0.58,0.58
ENSELUT00000034877_ENSELUG00000022493,0.67,0.67,0.58,0.71,0.62,0.71,0.58,0.54,0.71,0.71,0.54,0.71,0.71,0.71,0.58,1.0,0.71,0.27,0.71,0.33,0.21,0.71,0.71
ENSXMAT00000042306_ENSXMAG00000026912,0.67,0.67,0.58,0.71,0.62,0.71,0.58,0.54,0.71,0.71,0.54,0.71,0.71,0.71,0.58,0.71,1.0,0.27,0.71,0.33,0.21,0.71,0.71
ENSXCOT00000011951_ENSXCOG00000008931,0.23,0.23,0.21,0.27,0.19,0.27,0.25,0.14,0.27,0.27,0.29,0.27,0.27,0.27,0.29,0.27,0.27,1.0,0.27,0.04,1e-18,0.27,0.27
ENSPRET00000027115_ENSPREG00000018136,0.67,0.67,0.58,0.71,0.62,0.71,0.58,0.54,0.71,0.71,0.54,0.71,0.71,0.71,0.58,0.71,0.71,0.27,1.0,0.33,0.21,0.71,0.71
ENSPFOT00000000113_ENSPFOG00000000128,0.36,0.29,0.23,0.33,0.36,0.33,0.23,0.36,0.33,0.33,0.17,0.33,0.33,0.33,0.21,0.33,0.33,0.04,0.33,1.0,0.36,0.33,0.33
ENSPLAT00000022559_ENSPLAG00000017965,0.27,0.25,0.19,0.25,0.27,0.25,0.15,0.27,0.25,0.25,0.08,0.25,0.25,0.21,0.08,0.21,0.21,1e-18,0.21,0.36,1.0,0.21,0.21
ENSCVAT00000020604_ENSCVAG00000015584,0.67,0.67,0.58,0.71,0.62,0.71,0.58,0.54,0.71,0.71,0.54,0.71,0.71,0.71,0.58,0.71,0.71,0.27,0.71,0.33,0.21,1.0,0.75
ENSCVAT00000030617_ENSCVAG00000015584,0.67,0.67,0.58,0.71,0.62,0.71,0.58,0.54,0.71,0.71,0.54,0.71,0.71,0.71,0.58,0.71,0.71,0.27,0.71,0.33,0.21,0.75,1.0
