,FBtr0083574_FBgn0038597,F13H8.2.1_WBGene00017435,ENSHHUT00000086643_ENSHHUG00000048727,ENSPMAT00000000993_ENSPMAG00000000901,ENSCINT00000010464_ENSCING00000005068,ENSVURT00010012105_ENSVURG00010008236,ENSPCIT00000001448_ENSPCIG00000000938,ENSPCIT00000001468_ENSPCIG00000000938,ENSPCIT00000001481_ENSPCIG00000000938,ENSMEUT00000009728_ENSMEUG00000009673,ENSSHAT00000005980_ENSSHAG00000005169,ENSMODT00000006596_ENSMODG00000005243,ENSMODT00000069443_ENSMODG00000005243,ENSMNET00000057020_ENSMNEG00000039555,ENSMNET00000057027_ENSMNEG00000039555,ENSMNET00000057029_ENSMNEG00000039555,ENSMMUT00000011907_ENSMMUG00000008513,ENSMMUT00000011909_ENSMMUG00000008513,ENSMFAT00000010854_ENSMFAG00000034570,ENSMFAT00000010868_ENSMFAG00000034570,ENSMFAT00000010872_ENSMFAG00000034570,ENSTGET00000012016_ENSTGEG00000008189,ENSPANT00000023899_ENSPANG00000020680,ENSPANT00000023900_ENSPANG00000020680,ENSPANT00000056404_ENSPANG00000020680,ENSMLET00000046235_ENSMLEG00000035516,ENSMLET00000046250_ENSMLEG00000035516,ENSMLET00000046256_ENSMLEG00000035516,ENSCATT00000051977_ENSCATG00000037200,ENSCATT00000051978_ENSCATG00000037200,ENSCATT00000051980_ENSCATG00000037200,ENSCSAT00000016824_ENSCSAG00000001705,ENSPTET00000048345_ENSPTEG00000033520
ENSSHAT00000005980_ENSSHAG00000005169,0.15,0.23,0.2,0.26,0.38,0.8,0.76,0.72,0.8,0.43,1.0,0.8,0.78,0.8,0.68,0.17,0.8,0.74,0.8,0.68,0.17,0.8,0.8,0.68,0.17,0.8,0.68,0.17,0.8,0.74,0.17,0.8,0.8
ENSMODT00000006596_ENSMODG00000005243,0.15,0.24,0.2,0.28,0.39,0.91,0.85,0.81,0.91,0.47,0.8,1.0,0.91,0.92,0.76,0.17,0.92,0.85,0.92,0.76,0.17,0.92,0.92,0.76,0.17,0.92,0.76,0.17,0.92,0.85,0.17,0.92,0.92
ENSMODT00000069443_ENSMODG00000005243,0.15,0.22,0.21,0.26,0.41,0.88,0.83,0.79,0.88,0.48,0.78,0.91,1.0,0.9,0.74,0.17,0.9,0.83,0.9,0.74,0.17,0.9,0.9,0.74,0.17,0.9,0.74,0.17,0.9,0.83,0.17,0.9,0.9
ENSMNET00000057020_ENSMNEG00000039555,0.15,0.24,0.2,0.28,0.39,0.9,0.85,0.81,0.9,0.47,0.8,0.92,0.9,1.0,0.77,0.17,0.93,0.86,0.93,0.77,0.17,0.93,0.93,0.77,0.17,0.93,0.77,0.17,0.93,0.86,0.17,0.93,0.93
ENSMNET00000057027_ENSMNEG00000039555,0.15,0.24,0.2,0.28,0.35,0.75,0.7,0.68,0.75,0.42,0.68,0.76,0.74,0.77,1.0,0.17,0.77,0.83,0.77,0.93,0.17,0.77,0.77,0.93,0.17,0.77,0.93,0.17,0.77,0.83,0.17,0.77,0.77
ENSMNET00000057029_ENSMNEG00000039555,0.22,0.18,0.26,0.24,0.17,0.17,0.15,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.17,1.0,0.17,0.17,0.17,0.17,0.8,0.17,0.17,0.17,0.8,0.17,0.17,0.8,0.17,0.17,0.8,0.17,0.17
ENSMMUT00000011907_ENSMMUG00000008513,0.15,0.24,0.2,0.28,0.39,0.9,0.85,0.81,0.9,0.47,0.8,0.92,0.9,0.93,0.77,0.17,1.0,0.86,0.93,0.77,0.17,0.93,0.93,0.77,0.17,0.93,0.77,0.17,0.93,0.86,0.17,0.93,0.93
ENSMMUT00000011909_ENSMMUG00000008513,0.15,0.24,0.2,0.28,0.39,0.83,0.78,0.75,0.83,0.43,0.74,0.85,0.83,0.86,0.83,0.17,0.86,1.0,0.86,0.83,0.17,0.86,0.86,0.83,0.17,0.86,0.83,0.17,0.86,0.93,0.17,0.86,0.86
ENSMFAT00000010854_ENSMFAG00000034570,0.15,0.24,0.2,0.28,0.39,0.9,0.85,0.81,0.9,0.47,0.8,0.92,0.9,0.93,0.77,0.17,0.93,0.86,1.0,0.77,0.17,0.93,0.93,0.77,0.17,0.93,0.77,0.17,0.93,0.86,0.17,0.93,0.93
ENSMFAT00000010868_ENSMFAG00000034570,0.15,0.24,0.2,0.28,0.35,0.75,0.7,0.68,0.75,0.42,0.68,0.76,0.74,0.77,0.93,0.17,0.77,0.83,0.77,1.0,0.17,0.77,0.77,0.93,0.17,0.77,0.93,0.17,0.77,0.83,0.17,0.77,0.77
ENSMFAT00000010872_ENSMFAG00000034570,0.22,0.18,0.26,0.24,0.17,0.17,0.15,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.8,0.17,0.17,0.17,0.17,1.0,0.17,0.17,0.17,0.8,0.17,0.17,0.8,0.17,0.17,0.8,0.17,0.17
ENSTGET00000012016_ENSTGEG00000008189,0.15,0.24,0.2,0.28,0.39,0.9,0.85,0.81,0.9,0.47,0.8,0.92,0.9,0.93,0.77,0.17,0.93,0.86,0.93,0.77,0.17,1.0,0.93,0.77,0.17,0.93,0.77,0.17,0.93,0.86,0.17,0.93,0.93
ENSPANT00000023899_ENSPANG00000020680,0.15,0.24,0.2,0.28,0.39,0.9,0.85,0.81,0.9,0.47,0.8,0.92,0.9,0.93,0.77,0.17,0.93,0.86,0.93,0.77,0.17,0.93,1.0,0.77,0.17,0.93,0.77,0.17,0.93,0.86,0.17,0.93,0.93
ENSPANT00000023900_ENSPANG00000020680,0.15,0.24,0.2,0.28,0.35,0.75,0.7,0.68,0.75,0.42,0.68,0.76,0.74,0.77,0.93,0.17,0.77,0.83,0.77,0.93,0.17,0.77,0.77,1.0,0.17,0.77,0.93,0.17,0.77,0.83,0.17,0.77,0.77
ENSPANT00000056404_ENSPANG00000020680,0.22,0.18,0.26,0.24,0.17,0.17,0.15,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.8,0.17,0.17,0.17,0.17,0.8,0.17,0.17,0.17,1.0,0.17,0.17,0.8,0.17,0.17,0.8,0.17,0.17
ENSMLET00000046235_ENSMLEG00000035516,0.15,0.24,0.2,0.28,0.39,0.9,0.85,0.81,0.9,0.47,0.8,0.92,0.9,0.93,0.77,0.17,0.93,0.86,0.93,0.77,0.17,0.93,0.93,0.77,0.17,1.0,0.77,0.17,0.93,0.86,0.17,0.93,0.93
ENSMLET00000046250_ENSMLEG00000035516,0.15,0.24,0.2,0.28,0.35,0.75,0.7,0.68,0.75,0.42,0.68,0.76,0.74,0.77,0.93,0.17,0.77,0.83,0.77,0.93,0.17,0.77,0.77,0.93,0.17,0.77,1.0,0.17,0.77,0.83,0.17,0.77,0.77
ENSMLET00000046256_ENSMLEG00000035516,0.22,0.18,0.26,0.24,0.17,0.17,0.15,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.8,0.17,0.17,0.17,0.17,0.8,0.17,0.17,0.17,0.8,0.17,0.17,1.0,0.17,0.17,0.8,0.17,0.17
ENSCATT00000051977_ENSCATG00000037200,0.15,0.24,0.2,0.28,0.39,0.9,0.85,0.81,0.9,0.47,0.8,0.92,0.9,0.93,0.77,0.17,0.93,0.86,0.93,0.77,0.17,0.93,0.93,0.77,0.17,0.93,0.77,0.17,1.0,0.86,0.17,0.93,0.93
ENSCATT00000051978_ENSCATG00000037200,0.15,0.24,0.2,0.28,0.39,0.83,0.78,0.75,0.83,0.43,0.74,0.85,0.83,0.86,0.83,0.17,0.86,0.93,0.86,0.83,0.17,0.86,0.86,0.83,0.17,0.86,0.83,0.17,0.86,1.0,0.17,0.86,0.86
ENSCATT00000051980_ENSCATG00000037200,0.22,0.18,0.26,0.24,0.17,0.17,0.15,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.8,0.17,0.17,0.17,0.17,0.8,0.17,0.17,0.17,0.8,0.17,0.17,0.8,0.17,0.17,1.0,0.17,0.17
ENSCSAT00000016824_ENSCSAG00000001705,0.15,0.24,0.2,0.28,0.39,0.9,0.85,0.81,0.9,0.47,0.8,0.92,0.9,0.93,0.77,0.17,0.93,0.86,0.93,0.77,0.17,0.93,0.93,0.77,0.17,0.93,0.77,0.17,0.93,0.86,0.17,1.0,0.93
ENSPTET00000048345_ENSPTEG00000033520,0.15,0.24,0.2,0.28,0.39,0.9,0.85,0.81,0.9,0.47,0.8,0.92,0.9,0.93,0.77,0.17,0.93,0.86,0.93,0.77,0.17,0.93,0.93,0.77,0.17,0.93,0.77,0.17,0.93,0.86,0.17,0.93,1.0
