,FBtr0077685_FBgn0051694,F58B3.6.1_WBGene00010232,ENSOANT00000005620_ENSOANG00000003546,ENSVURT00010014025_ENSVURG00010009503,ENSVURT00010014039_ENSVURG00010009503,ENSPCIT00000019958_ENSPCIG00000012498,ENSPCIT00000058566_ENSPCIG00000012498,ENSPCIT00000063516_ENSPCIG00000012498,ENSMEUT00000014109_ENSMEUG00000014064,ENSSHAT00000017059_ENSSHAG00000014390,ENSSHAT00000017060_ENSSHAG00000014390,ENSMODT00000020216_ENSMODG00000015916,ENSLAFT00000004166_ENSLAFG00000004167,ENSLAFT00000029713_ENSLAFG00000004167,ENSPCAT00000013376_ENSPCAG00000013362,ENSETET00000019162_ENSETEG00000019162,ENSPPAT00000063600_ENSPPAG00000042969,ENSPTRT00000093690_ENSPTRG00000019601,ENSPTRT00000089084_ENSPTRG00000019601,ENST00000432734_ENSG00000006652,ENST00000005558_ENSG00000006652,ENST00000443101_ENSG00000006652,ENST00000445335_ENSG00000006652,ENST00000417662_ENSG00000006652,ENST00000403825_ENSG00000006652,ENST00000429071_ENSG00000006652,ENST00000476927_ENSG00000006652,ENST00000440625_ENSG00000006652,ENST00000621379_ENSG00000006652,ENST00000535603_ENSG00000006652,ENSGGOT00000030418_ENSGGOG00000000718,ENSGGOT00000049977_ENSGGOG00000000718,ENSGGOT00000000723_ENSGGOG00000000718,ENSPPYT00000033253_ENSPPYG00000029715,ENSNLET00000014451_ENSNLEG00000011280,ENSNLET00000041149_ENSNLEG00000011280,ENSMMUT00000096258_ENSMMUG00000008033,ENSMMUT00000076969_ENSMMUG00000052812,ENSMFAT00000002238_ENSMFAG00000045385,ENSMNET00000069071_ENSMNEG00000044857,ENSMNET00000069077_ENSMNEG00000044857,ENSCATT00000058979_ENSCATG00000040248,ENSMLET00000040590_ENSMLEG00000032760,ENSMLET00000040592_ENSMLEG00000032760,ENSMLET00000040599_ENSMLEG00000032760,ENSTGET00000022507_ENSTGEG00000015223,ENSTGET00000022515_ENSTGEG00000015223,ENSPANT00000054433_ENSPANG00000021877,ENSCSAT00000009208_ENSCSAG00000011121,ENSPTET00000029704_ENSPTEG00000021693
ENSSHAT00000017060_ENSSHAG00000014390,0.21,0.25,0.39,0.86,0.45,0.86,0.73,0.44,0.34,0.77,1.0,0.86,0.76,0.85,0.73,0.53,0.44,0.45,0.74,0.26,0.85,0.26,0.3,0.26,0.85,0.44,0.4,0.4,0.74,0.74,0.85,0.45,0.74,0.81,0.85,0.45,0.85,0.26,0.44,0.85,0.45,0.44,0.73,0.37,0.69,0.85,0.45,0.44,0.85,0.85
ENSMODT00000020216_ENSMODG00000015916,0.21,0.25,0.39,0.86,0.45,0.86,0.73,0.44,0.34,0.77,0.86,1.0,0.76,0.85,0.73,0.53,0.44,0.45,0.74,0.26,0.85,0.26,0.3,0.26,0.85,0.44,0.4,0.4,0.74,0.74,0.85,0.45,0.74,0.81,0.85,0.45,0.85,0.26,0.44,0.85,0.45,0.44,0.73,0.37,0.69,0.85,0.45,0.44,0.85,0.85
ENSLAFT00000004166_ENSLAFG00000004167,0.21,0.24,0.38,0.76,0.4,0.77,0.66,0.39,0.33,0.69,0.76,0.76,1.0,0.77,0.66,0.49,0.39,0.4,0.69,0.25,0.77,0.25,0.25,0.25,0.77,0.39,0.39,0.39,0.69,0.69,0.77,0.4,0.69,0.73,0.77,0.4,0.77,0.25,0.39,0.77,0.4,0.39,0.66,0.33,0.63,0.77,0.4,0.39,0.77,0.77
ENSLAFT00000029713_ENSLAFG00000004167,0.21,0.25,0.39,0.85,0.45,0.85,0.73,0.44,0.34,0.77,0.85,0.85,0.77,1.0,0.73,0.54,0.45,0.45,0.74,0.26,0.85,0.26,0.3,0.26,0.85,0.45,0.4,0.41,0.74,0.74,0.85,0.45,0.74,0.81,0.85,0.45,0.85,0.26,0.45,0.85,0.45,0.45,0.73,0.37,0.69,0.85,0.45,0.45,0.85,0.85
ENSPCAT00000013376_ENSPCAG00000013362,0.21,0.25,0.34,0.73,0.42,0.73,0.66,0.4,0.29,0.66,0.73,0.73,0.66,0.73,1.0,0.45,0.4,0.42,0.66,0.23,0.73,0.26,0.26,0.23,0.73,0.4,0.4,0.4,0.66,0.66,0.73,0.42,0.66,0.69,0.73,0.42,0.73,0.22,0.4,0.73,0.42,0.4,0.66,0.37,0.62,0.73,0.42,0.4,0.73,0.73
ENSETET00000019162_ENSETEG00000019162,0.21,0.21,0.27,0.53,0.45,0.53,0.45,0.44,0.28,0.49,0.53,0.53,0.49,0.54,0.45,1.0,0.44,0.45,0.45,0.26,0.54,0.26,0.3,0.26,0.54,0.44,0.4,0.4,0.45,0.45,0.54,0.45,0.45,0.5,0.54,0.45,0.54,0.26,0.44,0.54,0.45,0.44,0.45,0.37,0.43,0.54,0.45,0.44,0.54,0.54
ENSPPAT00000063600_ENSPPAG00000042969,0.18,0.18,0.19,0.44,0.76,0.44,0.36,0.66,0.23,0.39,0.44,0.44,0.39,0.45,0.4,0.44,1.0,0.76,0.33,0.4,0.45,0.4,0.5,0.4,0.45,0.9,0.52,0.52,0.33,0.33,0.45,0.76,0.33,0.47,0.45,0.76,0.45,0.19,1.0,0.45,0.76,1.0,0.36,0.53,0.32,0.45,0.76,1.0,0.45,0.45
ENSPTRT00000093690_ENSPTRG00000019601,0.18,0.18,0.19,0.45,0.84,0.45,0.37,0.73,0.22,0.4,0.45,0.45,0.4,0.45,0.42,0.45,0.76,1.0,0.36,0.36,0.45,0.36,0.44,0.36,0.45,0.76,0.53,0.53,0.36,0.36,0.45,1.0,0.36,0.48,0.45,1.0,0.45,0.19,0.76,0.45,1.0,0.76,0.37,0.73,0.34,0.45,1.0,0.76,0.45,0.45
ENSPTRT00000089084_ENSPTRG00000019601,0.22,0.26,0.41,0.74,0.36,0.74,0.74,0.34,0.3,0.66,0.74,0.74,0.69,0.74,0.66,0.45,0.33,0.36,1.0,0.19,0.74,0.31,0.19,0.19,0.74,0.33,0.47,0.47,0.84,0.84,0.74,0.36,0.84,0.71,0.74,0.36,0.74,0.27,0.33,0.74,0.36,0.33,0.74,0.36,0.71,0.74,0.36,0.33,0.74,0.74
ENST00000432734_ENSG00000006652,0.19,0.19,0.19,0.26,0.36,0.26,0.18,0.33,0.24,0.25,0.26,0.26,0.25,0.26,0.23,0.26,0.4,0.36,0.19,1.0,0.26,0.2,0.6,1.0,0.26,0.4,0.2,0.19,0.19,0.19,0.26,0.36,0.19,0.27,0.26,0.36,0.26,0.19,0.4,0.26,0.36,0.4,0.18,0.19,0.18,0.26,0.36,0.4,0.26,0.26
ENST00000005558_ENSG00000006652,0.21,0.25,0.39,0.85,0.45,0.85,0.73,0.44,0.34,0.77,0.85,0.85,0.77,0.85,0.73,0.54,0.45,0.45,0.74,0.26,1.0,0.26,0.3,0.26,0.86,0.45,0.4,0.41,0.74,0.74,0.86,0.45,0.74,0.81,0.86,0.45,0.86,0.26,0.45,0.86,0.45,0.45,0.73,0.37,0.69,0.86,0.45,0.45,0.86,0.86
ENST00000443101_ENSG00000006652,0.18,0.19,0.19,0.26,0.36,0.26,0.26,0.33,0.18,0.25,0.26,0.26,0.25,0.26,0.26,0.26,0.4,0.36,0.31,0.2,0.26,1.0,0.2,0.2,0.26,0.4,0.5,0.5,0.31,0.31,0.26,0.36,0.31,0.27,0.26,0.36,0.26,0.19,0.4,0.26,0.36,0.4,0.26,0.36,0.23,0.26,0.36,0.4,0.26,0.26
ENST00000445335_ENSG00000006652,0.18,0.18,0.19,0.3,0.44,0.3,0.22,0.4,0.23,0.28,0.3,0.3,0.25,0.3,0.26,0.3,0.5,0.44,0.19,0.6,0.3,0.2,1.0,0.6,0.3,0.5,0.2,0.19,0.19,0.19,0.3,0.44,0.19,0.31,0.3,0.44,0.3,0.19,0.5,0.3,0.44,0.5,0.22,0.26,0.22,0.3,0.44,0.5,0.3,0.3
ENST00000417662_ENSG00000006652,0.19,0.19,0.19,0.26,0.36,0.26,0.19,0.33,0.24,0.25,0.26,0.26,0.25,0.26,0.23,0.26,0.4,0.36,0.19,1.0,0.26,0.2,0.6,1.0,0.26,0.4,0.2,0.2,0.19,0.19,0.26,0.36,0.19,0.27,0.26,0.36,0.26,0.19,0.4,0.26,0.36,0.4,0.18,0.19,0.18,0.26,0.36,0.4,0.26,0.26
ENST00000403825_ENSG00000006652,0.21,0.25,0.39,0.85,0.45,0.85,0.73,0.44,0.34,0.77,0.85,0.85,0.77,0.85,0.73,0.54,0.45,0.45,0.74,0.26,0.86,0.26,0.3,0.26,1.0,0.45,0.4,0.41,0.74,0.74,0.86,0.45,0.74,0.81,0.86,0.45,0.86,0.26,0.45,0.86,0.45,0.45,0.73,0.37,0.69,0.86,0.45,0.45,0.86,0.86
ENST00000429071_ENSG00000006652,0.18,0.18,0.19,0.44,0.76,0.44,0.36,0.66,0.23,0.39,0.44,0.44,0.39,0.45,0.4,0.44,0.9,0.76,0.33,0.4,0.45,0.4,0.5,0.4,0.45,1.0,0.52,0.52,0.33,0.33,0.45,0.76,0.33,0.47,0.45,0.76,0.45,0.19,0.9,0.45,0.76,0.9,0.36,0.53,0.32,0.45,0.76,0.9,0.45,0.45
ENST00000476927_ENSG00000006652,0.18,0.18,0.19,0.4,0.53,0.4,0.4,0.49,0.18,0.36,0.4,0.4,0.39,0.4,0.4,0.4,0.52,0.53,0.47,0.2,0.4,0.5,0.2,0.2,0.4,0.52,1.0,0.9,0.47,0.47,0.4,0.53,0.47,0.43,0.4,0.53,0.4,0.19,0.52,0.4,0.53,0.52,0.4,0.53,0.37,0.4,0.53,0.52,0.4,0.4
ENST00000440625_ENSG00000006652,0.18,0.18,0.19,0.4,0.53,0.41,0.41,0.48,0.18,0.36,0.4,0.4,0.39,0.41,0.4,0.4,0.52,0.53,0.47,0.19,0.41,0.5,0.19,0.2,0.41,0.52,0.9,1.0,0.47,0.47,0.41,0.53,0.47,0.43,0.41,0.53,0.41,0.19,0.52,0.41,0.53,0.52,0.41,0.53,0.37,0.41,0.53,0.52,0.41,0.41
ENST00000621379_ENSG00000006652,0.22,0.26,0.41,0.74,0.36,0.74,0.74,0.34,0.3,0.66,0.74,0.74,0.69,0.74,0.66,0.45,0.33,0.36,0.84,0.19,0.74,0.31,0.19,0.19,0.74,0.33,0.47,0.47,1.0,0.84,0.74,0.36,0.84,0.71,0.74,0.36,0.74,0.27,0.33,0.74,0.36,0.33,0.74,0.36,0.71,0.74,0.36,0.33,0.74,0.74
ENST00000535603_ENSG00000006652,0.22,0.26,0.41,0.74,0.36,0.74,0.74,0.34,0.3,0.66,0.74,0.74,0.69,0.74,0.66,0.45,0.33,0.36,0.84,0.19,0.74,0.31,0.19,0.19,0.74,0.33,0.47,0.47,0.84,1.0,0.74,0.36,0.84,0.71,0.74,0.36,0.74,0.27,0.33,0.74,0.36,0.33,0.74,0.36,0.71,0.74,0.36,0.33,0.74,0.74
ENSGGOT00000030418_ENSGGOG00000000718,0.21,0.25,0.39,0.85,0.45,0.85,0.73,0.44,0.34,0.77,0.85,0.85,0.77,0.85,0.73,0.54,0.45,0.45,0.74,0.26,0.86,0.26,0.3,0.26,0.86,0.45,0.4,0.41,0.74,0.74,1.0,0.45,0.74,0.81,0.86,0.45,0.86,0.26,0.45,0.86,0.45,0.45,0.73,0.37,0.69,0.86,0.45,0.45,0.86,0.86
ENSGGOT00000049977_ENSGGOG00000000718,0.18,0.18,0.19,0.45,0.84,0.45,0.37,0.73,0.22,0.4,0.45,0.45,0.4,0.45,0.42,0.45,0.76,1.0,0.36,0.36,0.45,0.36,0.44,0.36,0.45,0.76,0.53,0.53,0.36,0.36,0.45,1.0,0.36,0.48,0.45,1.0,0.45,0.19,0.76,0.45,1.0,0.76,0.37,0.73,0.34,0.45,1.0,0.76,0.45,0.45
ENSGGOT00000000723_ENSGGOG00000000718,0.22,0.26,0.41,0.74,0.36,0.74,0.74,0.34,0.3,0.66,0.74,0.74,0.69,0.74,0.66,0.45,0.33,0.36,0.84,0.19,0.74,0.31,0.19,0.19,0.74,0.33,0.47,0.47,0.84,0.84,0.74,0.36,1.0,0.71,0.74,0.36,0.74,0.27,0.33,0.74,0.36,0.33,0.74,0.36,0.71,0.74,0.36,0.33,0.74,0.74
ENSPPYT00000033253_ENSPPYG00000029715,0.18,0.22,0.36,0.81,0.48,0.81,0.69,0.45,0.32,0.73,0.81,0.81,0.73,0.81,0.69,0.5,0.47,0.48,0.71,0.27,0.81,0.27,0.31,0.27,0.81,0.47,0.43,0.43,0.71,0.71,0.81,0.48,0.71,1.0,0.81,0.48,0.81,0.27,0.47,0.81,0.48,0.47,0.69,0.39,0.66,0.81,0.48,0.47,0.81,0.81
ENSNLET00000014451_ENSNLEG00000011280,0.21,0.25,0.39,0.85,0.45,0.85,0.73,0.44,0.34,0.77,0.85,0.85,0.77,0.85,0.73,0.54,0.45,0.45,0.74,0.26,0.86,0.26,0.3,0.26,0.86,0.45,0.4,0.41,0.74,0.74,0.86,0.45,0.74,0.81,1.0,0.45,0.86,0.26,0.45,0.86,0.45,0.45,0.73,0.37,0.69,0.86,0.45,0.45,0.86,0.86
ENSNLET00000041149_ENSNLEG00000011280,0.18,0.18,0.19,0.45,0.84,0.45,0.37,0.73,0.22,0.4,0.45,0.45,0.4,0.45,0.42,0.45,0.76,1.0,0.36,0.36,0.45,0.36,0.44,0.36,0.45,0.76,0.53,0.53,0.36,0.36,0.45,1.0,0.36,0.48,0.45,1.0,0.45,0.19,0.76,0.45,1.0,0.76,0.37,0.73,0.34,0.45,1.0,0.76,0.45,0.45
ENSMMUT00000096258_ENSMMUG00000008033,0.21,0.25,0.39,0.85,0.45,0.85,0.73,0.44,0.34,0.77,0.85,0.85,0.77,0.85,0.73,0.54,0.45,0.45,0.74,0.26,0.86,0.26,0.3,0.26,0.86,0.45,0.4,0.41,0.74,0.74,0.86,0.45,0.74,0.81,0.86,0.45,1.0,0.26,0.45,0.86,0.45,0.45,0.73,0.37,0.69,0.86,0.45,0.45,0.86,0.86
ENSMMUT00000076969_ENSMMUG00000052812,0.19,0.19,0.33,0.26,0.19,0.26,0.26,0.19,0.24,0.25,0.26,0.26,0.25,0.26,0.22,0.26,0.19,0.19,0.27,0.19,0.26,0.19,0.19,0.19,0.26,0.19,0.19,0.19,0.27,0.27,0.26,0.19,0.27,0.27,0.26,0.19,0.26,1.0,0.19,0.26,0.19,0.19,0.26,0.19,0.26,0.26,0.19,0.19,0.26,0.26
ENSMFAT00000002238_ENSMFAG00000045385,0.18,0.18,0.19,0.44,0.76,0.44,0.36,0.66,0.23,0.39,0.44,0.44,0.39,0.45,0.4,0.44,1.0,0.76,0.33,0.4,0.45,0.4,0.5,0.4,0.45,0.9,0.52,0.52,0.33,0.33,0.45,0.76,0.33,0.47,0.45,0.76,0.45,0.19,1.0,0.45,0.76,1.0,0.36,0.53,0.32,0.45,0.76,1.0,0.45,0.45
ENSMNET00000069071_ENSMNEG00000044857,0.21,0.25,0.39,0.85,0.45,0.85,0.73,0.44,0.34,0.77,0.85,0.85,0.77,0.85,0.73,0.54,0.45,0.45,0.74,0.26,0.86,0.26,0.3,0.26,0.86,0.45,0.4,0.41,0.74,0.74,0.86,0.45,0.74,0.81,0.86,0.45,0.86,0.26,0.45,1.0,0.45,0.45,0.73,0.37,0.69,0.86,0.45,0.45,0.86,0.86
ENSMNET00000069077_ENSMNEG00000044857,0.18,0.18,0.19,0.45,0.84,0.45,0.37,0.73,0.22,0.4,0.45,0.45,0.4,0.45,0.42,0.45,0.76,1.0,0.36,0.36,0.45,0.36,0.44,0.36,0.45,0.76,0.53,0.53,0.36,0.36,0.45,1.0,0.36,0.48,0.45,1.0,0.45,0.19,0.76,0.45,1.0,0.76,0.37,0.73,0.34,0.45,1.0,0.76,0.45,0.45
ENSCATT00000058979_ENSCATG00000040248,0.18,0.18,0.19,0.44,0.76,0.44,0.36,0.66,0.23,0.39,0.44,0.44,0.39,0.45,0.4,0.44,1.0,0.76,0.33,0.4,0.45,0.4,0.5,0.4,0.45,0.9,0.52,0.52,0.33,0.33,0.45,0.76,0.33,0.47,0.45,0.76,0.45,0.19,1.0,0.45,0.76,1.0,0.36,0.53,0.32,0.45,0.76,1.0,0.45,0.45
ENSMLET00000040590_ENSMLEG00000032760,0.21,0.25,0.39,0.73,0.37,0.73,0.73,0.36,0.29,0.66,0.73,0.73,0.66,0.73,0.66,0.45,0.36,0.37,0.74,0.18,0.73,0.26,0.22,0.18,0.73,0.36,0.4,0.41,0.74,0.74,0.73,0.37,0.74,0.69,0.73,0.37,0.73,0.26,0.36,0.73,0.37,0.36,1.0,0.45,0.69,0.73,0.37,0.36,0.73,0.73
ENSMLET00000040592_ENSMLEG00000032760,0.18,0.18,0.19,0.37,0.6,0.37,0.37,0.54,0.18,0.33,0.37,0.37,0.33,0.37,0.37,0.37,0.53,0.73,0.36,0.19,0.37,0.36,0.26,0.19,0.37,0.53,0.53,0.53,0.36,0.36,0.37,0.73,0.36,0.39,0.37,0.73,0.37,0.19,0.53,0.37,0.73,0.53,0.45,1.0,0.34,0.37,0.73,0.53,0.37,0.37
ENSMLET00000040599_ENSMLEG00000032760,0.21,0.25,0.39,0.69,0.34,0.69,0.69,0.33,0.29,0.63,0.69,0.69,0.63,0.69,0.62,0.43,0.32,0.34,0.71,0.18,0.69,0.23,0.22,0.18,0.69,0.32,0.37,0.37,0.71,0.71,0.69,0.34,0.71,0.66,0.69,0.34,0.69,0.26,0.32,0.69,0.34,0.32,0.69,0.34,1.0,0.69,0.34,0.32,0.69,0.69
ENSTGET00000022507_ENSTGEG00000015223,0.21,0.25,0.39,0.85,0.45,0.85,0.73,0.44,0.34,0.77,0.85,0.85,0.77,0.85,0.73,0.54,0.45,0.45,0.74,0.26,0.86,0.26,0.3,0.26,0.86,0.45,0.4,0.41,0.74,0.74,0.86,0.45,0.74,0.81,0.86,0.45,0.86,0.26,0.45,0.86,0.45,0.45,0.73,0.37,0.69,1.0,0.45,0.45,0.86,0.86
ENSTGET00000022515_ENSTGEG00000015223,0.18,0.18,0.19,0.45,0.84,0.45,0.37,0.73,0.22,0.4,0.45,0.45,0.4,0.45,0.42,0.45,0.76,1.0,0.36,0.36,0.45,0.36,0.44,0.36,0.45,0.76,0.53,0.53,0.36,0.36,0.45,1.0,0.36,0.48,0.45,1.0,0.45,0.19,0.76,0.45,1.0,0.76,0.37,0.73,0.34,0.45,1.0,0.76,0.45,0.45
ENSPANT00000054433_ENSPANG00000021877,0.18,0.18,0.19,0.44,0.76,0.44,0.36,0.66,0.23,0.39,0.44,0.44,0.39,0.45,0.4,0.44,1.0,0.76,0.33,0.4,0.45,0.4,0.5,0.4,0.45,0.9,0.52,0.52,0.33,0.33,0.45,0.76,0.33,0.47,0.45,0.76,0.45,0.19,1.0,0.45,0.76,1.0,0.36,0.53,0.32,0.45,0.76,1.0,0.45,0.45
ENSCSAT00000009208_ENSCSAG00000011121,0.21,0.25,0.39,0.85,0.45,0.85,0.73,0.44,0.34,0.77,0.85,0.85,0.77,0.85,0.73,0.54,0.45,0.45,0.74,0.26,0.86,0.26,0.3,0.26,0.86,0.45,0.4,0.41,0.74,0.74,0.86,0.45,0.74,0.81,0.86,0.45,0.86,0.26,0.45,0.86,0.45,0.45,0.73,0.37,0.69,0.86,0.45,0.45,1.0,0.86
ENSPTET00000029704_ENSPTEG00000021693,0.21,0.25,0.39,0.85,0.45,0.85,0.73,0.44,0.34,0.77,0.85,0.85,0.77,0.85,0.73,0.54,0.45,0.45,0.74,0.26,0.86,0.26,0.3,0.26,0.86,0.45,0.4,0.41,0.74,0.74,0.86,0.45,0.74,0.81,0.86,0.45,0.86,0.26,0.45,0.86,0.45,0.45,0.73,0.37,0.69,0.86,0.45,0.45,0.86,1.0
