,ENSPCIT00000023503_ENSPCIG00000014553,ENSPCIT00000056567_ENSPCIG00000014553,ENSPCIT00000064645_ENSPCIG00000014553,ENSVURT00010004702_ENSVURG00010003320,ENSSHAT00000014406_ENSSHAG00000012209,ENSMODT00000042628_ENSMODG00000029138,ENSMODT00000064571_ENSMODG00000029138,ENSLAFT00000016006_ENSLAFG00000016007,ENST00000612610_ENSG00000277117,ENST00000623960_ENSG00000277117,ENST00000623795_ENSG00000277117,ENST00000620481_ENSG00000277117,ENST00000344330_ENSG00000160223,ENST00000407780_ENSG00000160223,ENST00000400379_ENSG00000160223,ENST00000400377_ENSG00000160223,ENSPPAT00000050003_ENSPPAG00000036658,ENSPPAT00000050006_ENSPPAG00000036658,ENSPTRT00000111015_ENSPTRG00000013972,ENSPTRT00000063935_ENSPTRG00000013972,ENSGGOT00000057825_ENSGGOG00000012425,ENSGGOT00000030068_ENSGGOG00000012425,ENSPPYT00000033846_ENSPPYG00000011481,ENSNLET00000051095_ENSNLEG00000033148,ENSNLET00000060081_ENSNLEG00000033148,ENSNLET00000049296_ENSNLEG00000033148,ENSMMUT00000054194_ENSMMUG00000010647,ENSMNET00000034686_ENSMNEG00000029638,ENSCATT00000026698_ENSCATG00000023031,ENSCATT00000026734_ENSCATG00000023031,ENSPANT00000015073_ENSPANG00000017861,ENSPANT00000049896_ENSPANG00000017861,ENSTGET00000028894_ENSTGEG00000019592,ENSTGET00000028900_ENSTGEG00000019592,ENSCSAT00000005927_ENSCSAG00000007876,ENSRBIT00000062548_ENSRBIG00000042775,ENSRBIT00000062550_ENSRBIG00000042775,ENSRBIT00000062551_ENSRBIG00000042775,ENSRROT00000050268_ENSRROG00000036751
ENST00000623795_ENSG00000277117,0.65,0.53,0.44,0.65,0.65,0.65,0.58,0.33,0.66,0.76,1.0,0.81,0.66,0.76,0.45,0.93,0.69,0.85,0.55,0.64,0.75,0.93,0.63,0.65,0.74,0.92,0.74,0.74,0.74,0.92,0.74,0.92,0.74,0.92,0.74,0.74,0.68,0.92,0.62
ENST00000620481_ENSG00000277117,0.56,0.44,0.44,0.55,0.55,0.55,0.49,0.32,0.76,0.66,0.81,1.0,0.76,0.66,0.44,0.81,0.6,0.75,0.64,0.55,0.65,0.81,0.54,0.74,0.65,0.8,0.64,0.64,0.64,0.8,0.64,0.8,0.64,0.8,0.64,0.64,0.58,0.8,0.53
ENST00000344330_ENSG00000160223,0.67,0.53,0.52,0.66,0.66,0.66,0.61,0.43,0.97,0.86,0.66,0.76,1.0,0.86,0.64,0.66,0.8,0.6,0.85,0.74,0.86,0.65,0.67,0.96,0.85,0.65,0.84,0.84,0.84,0.64,0.84,0.64,0.84,0.64,0.84,0.84,0.78,0.64,0.66
ENST00000407780_ENSG00000160223,0.78,0.62,0.53,0.77,0.77,0.77,0.71,0.44,0.86,0.97,0.76,0.66,0.86,1.0,0.65,0.76,0.89,0.69,0.74,0.85,0.97,0.75,0.76,0.85,0.96,0.74,0.95,0.95,0.95,0.74,0.95,0.74,0.95,0.74,0.95,0.95,0.88,0.74,0.75
ENST00000400379_ENSG00000160223,0.46,0.34,0.39,0.46,0.46,0.46,0.41,0.25,0.64,0.65,0.45,0.44,0.64,0.65,1.0,0.45,0.59,0.41,0.53,0.54,0.64,0.45,0.48,0.63,0.63,0.44,0.63,0.63,0.63,0.44,0.63,0.44,0.63,0.44,0.63,0.63,0.57,0.44,0.47
ENST00000400377_ENSG00000160223,0.65,0.53,0.44,0.65,0.65,0.65,0.58,0.33,0.66,0.76,0.93,0.81,0.66,0.76,0.45,1.0,0.69,0.85,0.55,0.64,0.75,0.93,0.63,0.65,0.74,0.92,0.74,0.74,0.74,0.92,0.74,0.92,0.74,0.92,0.74,0.74,0.68,0.92,0.62
ENSPPAT00000050003_ENSPPAG00000036658,0.7,0.56,0.49,0.7,0.7,0.7,0.67,0.44,0.8,0.89,0.69,0.6,0.8,0.89,0.59,0.69,1.0,0.77,0.72,0.81,0.89,0.69,0.71,0.79,0.88,0.68,0.87,0.87,0.87,0.68,0.87,0.68,0.87,0.68,0.87,0.87,0.84,0.68,0.7
ENSPPAT00000050006_ENSPPAG00000036658,0.59,0.48,0.41,0.59,0.58,0.58,0.56,0.33,0.6,0.69,0.85,0.75,0.6,0.69,0.41,0.85,0.77,1.0,0.52,0.6,0.69,0.85,0.57,0.6,0.68,0.84,0.68,0.68,0.68,0.84,0.68,0.84,0.68,0.84,0.68,0.68,0.65,0.84,0.57
ENSPTRT00000111015_ENSPTRG00000013972,0.59,0.45,0.44,0.59,0.59,0.59,0.56,0.5,0.85,0.74,0.55,0.64,0.85,0.74,0.53,0.55,0.72,0.52,1.0,0.87,0.74,0.54,0.56,0.85,0.74,0.54,0.73,0.73,0.73,0.54,0.73,0.54,0.73,0.54,0.73,0.73,0.7,0.54,0.56
ENSPTRT00000063935_ENSPTRG00000013972,0.69,0.53,0.45,0.69,0.69,0.69,0.65,0.51,0.74,0.85,0.64,0.55,0.74,0.85,0.54,0.64,0.81,0.6,0.87,1.0,0.85,0.64,0.65,0.74,0.85,0.63,0.84,0.84,0.84,0.63,0.84,0.63,0.84,0.63,0.84,0.84,0.8,0.63,0.64
ENSGGOT00000057825_ENSGGOG00000012425,0.78,0.62,0.53,0.77,0.77,0.77,0.71,0.44,0.86,0.97,0.75,0.65,0.86,0.97,0.64,0.75,0.89,0.69,0.74,0.85,1.0,0.76,0.76,0.85,0.96,0.75,0.95,0.95,0.95,0.74,0.95,0.74,0.95,0.74,0.95,0.95,0.88,0.74,0.75
ENSGGOT00000030068_ENSGGOG00000012425,0.65,0.53,0.44,0.65,0.65,0.64,0.58,0.33,0.65,0.75,0.93,0.81,0.65,0.75,0.45,0.93,0.69,0.85,0.54,0.64,0.76,1.0,0.63,0.65,0.75,0.92,0.74,0.74,0.74,0.92,0.74,0.92,0.74,0.92,0.74,0.74,0.68,0.92,0.62
ENSPPYT00000033846_ENSPPYG00000011481,0.62,0.76,0.62,0.61,0.61,0.62,0.55,0.43,0.67,0.76,0.63,0.54,0.67,0.76,0.48,0.63,0.71,0.57,0.56,0.65,0.76,0.63,1.0,0.67,0.76,0.63,0.75,0.75,0.75,0.62,0.75,0.62,0.75,0.62,0.75,0.75,0.68,0.62,0.9
ENSNLET00000051095_ENSNLEG00000033148,0.66,0.52,0.52,0.66,0.66,0.66,0.61,0.44,0.96,0.85,0.65,0.74,0.96,0.85,0.63,0.65,0.79,0.6,0.85,0.74,0.85,0.65,0.67,1.0,0.86,0.66,0.84,0.84,0.84,0.64,0.84,0.64,0.84,0.64,0.84,0.84,0.77,0.64,0.66
ENSNLET00000060081_ENSNLEG00000033148,0.77,0.61,0.52,0.77,0.77,0.77,0.7,0.44,0.85,0.96,0.74,0.65,0.85,0.96,0.63,0.74,0.88,0.68,0.74,0.85,0.96,0.75,0.76,0.86,1.0,0.76,0.95,0.95,0.95,0.74,0.95,0.74,0.95,0.74,0.95,0.95,0.88,0.74,0.75
ENSNLET00000049296_ENSNLEG00000033148,0.65,0.53,0.44,0.65,0.65,0.64,0.58,0.33,0.65,0.74,0.92,0.8,0.65,0.74,0.44,0.92,0.68,0.84,0.54,0.63,0.75,0.92,0.63,0.66,0.76,1.0,0.74,0.74,0.74,0.92,0.74,0.92,0.74,0.92,0.74,0.74,0.67,0.92,0.62
ENSMMUT00000054194_ENSMMUG00000010647,0.77,0.62,0.52,0.77,0.77,0.77,0.7,0.44,0.84,0.95,0.74,0.64,0.84,0.95,0.63,0.74,0.87,0.68,0.73,0.84,0.95,0.74,0.75,0.84,0.95,0.74,1.0,0.97,0.97,0.75,0.97,0.75,0.97,0.75,0.96,0.96,0.89,0.75,0.76
ENSMNET00000034686_ENSMNEG00000029638,0.77,0.62,0.53,0.77,0.77,0.77,0.7,0.44,0.84,0.95,0.74,0.64,0.84,0.95,0.63,0.74,0.87,0.68,0.73,0.84,0.95,0.74,0.75,0.84,0.95,0.74,0.97,1.0,0.97,0.75,0.97,0.75,0.97,0.75,0.96,0.96,0.89,0.75,0.76
ENSCATT00000026698_ENSCATG00000023031,0.77,0.62,0.52,0.77,0.77,0.77,0.7,0.44,0.84,0.95,0.74,0.64,0.84,0.95,0.63,0.74,0.87,0.68,0.73,0.84,0.95,0.74,0.75,0.84,0.95,0.74,0.97,0.97,1.0,0.76,0.97,0.75,0.97,0.75,0.96,0.96,0.89,0.75,0.76
ENSCATT00000026734_ENSCATG00000023031,0.65,0.53,0.44,0.65,0.65,0.64,0.58,0.33,0.64,0.74,0.92,0.8,0.64,0.74,0.44,0.92,0.68,0.84,0.54,0.63,0.74,0.92,0.62,0.64,0.74,0.92,0.75,0.75,0.76,1.0,0.75,0.93,0.75,0.93,0.75,0.75,0.68,0.93,0.63
ENSPANT00000015073_ENSPANG00000017861,0.77,0.62,0.53,0.77,0.77,0.77,0.7,0.44,0.84,0.95,0.74,0.64,0.84,0.95,0.63,0.74,0.87,0.68,0.73,0.84,0.95,0.74,0.75,0.84,0.95,0.74,0.97,0.97,0.97,0.75,1.0,0.76,0.97,0.75,0.96,0.96,0.89,0.75,0.76
ENSPANT00000049896_ENSPANG00000017861,0.65,0.53,0.44,0.65,0.65,0.64,0.58,0.33,0.64,0.74,0.92,0.8,0.64,0.74,0.44,0.92,0.68,0.84,0.54,0.63,0.74,0.92,0.62,0.64,0.74,0.92,0.75,0.75,0.75,0.93,0.76,1.0,0.75,0.93,0.75,0.75,0.68,0.93,0.63
ENSTGET00000028894_ENSTGEG00000019592,0.77,0.61,0.52,0.77,0.77,0.77,0.7,0.44,0.84,0.95,0.74,0.64,0.84,0.95,0.63,0.74,0.87,0.68,0.73,0.84,0.95,0.74,0.75,0.84,0.95,0.74,0.97,0.97,0.97,0.75,0.97,0.75,1.0,0.76,0.96,0.96,0.89,0.75,0.76
ENSTGET00000028900_ENSTGEG00000019592,0.65,0.53,0.44,0.65,0.65,0.64,0.58,0.33,0.64,0.74,0.92,0.8,0.64,0.74,0.44,0.92,0.68,0.84,0.54,0.63,0.74,0.92,0.62,0.64,0.74,0.92,0.75,0.75,0.75,0.93,0.75,0.93,0.76,1.0,0.75,0.75,0.68,0.93,0.63
ENSCSAT00000005927_ENSCSAG00000007876,0.78,0.62,0.53,0.77,0.77,0.77,0.71,0.44,0.84,0.95,0.74,0.64,0.84,0.95,0.63,0.74,0.87,0.68,0.73,0.84,0.95,0.74,0.75,0.84,0.95,0.74,0.96,0.96,0.96,0.75,0.96,0.75,0.96,0.75,1.0,0.96,0.89,0.75,0.76
ENSRBIT00000062548_ENSRBIG00000042775,0.77,0.62,0.53,0.77,0.77,0.77,0.7,0.44,0.84,0.95,0.74,0.64,0.84,0.95,0.63,0.74,0.87,0.68,0.73,0.84,0.95,0.74,0.75,0.84,0.95,0.74,0.96,0.96,0.96,0.75,0.96,0.75,0.96,0.75,0.96,1.0,0.9,0.76,0.77
ENSRBIT00000062550_ENSRBIG00000042775,0.71,0.56,0.47,0.71,0.7,0.7,0.77,0.46,0.78,0.88,0.68,0.58,0.78,0.88,0.57,0.68,0.84,0.65,0.7,0.8,0.88,0.68,0.68,0.77,0.88,0.67,0.89,0.89,0.89,0.68,0.89,0.68,0.89,0.68,0.89,0.9,1.0,0.69,0.7
ENSRBIT00000062551_ENSRBIG00000042775,0.65,0.53,0.44,0.65,0.65,0.64,0.58,0.33,0.64,0.74,0.92,0.8,0.64,0.74,0.44,0.92,0.68,0.84,0.54,0.63,0.74,0.92,0.62,0.64,0.74,0.92,0.75,0.75,0.75,0.93,0.75,0.93,0.75,0.93,0.75,0.76,0.69,1.0,0.63
ENSRROT00000050268_ENSRROG00000036751,0.62,0.76,0.62,0.61,0.61,0.61,0.55,0.43,0.66,0.75,0.62,0.53,0.66,0.75,0.47,0.62,0.7,0.57,0.56,0.64,0.75,0.62,0.9,0.66,0.75,0.62,0.76,0.76,0.76,0.63,0.76,0.63,0.76,0.63,0.76,0.77,0.7,0.63,1.0
