,ENSVURT00010020571_ENSVURG00010013829,ENSSHAT00000007686_ENSSHAG00000006626,ENSMODT00000044445_ENSMODG00000028096,ENSSHAT00000009010_ENSSHAG00000007740,ENSVURT00010020603_ENSVURG00010013838,ENSDNOT00000001795_ENSDNOG00000001797,ENSCHOT00000000559_ENSCHOG00000000553,ENSPCAT00000007640_ENSPCAG00000007656,ENSETET00000010263_ENSETEG00000010263,ENSPTRT00000055218_ENSPTRG00000028413,ENSPPAT00000056237_ENSPPAG00000039543,ENST00000422698_ENSG00000204403,ENSGGOT00000012117_ENSGGOG00000012075,ENSPPYT00000004547_ENSPPYG00000003823,ENSCATT00000041830_ENSCATG00000032709,ENSCATT00000041833_ENSCATG00000032709,ENSTGET00000021820_ENSTGEG00000014774,ENSPANT00000014171_ENSPANG00000003600,ENSPANT00000040730_ENSPANG00000003600,ENSMFAT00000053683_ENSMFAG00000019805,ENSMFAT00000053779_ENSMFAG00000019805,ENSMFAT00000053987_ENSMFAG00000019805,ENSMNET00000041090_ENSMNEG00000032441,ENSMNET00000041101_ENSMNEG00000032441,ENSMMUT00000055572_ENSMMUG00000016548,ENSMMUT00000023241_ENSMMUG00000016548,ENSMMUT00000082067_ENSMMUG00000016548,ENSMMUT00000078926_ENSMMUG00000016548,ENSCSAT00000001112_ENSCSAG00000003084
ENSPPAT00000056237_ENSPPAG00000039543,0.7,0.75,0.71,0.68,0.61,0.79,0.6,0.73,0.44,0.97,1.0,0.97,0.9,0.78,0.77,0.67,0.77,0.77,0.67,0.7,0.77,0.67,0.77,0.67,0.83,0.76,0.77,0.68,0.77
ENST00000422698_ENSG00000204403,0.7,0.75,0.71,0.68,0.61,0.78,0.6,0.73,0.45,0.97,0.97,1.0,0.9,0.78,0.77,0.67,0.77,0.77,0.67,0.7,0.77,0.67,0.77,0.67,0.83,0.76,0.77,0.68,0.77
ENSGGOT00000012117_ENSGGOG00000012075,0.7,0.71,0.74,0.71,0.61,0.74,0.57,0.69,0.45,0.9,0.9,0.9,1.0,0.77,0.77,0.66,0.77,0.77,0.66,0.69,0.77,0.66,0.77,0.66,0.77,0.71,0.77,0.67,0.77
ENSPPYT00000004547_ENSPPYG00000003823,0.78,0.74,0.74,0.66,0.56,0.84,0.48,0.6,0.36,0.78,0.78,0.78,0.77,1.0,0.96,0.84,0.96,0.96,0.84,0.87,0.96,0.84,0.96,0.84,0.92,0.85,0.96,0.85,0.96
ENSCATT00000041830_ENSCATG00000032709,0.78,0.74,0.74,0.65,0.56,0.84,0.48,0.6,0.36,0.77,0.77,0.77,0.77,0.96,1.0,0.85,0.98,0.98,0.85,0.88,0.98,0.85,0.97,0.85,0.93,0.86,0.98,0.86,0.97
ENSCATT00000041833_ENSCATG00000032709,0.68,0.65,0.65,0.57,0.54,0.74,0.41,0.58,0.29,0.67,0.67,0.67,0.66,0.84,0.85,1.0,0.85,0.85,0.96,0.85,0.85,0.96,0.85,0.96,0.82,0.83,0.85,0.83,0.85
ENSTGET00000021820_ENSTGEG00000014774,0.78,0.74,0.74,0.65,0.56,0.84,0.48,0.6,0.36,0.77,0.77,0.77,0.77,0.96,0.98,0.85,1.0,0.98,0.85,0.88,0.97,0.85,0.97,0.85,0.93,0.86,0.97,0.86,0.97
ENSPANT00000014171_ENSPANG00000003600,0.78,0.74,0.74,0.65,0.56,0.84,0.48,0.6,0.36,0.77,0.77,0.77,0.77,0.96,0.98,0.85,0.98,1.0,0.85,0.88,0.97,0.85,0.97,0.85,0.93,0.86,0.97,0.86,0.97
ENSPANT00000040730_ENSPANG00000003600,0.68,0.65,0.65,0.57,0.54,0.74,0.41,0.58,0.29,0.67,0.67,0.67,0.66,0.84,0.85,0.96,0.85,0.85,1.0,0.85,0.85,0.96,0.85,0.95,0.82,0.83,0.85,0.83,0.85
ENSMFAT00000053683_ENSMFAG00000019805,0.7,0.67,0.67,0.58,0.61,0.77,0.42,0.6,0.3,0.7,0.7,0.7,0.69,0.87,0.88,0.85,0.88,0.88,0.85,1.0,0.89,0.85,0.89,0.85,0.85,0.86,0.88,0.87,0.88
ENSMFAT00000053779_ENSMFAG00000019805,0.78,0.74,0.74,0.65,0.56,0.84,0.48,0.6,0.36,0.77,0.77,0.77,0.77,0.96,0.98,0.85,0.97,0.97,0.85,0.89,1.0,0.85,0.98,0.85,0.93,0.86,0.98,0.86,0.97
ENSMFAT00000053987_ENSMFAG00000019805,0.68,0.65,0.65,0.57,0.54,0.74,0.41,0.58,0.29,0.67,0.67,0.67,0.66,0.84,0.85,0.96,0.85,0.85,0.96,0.85,0.85,1.0,0.85,0.96,0.82,0.83,0.85,0.83,0.85
ENSMNET00000041090_ENSMNEG00000032441,0.78,0.74,0.74,0.65,0.56,0.84,0.48,0.6,0.36,0.77,0.77,0.77,0.77,0.96,0.97,0.85,0.97,0.97,0.85,0.89,0.98,0.85,1.0,0.85,0.93,0.86,0.97,0.86,0.97
ENSMNET00000041101_ENSMNEG00000032441,0.68,0.65,0.65,0.57,0.54,0.74,0.41,0.58,0.29,0.67,0.67,0.67,0.66,0.84,0.85,0.96,0.85,0.85,0.95,0.85,0.85,0.96,0.85,1.0,0.82,0.83,0.85,0.83,0.85
ENSMMUT00000055572_ENSMMUG00000016548,0.74,0.79,0.74,0.66,0.54,0.9,0.52,0.64,0.37,0.83,0.83,0.83,0.77,0.92,0.93,0.82,0.93,0.93,0.82,0.85,0.93,0.82,0.93,0.82,1.0,0.91,0.93,0.83,0.93
ENSMMUT00000023241_ENSMMUG00000016548,0.68,0.72,0.68,0.6,0.55,0.83,0.46,0.65,0.32,0.76,0.76,0.76,0.71,0.85,0.86,0.83,0.86,0.86,0.83,0.86,0.86,0.83,0.86,0.83,0.91,1.0,0.86,0.84,0.86
ENSMMUT00000082067_ENSMMUG00000016548,0.78,0.74,0.74,0.65,0.56,0.84,0.48,0.6,0.36,0.77,0.77,0.77,0.77,0.96,0.98,0.85,0.97,0.97,0.85,0.88,0.98,0.85,0.97,0.85,0.93,0.86,1.0,0.87,0.97
ENSMMUT00000078926_ENSMMUG00000016548,0.68,0.65,0.65,0.56,0.54,0.75,0.4,0.58,0.28,0.68,0.68,0.68,0.67,0.85,0.86,0.83,0.86,0.86,0.83,0.87,0.86,0.83,0.86,0.83,0.83,0.84,0.87,1.0,0.86
ENSCSAT00000001112_ENSCSAG00000003084,0.78,0.74,0.74,0.65,0.56,0.84,0.48,0.6,0.36,0.77,0.77,0.77,0.77,0.96,0.97,0.85,0.97,0.97,0.85,0.88,0.97,0.85,0.97,0.85,0.93,0.86,0.97,0.86,1.0
