,ENSHHUT00000009994_ENSHHUG00000005918,ENSHHUT00000009998_ENSHHUG00000005918,ENSCMIT00000027857_ENSCMIG00000011872,ENSCMIT00000027866_ENSCMIG00000011872,ENSCMIT00000027870_ENSCMIG00000011872,ENSCMIT00000027873_ENSCMIG00000011872,ENSEBUT00000013902_ENSEBUG00000008427,ENSEBUT00000013923_ENSEBUG00000008427,ENSEBUT00000013946_ENSEBUG00000008427,ENSPMAT00000010485_ENSPMAG00000009496,ENSLOCT00000011244_ENSLOCG00000009200,ENSLOCT00000011255_ENSLOCG00000009200,ENSECRT00000025268_ENSECRG00000016755,ENSECRT00000025320_ENSECRG00000016755,ENSAOCT00000007551_ENSAOCG00000008175,ENSSFOT00015014774_ENSSFOG00015009418,ENSSFOT00015014821_ENSSFOG00015009418,ENSSFOT00015014887_ENSSFOG00015009418,ENSSFOT00015014937_ENSSFOG00015009418,ENSSFOT00015014970_ENSSFOG00015009418,ENSSFOT00015015027_ENSSFOG00015009418,ENSSFOT00015015078_ENSSFOG00015009418,ENSPKIT00000025047_ENSPKIG00000019538,ENSPKIT00000025098_ENSPKIG00000019538,ENSPKIT00000025166_ENSPKIG00000019538,ENSPKIT00000025236_ENSPKIG00000019538,ENSPKIT00000025302_ENSPKIG00000019538,ENSPKIT00000025363_ENSPKIG00000019538,ENSPKIT00000025436_ENSPKIG00000019538,ENSPKIT00000025507_ENSPKIG00000019538,ENSPKIT00000025585_ENSPKIG00000019538,ENSPKIT00000025637_ENSPKIG00000019538,ENSPKIT00000015572_ENSPKIG00000013885,ENSPKIT00000015585_ENSPKIG00000013885,ENSSFOT00015024517_ENSSFOG00015015592,ENSSFOT00015024529_ENSSFOG00015015592,ENSCHAT00000004010_ENSCHAG00000002272,ENSCHAT00000004115_ENSCHAG00000002272,ENSCHAT00000004202_ENSCHAG00000002272,ENSCHAT00000004491_ENSCHAG00000002272,ENSCHAT00000005390_ENSCHAG00000002272,ENSCHAT00000005450_ENSCHAG00000002272,ENSCHAT00000005689_ENSCHAG00000002272,ENSCHAT00000005984_ENSCHAG00000002272,ENSDCDT00000053516_ENSDCDG00000026116,ENSDCDT00000053518_ENSDCDG00000026116,ENSDCDT00000053525_ENSDCDG00000026116,ENSDCDT00000053531_ENSDCDG00000026116,ENSDCDT00000053535_ENSDCDG00000026116,ENSDCDT00000053544_ENSDCDG00000026116,ENSDCDT00000053548_ENSDCDG00000026116,ENSDCDT00000053552_ENSDCDG00000026116,ENSDCDT00000053553_ENSDCDG00000026116,ENSDCDT00000053568_ENSDCDG00000026116
ENSLOCT00000011244_ENSLOCG00000009200,0.09,0.08,0.52,0.53,0.52,0.3,0.24,0.24,0.24,0.22,1.0,0.77,0.69,0.63,0.28,0.76,0.76,0.7,0.73,0.73,0.76,0.7,0.73,0.72,0.74,0.71,0.73,0.76,0.71,0.76,0.7,0.65,0.16,0.14,0.31,0.15,0.75,0.75,0.75,0.78,0.55,0.75,0.7,0.65,0.67,0.64,0.67,0.63,0.61,0.68,0.55,0.57,0.57,0.53
ENSLOCT00000011255_ENSLOCG00000009200,0.1,0.09,0.51,0.51,0.51,0.3,0.25,0.25,0.25,0.22,0.77,1.0,0.68,0.62,0.28,0.72,0.72,0.74,0.71,0.77,0.72,0.7,0.77,0.71,0.75,0.72,0.77,0.72,0.72,0.81,0.71,0.65,0.17,0.15,0.3,0.16,0.71,0.71,0.71,0.75,0.55,0.71,0.67,0.65,0.65,0.62,0.67,0.61,0.65,0.65,0.55,0.57,0.57,0.52
ENSECRT00000025268_ENSECRG00000016755,0.11,0.1,0.59,0.59,0.59,0.34,0.29,0.27,0.28,0.26,0.69,0.68,1.0,0.75,0.32,0.69,0.73,0.75,0.72,0.71,0.69,0.73,0.69,0.68,0.71,0.73,0.73,0.73,0.68,0.69,0.7,0.68,0.16,0.16,0.35,0.18,0.68,0.72,0.68,0.68,0.54,0.68,0.71,0.74,0.68,0.69,0.69,0.63,0.63,0.68,0.56,0.65,0.65,0.59
ENSECRT00000025320_ENSECRG00000016755,0.11,0.1,0.62,0.63,0.63,0.35,0.29,0.29,0.29,0.26,0.63,0.62,0.75,1.0,0.33,0.63,0.63,0.65,0.67,0.65,0.63,0.68,0.63,0.66,0.61,0.63,0.63,0.63,0.63,0.63,0.65,0.77,0.17,0.19,0.36,0.16,0.62,0.62,0.62,0.62,0.56,0.62,0.66,0.69,0.63,0.64,0.64,0.7,0.7,0.63,0.59,0.67,0.67,0.61
ENSAOCT00000007551_ENSAOCG00000008175,0.21,0.2,0.36,0.35,0.36,0.64,0.11,0.11,0.11,0.45,0.28,0.28,0.32,0.33,1.0,0.3,0.3,0.3,0.31,0.3,0.3,0.32,0.3,0.31,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.33,0.29,0.29,0.77,0.28,0.29,0.29,0.29,0.29,0.31,0.29,0.3,0.32,0.31,0.32,0.32,0.33,0.33,0.3,0.3,0.34,0.34,0.34
ENSSFOT00015014774_ENSSFOG00015009418,0.09,0.09,0.53,0.53,0.53,0.31,0.26,0.25,0.26,0.24,0.76,0.72,0.69,0.63,0.3,1.0,0.83,0.76,0.79,0.76,0.83,0.76,0.81,0.8,0.78,0.75,0.77,0.81,0.75,0.77,0.74,0.69,0.15,0.15,0.31,0.17,0.81,0.79,0.79,0.79,0.55,0.79,0.74,0.69,0.71,0.67,0.7,0.66,0.64,0.71,0.55,0.61,0.61,0.56
ENSSFOT00015014821_ENSSFOG00015009418,0.1,0.09,0.53,0.53,0.53,0.31,0.28,0.25,0.26,0.24,0.76,0.72,0.73,0.63,0.3,0.83,1.0,0.81,0.83,0.76,0.83,0.76,0.77,0.76,0.82,0.79,0.81,0.85,0.79,0.77,0.74,0.7,0.15,0.15,0.31,0.17,0.79,0.83,0.79,0.79,0.56,0.79,0.74,0.69,0.71,0.68,0.7,0.67,0.64,0.71,0.56,0.61,0.61,0.56
ENSSFOT00015014887_ENSSFOG00015009418,0.11,0.1,0.54,0.54,0.54,0.32,0.28,0.26,0.26,0.24,0.7,0.74,0.75,0.65,0.3,0.76,0.81,1.0,0.8,0.83,0.76,0.73,0.79,0.73,0.81,0.83,0.83,0.78,0.78,0.79,0.72,0.66,0.15,0.15,0.32,0.17,0.72,0.76,0.72,0.72,0.57,0.72,0.67,0.71,0.65,0.67,0.67,0.61,0.65,0.65,0.57,0.63,0.63,0.58
ENSSFOT00015014937_ENSSFOG00015009418,0.11,0.1,0.56,0.56,0.56,0.32,0.29,0.26,0.27,0.25,0.73,0.71,0.72,0.67,0.31,0.79,0.83,0.8,1.0,0.76,0.79,0.76,0.76,0.81,0.79,0.76,0.81,0.81,0.77,0.76,0.71,0.73,0.16,0.16,0.33,0.17,0.75,0.79,0.75,0.75,0.58,0.75,0.71,0.68,0.67,0.64,0.69,0.67,0.67,0.68,0.58,0.64,0.64,0.59
ENSSFOT00015014970_ENSSFOG00015009418,0.1,0.1,0.54,0.54,0.54,0.31,0.26,0.26,0.26,0.24,0.73,0.77,0.71,0.65,0.3,0.76,0.76,0.83,0.76,1.0,0.76,0.73,0.79,0.73,0.77,0.79,0.79,0.74,0.74,0.82,0.72,0.66,0.17,0.15,0.32,0.17,0.72,0.72,0.72,0.75,0.6,0.72,0.67,0.71,0.65,0.67,0.67,0.61,0.65,0.65,0.6,0.62,0.62,0.58
ENSSFOT00015015027_ENSSFOG00015009418,0.1,0.09,0.53,0.53,0.53,0.31,0.26,0.25,0.26,0.24,0.76,0.72,0.69,0.63,0.3,0.83,0.83,0.76,0.79,0.76,1.0,0.76,0.77,0.76,0.78,0.75,0.77,0.81,0.75,0.77,0.74,0.7,0.15,0.15,0.31,0.17,0.79,0.79,0.79,0.79,0.55,0.84,0.74,0.69,0.71,0.68,0.7,0.66,0.64,0.71,0.55,0.61,0.61,0.56
ENSSFOT00015015078_ENSSFOG00015009418,0.11,0.1,0.57,0.57,0.57,0.33,0.28,0.27,0.28,0.25,0.7,0.7,0.73,0.68,0.32,0.76,0.76,0.73,0.76,0.73,0.76,1.0,0.74,0.74,0.72,0.69,0.74,0.74,0.71,0.74,0.81,0.75,0.16,0.16,0.34,0.22,0.72,0.72,0.72,0.72,0.55,0.72,0.82,0.81,0.79,0.75,0.81,0.68,0.68,0.79,0.57,0.65,0.65,0.6
ENSPKIT00000025047_ENSPKIG00000019538,0.09,0.09,0.53,0.53,0.53,0.31,0.26,0.25,0.26,0.24,0.73,0.77,0.69,0.63,0.3,0.81,0.77,0.79,0.76,0.79,0.77,0.74,1.0,0.83,0.83,0.8,0.85,0.79,0.79,0.84,0.78,0.72,0.15,0.15,0.31,0.17,0.8,0.76,0.76,0.75,0.55,0.75,0.7,0.69,0.68,0.65,0.7,0.64,0.69,0.68,0.55,0.61,0.61,0.56
ENSPKIT00000025098_ENSPKIG00000019538,0.1,0.1,0.55,0.56,0.55,0.32,0.27,0.26,0.27,0.25,0.72,0.71,0.68,0.66,0.31,0.8,0.76,0.73,0.81,0.73,0.76,0.74,0.83,1.0,0.77,0.74,0.79,0.79,0.74,0.79,0.73,0.75,0.16,0.16,0.33,0.17,0.79,0.75,0.75,0.75,0.58,0.75,0.7,0.68,0.67,0.64,0.69,0.66,0.66,0.67,0.58,0.64,0.64,0.58
ENSPKIT00000025166_ENSPKIG00000019538,0.09,0.09,0.51,0.52,0.51,0.3,0.27,0.25,0.25,0.23,0.74,0.75,0.71,0.61,0.29,0.78,0.82,0.81,0.79,0.77,0.78,0.72,0.83,0.77,1.0,0.85,0.87,0.85,0.85,0.83,0.8,0.7,0.15,0.15,0.31,0.16,0.76,0.81,0.77,0.76,0.55,0.76,0.72,0.67,0.7,0.67,0.68,0.65,0.67,0.7,0.54,0.6,0.6,0.55
ENSPKIT00000025236_ENSPKIG00000019538,0.1,0.09,0.53,0.53,0.53,0.31,0.28,0.25,0.26,0.24,0.71,0.72,0.73,0.63,0.3,0.75,0.79,0.83,0.76,0.79,0.75,0.69,0.8,0.74,0.85,1.0,0.84,0.81,0.81,0.8,0.76,0.67,0.15,0.15,0.31,0.17,0.73,0.77,0.73,0.73,0.55,0.73,0.69,0.69,0.67,0.68,0.65,0.62,0.64,0.67,0.55,0.61,0.61,0.56
ENSPKIT00000025302_ENSPKIG00000019538,0.1,0.09,0.53,0.53,0.53,0.31,0.28,0.25,0.26,0.24,0.73,0.77,0.73,0.63,0.3,0.77,0.81,0.83,0.81,0.79,0.77,0.74,0.85,0.79,0.87,0.84,1.0,0.84,0.84,0.85,0.79,0.72,0.15,0.15,0.31,0.17,0.76,0.8,0.76,0.76,0.56,0.76,0.71,0.69,0.68,0.65,0.7,0.64,0.69,0.68,0.55,0.61,0.61,0.56
ENSPKIT00000025363_ENSPKIG00000019538,0.1,0.09,0.53,0.53,0.53,0.31,0.28,0.25,0.26,0.24,0.76,0.72,0.73,0.63,0.3,0.81,0.85,0.78,0.81,0.74,0.81,0.74,0.79,0.79,0.85,0.81,0.84,1.0,0.81,0.79,0.76,0.72,0.15,0.15,0.31,0.17,0.79,0.83,0.79,0.79,0.56,0.79,0.74,0.69,0.71,0.68,0.7,0.66,0.64,0.71,0.55,0.61,0.61,0.56
ENSPKIT00000025436_ENSPKIG00000019538,0.1,0.09,0.53,0.53,0.53,0.31,0.28,0.25,0.26,0.24,0.71,0.72,0.68,0.63,0.3,0.75,0.79,0.78,0.77,0.74,0.75,0.71,0.79,0.74,0.85,0.81,0.84,0.81,1.0,0.79,0.77,0.72,0.15,0.15,0.31,0.15,0.73,0.77,0.73,0.73,0.56,0.73,0.7,0.65,0.67,0.64,0.66,0.66,0.69,0.67,0.55,0.61,0.61,0.56
ENSPKIT00000025507_ENSPKIG00000019538,0.09,0.09,0.53,0.53,0.53,0.31,0.26,0.25,0.26,0.24,0.76,0.81,0.69,0.63,0.3,0.77,0.77,0.79,0.76,0.82,0.77,0.74,0.84,0.79,0.83,0.8,0.85,0.79,0.79,1.0,0.78,0.72,0.17,0.15,0.31,0.17,0.75,0.76,0.76,0.79,0.58,0.75,0.7,0.69,0.68,0.65,0.7,0.64,0.69,0.68,0.58,0.61,0.61,0.56
ENSPKIT00000025585_ENSPKIG00000019538,0.11,0.1,0.54,0.54,0.54,0.31,0.26,0.26,0.26,0.24,0.7,0.71,0.7,0.65,0.3,0.74,0.74,0.72,0.71,0.72,0.74,0.81,0.78,0.73,0.8,0.76,0.79,0.76,0.77,0.78,1.0,0.74,0.15,0.15,0.32,0.21,0.72,0.72,0.72,0.72,0.52,0.72,0.82,0.77,0.78,0.75,0.77,0.68,0.71,0.78,0.54,0.62,0.62,0.58
ENSPKIT00000025637_ENSPKIG00000019538,0.11,0.1,0.6,0.6,0.6,0.35,0.29,0.28,0.29,0.26,0.65,0.65,0.68,0.77,0.33,0.69,0.7,0.66,0.73,0.66,0.7,0.75,0.72,0.75,0.7,0.67,0.72,0.72,0.72,0.72,0.74,1.0,0.16,0.18,0.36,0.16,0.68,0.68,0.68,0.68,0.57,0.68,0.72,0.69,0.68,0.65,0.7,0.77,0.77,0.68,0.59,0.68,0.68,0.62
ENSPKIT00000015572_ENSPKIG00000013885,0.26,0.26,0.15,0.15,0.15,0.26,0.12,0.12,0.12,0.26,0.16,0.17,0.16,0.17,0.29,0.15,0.15,0.15,0.16,0.17,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.17,0.15,0.16,1.0,0.53,0.28,0.48,0.14,0.14,0.14,0.16,0.15,0.14,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.17,0.17,0.18
ENSPKIT00000015585_ENSPKIG00000013885,0.26,0.26,0.15,0.15,0.15,0.26,0.12,0.12,0.12,0.26,0.14,0.15,0.16,0.19,0.29,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.18,0.53,1.0,0.28,0.48,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.15,0.15,0.16,0.16,0.18,0.18,0.15,0.13,0.17,0.17,0.17
ENSSFOT00015024517_ENSSFOG00015015592,0.2,0.2,0.39,0.38,0.4,0.7,0.11,0.11,0.11,0.51,0.31,0.3,0.35,0.36,0.77,0.31,0.31,0.32,0.33,0.32,0.31,0.34,0.31,0.33,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.36,0.28,0.28,1.0,0.28,0.3,0.31,0.31,0.3,0.34,0.3,0.32,0.34,0.34,0.35,0.35,0.35,0.36,0.32,0.29,0.33,0.38,0.33
ENSSFOT00015024529_ENSSFOG00015015592,0.25,0.24,0.15,0.14,0.15,0.26,0.12,0.12,0.12,0.25,0.15,0.16,0.18,0.16,0.28,0.17,0.17,0.17,0.17,0.17,0.17,0.22,0.17,0.17,0.16,0.17,0.17,0.17,0.15,0.17,0.21,0.16,0.48,0.48,0.28,1.0,0.16,0.16,0.16,0.16,0.13,0.16,0.2,0.21,0.21,0.21,0.21,0.16,0.16,0.21,0.13,0.17,0.17,0.18
ENSCHAT00000004010_ENSCHAG00000002272,0.09,0.08,0.52,0.52,0.52,0.3,0.25,0.24,0.25,0.23,0.75,0.71,0.68,0.62,0.29,0.81,0.79,0.72,0.75,0.72,0.79,0.72,0.8,0.79,0.76,0.73,0.76,0.79,0.73,0.75,0.72,0.68,0.14,0.14,0.3,0.16,1.0,0.83,0.83,0.83,0.58,0.83,0.78,0.73,0.72,0.69,0.71,0.67,0.65,0.72,0.56,0.61,0.61,0.57
ENSCHAT00000004115_ENSCHAG00000002272,0.09,0.08,0.52,0.53,0.52,0.31,0.27,0.25,0.25,0.23,0.75,0.71,0.72,0.62,0.29,0.79,0.83,0.76,0.79,0.72,0.79,0.72,0.76,0.75,0.81,0.77,0.8,0.83,0.77,0.76,0.72,0.68,0.14,0.14,0.31,0.16,0.83,1.0,0.83,0.83,0.59,0.83,0.78,0.73,0.72,0.69,0.71,0.68,0.65,0.72,0.56,0.62,0.62,0.57
ENSCHAT00000004202_ENSCHAG00000002272,0.09,0.08,0.52,0.53,0.52,0.31,0.25,0.25,0.25,0.23,0.75,0.71,0.68,0.62,0.29,0.79,0.79,0.72,0.75,0.72,0.79,0.72,0.76,0.75,0.77,0.73,0.76,0.79,0.73,0.76,0.72,0.68,0.14,0.14,0.31,0.16,0.83,0.83,1.0,0.83,0.59,0.83,0.78,0.73,0.72,0.69,0.71,0.68,0.65,0.72,0.56,0.62,0.62,0.57
ENSCHAT00000004491_ENSCHAG00000002272,0.09,0.08,0.52,0.52,0.52,0.3,0.25,0.24,0.25,0.23,0.78,0.75,0.68,0.62,0.29,0.79,0.79,0.72,0.75,0.75,0.79,0.72,0.75,0.75,0.76,0.73,0.76,0.79,0.73,0.79,0.72,0.68,0.16,0.14,0.3,0.16,0.83,0.83,0.83,1.0,0.61,0.83,0.78,0.73,0.72,0.69,0.71,0.67,0.65,0.72,0.59,0.62,0.61,0.57
ENSCHAT00000005390_ENSCHAG00000002272,0.11,0.1,0.57,0.55,0.57,0.35,0.25,0.24,0.25,0.26,0.55,0.55,0.54,0.56,0.31,0.55,0.56,0.57,0.58,0.6,0.55,0.55,0.55,0.58,0.55,0.55,0.56,0.56,0.56,0.58,0.52,0.57,0.15,0.13,0.34,0.13,0.58,0.59,0.59,0.61,1.0,0.58,0.57,0.59,0.53,0.54,0.55,0.55,0.55,0.53,0.6,0.54,0.54,0.54
ENSCHAT00000005450_ENSCHAG00000002272,0.09,0.08,0.52,0.52,0.52,0.3,0.25,0.24,0.25,0.23,0.75,0.71,0.68,0.62,0.29,0.79,0.79,0.72,0.75,0.72,0.84,0.72,0.75,0.75,0.76,0.73,0.76,0.79,0.73,0.75,0.72,0.68,0.14,0.14,0.3,0.16,0.83,0.83,0.83,0.83,0.58,1.0,0.78,0.73,0.72,0.69,0.71,0.67,0.65,0.72,0.56,0.62,0.62,0.57
ENSCHAT00000005689_ENSCHAG00000002272,0.1,0.09,0.55,0.55,0.55,0.32,0.26,0.26,0.27,0.24,0.7,0.67,0.71,0.66,0.3,0.74,0.74,0.67,0.71,0.67,0.74,0.82,0.7,0.7,0.72,0.69,0.71,0.74,0.7,0.7,0.82,0.72,0.15,0.15,0.32,0.2,0.78,0.78,0.78,0.78,0.57,0.78,1.0,0.82,0.81,0.78,0.8,0.71,0.68,0.81,0.56,0.65,0.65,0.6
ENSCHAT00000005984_ENSCHAG00000002272,0.1,0.1,0.57,0.58,0.58,0.33,0.28,0.27,0.28,0.25,0.65,0.65,0.74,0.69,0.32,0.69,0.69,0.71,0.68,0.71,0.69,0.81,0.69,0.68,0.67,0.69,0.69,0.69,0.65,0.69,0.77,0.69,0.16,0.15,0.34,0.21,0.73,0.73,0.73,0.73,0.59,0.73,0.82,1.0,0.76,0.79,0.79,0.66,0.66,0.76,0.59,0.69,0.69,0.63
ENSDCDT00000053516_ENSDCDG00000026116,0.1,0.1,0.53,0.54,0.53,0.31,0.27,0.27,0.27,0.24,0.67,0.65,0.68,0.63,0.31,0.71,0.71,0.65,0.67,0.65,0.71,0.79,0.68,0.67,0.7,0.67,0.68,0.71,0.67,0.68,0.78,0.68,0.15,0.15,0.34,0.21,0.72,0.72,0.72,0.72,0.53,0.72,0.81,0.76,1.0,0.83,0.85,0.76,0.73,0.83,0.57,0.64,0.64,0.61
ENSDCDT00000053518_ENSDCDG00000026116,0.11,0.1,0.55,0.55,0.55,0.32,0.28,0.27,0.28,0.25,0.64,0.62,0.69,0.64,0.32,0.67,0.68,0.67,0.64,0.67,0.68,0.75,0.65,0.64,0.67,0.68,0.65,0.68,0.64,0.65,0.75,0.65,0.16,0.16,0.35,0.21,0.69,0.69,0.69,0.69,0.54,0.69,0.78,0.79,0.83,1.0,0.81,0.72,0.7,0.8,0.58,0.66,0.66,0.62
ENSDCDT00000053525_ENSDCDG00000026116,0.11,0.1,0.55,0.55,0.55,0.32,0.28,0.28,0.28,0.25,0.67,0.67,0.69,0.64,0.32,0.7,0.7,0.67,0.69,0.67,0.7,0.81,0.7,0.69,0.68,0.65,0.7,0.7,0.66,0.7,0.77,0.7,0.16,0.16,0.35,0.21,0.71,0.71,0.71,0.71,0.55,0.71,0.8,0.79,0.85,0.81,1.0,0.75,0.75,0.82,0.58,0.66,0.66,0.62
