stegastes_partitus ENSSPAG00000018159
peromyscus_maniculatus_bairdii ENSPEMG00000024278
microtus_ochrogaster ENSMOCG00000013716
nannospalax_galili ENSNGAG00000020573
jaculus_jaculus ENSJJAG00000023207
oryctolagus_cuniculus ENSOCUG00000005778
ochotona_princeps ENSOPRG00000016928
pan_troglodytes ENSPTRG00000019626
pan_troglodytes ENSPTRG00000051546
pan_paniscus ENSPPAG00000036887
gorilla_gorilla ENSGGOG00000014223
homo_sapiens ENSG00000106034
pongo_abelii ENSPPYG00000017946
nomascus_leucogenys ENSNLEG00000011852
cercocebus_atys ENSCATG00000034268
mandrillus_leucophaeus ENSMLEG00000034961
papio_anubis ENSPANG00000016466
theropithecus_gelada ENSTGEG00000018405
macaca_mulatta ENSMMUG00000002435
macaca_nemestrina ENSMNEG00000037782
macaca_fascicularis ENSMFAG00000031588
chlorocebus_sabaeus ENSCSAG00000010728
piliocolobus_tephrosceles ENSPTEG00000025517
piliocolobus_tephrosceles ENSPTEG00000024687
colobus_angolensis_palliatus ENSCANG00000040445
rhinopithecus_roxellana ENSRROG00000031735
rhinopithecus_bieti ENSRBIG00000038791
cebus_capucinus ENSCCAG00000029032
saimiri_boliviensis_boliviensis ENSSBOG00000030761
callithrix_jacchus ENSCJAG00000017180
aotus_nancymaae ENSANAG00000037145
carlito_syrichta ENSTSYG00000010166
prolemur_simus ENSPSMG00000014697
microcebus_murinus ENSMICG00000036835
propithecus_coquereli ENSPCOG00000016564
otolemur_garnettii ENSOGAG00000004213
tupaia_belangeri ENSTBEG00000005141
ovis_aries ENSOARG00000018220
capra_hircus ENSCHIG00000007761
bos_mutus ENSBMUG00000024421
bos_taurus ENSBTAG00000002938
bison_bison_bison ENSBBBG00000004771
tursiops_truncatus ENSTTRG00000016227
sus_scrofa ENSSSCG00000016618
vicugna_pacos ENSVPAG00000002979
pteropus_vampyrus ENSPVAG00000010115
myotis_lucifugus ENSMLUG00000016002
equus_caballus ENSECAG00000017094
equus_asinus_asinus ENSEASG00005008958
ursus_maritimus ENSUMAG00000003165
ursus_americanus ENSUAMG00000017357
ursus_americanus ENSUAMG00000027233
ailuropoda_melanoleuca ENSAMEG00000006006
neovison_vison ENSNVIG00000001760
mustela_putorius_furo ENSMPUG00000006988
canis_lupus_dingo ENSCAFG00020002041
vulpes_vulpes ENSVVUG00000017225
canis_lupus_dingo ENSCAFG00020000013
canis_lupus_dingo ENSCAFG00020007679
canis_lupus_familiaris ENSCAFG00000003492
panthera_pardus ENSPPRG00000008429
panthera_tigris_altaica ENSPTIG00000010438
felis_catus ENSFCAG00000023648
erinaceus_europaeus ENSEEUG00000012310
sorex_araneus ENSSARG00000012977
choloepus_hoffmanni ENSCHOG00000008116
dasypus_novemcinctus ENSDNOG00000001500
loxodonta_africana ENSLAFG00000005279
loxodonta_africana ENSLAFG00000032200
procavia_capensis ENSPCAG00000002009
echinops_telfairi ENSETEG00000002657
ornithorhynchus_anatinus ENSOANG00000005654
anser_brachyrhynchus ENSABRG00000012820
anas_platyrhynchos_platyrhynchos ENSAPLG00000000584
coturnix_japonica ENSCJPG00005012139
coturnix_japonica ENSCJPG00005012137
gallus_gallus ENSGALG00000009002
meleagris_gallopavo ENSMGAG00000008745
numida_meleagris ENSNMEG00000009616
manacus_vitellinus ENSMVIG00005001870
lepidothrix_coronata ENSLCOG00000013964
parus_major ENSPMJG00000010048
cyanistes_caeruleus ENSCCEG00000017282
ficedula_albicollis ENSFALG00000009963
taeniopygia_guttata ENSTGUG00000004646
lonchura_striata_domestica ENSLSDG00000004296
serinus_canaria ENSSCAG00000000269
zonotrichia_albicollis ENSZALG00000007079
junco_hyemalis ENSJHYG00000014904
melopsittacus_undulatus ENSMUNG00000016871
calidris_pygmaea ENSCPGG00000004944
calidris_pugnax ENSCPUG00000009422
apteryx_owenii ENSAOWG00000000999
apteryx_haastii ENSAHAG00000016392
apteryx_rowi ENSARWG00000018551
nothoprocta_perdicaria ENSNPEG00000004828
dromaius_novaehollandiae ENSDNVG00000018744
crocodylus_porosus ENSCPRG00005010685
gopherus_agassizii ENSGAGG00000018732
chrysemys_picta_bellii ENSCPBG00000008519
pogona_vitticeps ENSPVIG00000005079
anolis_carolinensis ENSACAG00000007000
notechis_scutatus ENSNSUG00000012028
salvator_merianae ENSSMRG00000012271
sphenodon_punctatus ENSSPUG00000006552
xenopus_tropicalis ENSXETG00000033347
latimeria_chalumnae ENSLACG00000009239
lepisosteus_oculatus ENSLOCG00000015795
petromyzon_marinus ENSPMAG00000006167
