tupaia_belangeri ENSTBEG00000007086
panthera_pardus ENSPPRG00000020635
panthera_tigris_altaica ENSPTIG00000021357
felis_catus ENSFCAG00000022626
pteropus_vampyrus ENSPVAG00000007509
equus_asinus_asinus ENSEASG00005018274
equus_caballus ENSECAG00000016560
bos_taurus ENSBTAG00000005716
spermophilus_dauricus ENSSDAG00000023103
oryctolagus_cuniculus ENSOCUG00000007225
ochotona_princeps ENSOPRG00000000634
dasypus_novemcinctus ENSDNOG00000031795
phascolarctos_cinereus ENSPCIG00000024238
notamacropus_eugenii ENSMEUG00000008840
sarcophilus_harrisii ENSSHAG00000015843
monodelphis_domestica ENSMODG00000016801
salvator_merianae ENSSMRG00000007684
dromaius_novaehollandiae ENSDNVG00000014174
xenopus_tropicalis ENSXETG00000019927
latimeria_chalumnae ENSLACG00000016804
gopherus_agassizii ENSGAGG00000005751
chelonoidis_abingdonii ENSCABG00000006135
chrysemys_picta_bellii ENSCPBG00000026286
pelodiscus_sinensis ENSPSIG00000007402
crocodylus_porosus ENSCPRG00005007933
anolis_carolinensis ENSACAG00000015454
notechis_scutatus ENSNSUG00000006908
sphenodon_punctatus ENSSPUG00000000974
apteryx_rowi ENSARWG00000012368
apteryx_owenii ENSAOWG00000002645
nothoprocta_perdicaria ENSNPEG00000004120
gallus_gallus ENSGALG00000029140
meleagris_gallopavo ENSMGAG00000001972
coturnix_japonica ENSCJPG00005013995
melopsittacus_undulatus ENSMUNG00000007749
parus_major ENSPMJG00000009888
ficedula_albicollis ENSFALG00000003205
lepidothrix_coronata ENSLCOG00000006154
serinus_canaria ENSSCAG00000002276
lonchura_striata_domestica ENSLSDG00000016304
junco_hyemalis ENSJHYG00000011749
apteryx_haastii ENSAHAG00000000575
numida_meleagris ENSNMEG00000005964
paramormyrops_kingsleyae ENSPKIG00000015001
esox_lucius ENSELUG00000013287
xiphophorus_maculatus ENSXMAG00000016304
gambusia_affinis ENSGAFG00000014701
poecilia_mexicana ENSPMEG00000023412
poecilia_latipinna ENSPLAG00000018022
poecilia_formosa ENSPFOG00000013813
poecilia_reticulata ENSPREG00000017134
cyprinodon_variegatus ENSCVAG00000009372
fundulus_heteroclitus ENSFHEG00000021658
kryptolebias_marmoratus ENSKMAG00000001532
oryzias_latipes ENSORLG00000010277
oryzias_latipes_asm223469v1 ENSORLG00015015115
oryzias_latipes ENSORLG00020009156
oryzias_melastigma ENSOMEG00000008684
amphiprion_percula ENSAPEG00000004598
amphiprion_ocellaris ENSAOCG00000011559
acanthochromis_polyacanthus ENSAPOG00000008940
stegastes_partitus ENSSPAG00000022540
hippocampus_comes ENSHCOG00000013915
periophthalmus_magnuspinnatus ENSPMGG00000007767
cynoglossus_semilaevis ENSCSEG00000002466
takifugu_rubripes ENSTRUG00000014873
tetraodon_nigroviridis ENSTNIG00000008055
mola_mola ENSMMOG00000016125
mastacembelus_armatus ENSMAMG00000014891
monopterus_albus ENSMALG00000000370
anabas_testudineus ENSATEG00000023607
maylandia_zebra ENSMZEG00005015933
astatotilapia_calliptera ENSACLG00000020063
haplochromis_burtoni ENSHBUG00000003556
pundamilia_nyererei ENSPNYG00000004411
oreochromis_niloticus ENSONIG00000006388
neolamprologus_brichardi ENSNBRG00000003596
amphilophus_citrinellus ENSACIG00000007975
seriola_dumerili ENSSDUG00000006713
seriola_lalandi_dorsalis ENSSLDG00000015550
scophthalmus_maximus ENSSMAG00000015911
gasterosteus_aculeatus ENSGACG00000011813
labrus_bergylta ENSLBEG00000026486
gadus_morhua ENSGMOG00000011419
pygocentrus_nattereri ENSPNAG00000018777
astyanax_mexicanus ENSAMXG00000034510
ictalurus_punctatus ENSIPUG00000008754
danio_rerio ENSDARG00000073978
tetraodon_nigroviridis ENSTNIG00000017548
takifugu_rubripes ENSTRUG00000011951
mola_mola ENSMMOG00000015839
xiphophorus_couchianus ENSXCOG00000019743
xiphophorus_maculatus ENSXMAG00000014642
gambusia_affinis ENSGAFG00000004218
poecilia_latipinna ENSPLAG00000019392
poecilia_mexicana ENSPMEG00000013894
poecilia_formosa ENSPFOG00000008725
poecilia_reticulata ENSPREG00000019026
cyprinodon_variegatus ENSCVAG00000017975
fundulus_heteroclitus ENSFHEG00000012423
kryptolebias_marmoratus ENSKMAG00000011938
oryzias_latipes ENSORLG00000025844
oryzias_latipes ENSORLG00020007883
oryzias_melastigma ENSOMEG00000006936
cynoglossus_semilaevis ENSCSEG00000007867
gasterosteus_aculeatus ENSGACG00000003295
labrus_bergylta ENSLBEG00000026897
mastacembelus_armatus ENSMAMG00000001364
monopterus_albus ENSMALG00000011705
anabas_testudineus ENSATEG00000008948
pundamilia_nyererei ENSPNYG00000011450
haplochromis_burtoni ENSHBUG00000020191
astatotilapia_calliptera ENSACLG00000009662
maylandia_zebra ENSMZEG00005026511
neolamprologus_brichardi ENSNBRG00000017363
oreochromis_niloticus ENSONIG00000019709
amphilophus_citrinellus ENSACIG00000011022
amphiprion_percula ENSAPEG00000008837
amphiprion_percula ENSAPEG00000009060
amphiprion_ocellaris ENSAOCG00000014237
acanthochromis_polyacanthus ENSAPOG00000005873
scophthalmus_maximus ENSSMAG00000002607
seriola_dumerili ENSSDUG00000018627
stegastes_partitus ENSSPAG00000003533
seriola_lalandi_dorsalis ENSSLDG00000014006
periophthalmus_magnuspinnatus ENSPMGG00000000913
esox_lucius ENSELUG00000007739
gadus_morhua ENSGMOG00000005531
pygocentrus_nattereri ENSPNAG00000017056
astyanax_mexicanus ENSAMXG00000032195
ictalurus_punctatus ENSIPUG00000008111
danio_rerio ENSDARG00000030449
scleropages_formosus ENSSFOG00015021942
lepisosteus_oculatus ENSLOCG00000006421
eptatretus_burgeri ENSEBUG00000015443
petromyzon_marinus ENSPMAG00000008414
