oryzias_latipes ENSORLG00020000267
rhinopithecus_bieti ENSRBIG00000021610
macaca_fascicularis ENSMFAG00000032854
macaca_nemestrina ENSMNEG00000045093
chlorocebus_sabaeus ENSCSAG00000004688
theropithecus_gelada ENSTGEG00000014101
mandrillus_leucophaeus ENSMLEG00000035738
papio_anubis ENSPANG00000021901
cercocebus_atys ENSCATG00000011856
pan_troglodytes ENSPTRG00000003379
pan_paniscus ENSPPAG00000029173
homo_sapiens ENSG00000152266
gorilla_gorilla ENSGGOG00000024281
pongo_abelii ENSPPYG00000003471
nomascus_leucogenys ENSNLEG00000017694
saimiri_boliviensis_boliviensis ENSSBOG00000031787
cebus_capucinus ENSCCAG00000032557
callithrix_jacchus ENSCJAG00000010117
aotus_nancymaae ENSANAG00000023657
carlito_syrichta ENSTSYG00000026442
prolemur_simus ENSPSMG00000019970
propithecus_coquereli ENSPCOG00000011541
microcebus_murinus ENSMICG00000042670
otolemur_garnettii ENSOGAG00000000740
cricetulus_griseus_chok1gshd ENSCGRG00001000135
cricetulus_griseus_crigri ENSCGRG00000014603
cricetulus_griseus_crigri-picr ENSCGRG00015008736
mesocricetus_auratus ENSMAUG00000010728
peromyscus_maniculatus_bairdii ENSPEMG00000013697
microtus_ochrogaster ENSMOCG00000004314
mus_spicilegus ENSMSIG00000028748
mus_musculus ENSMUSG00000059077
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031456
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030341
mus_pahari MGP_PahariEiJ_G0013553
rattus_norvegicus ENSRNOG00000014318
meriones_unguiculatus ENSMUGG00000027163
nannospalax_galili ENSNGAG00000023725
jaculus_jaculus ENSJJAG00000020801
castor_canadensis ENSCCNG00000024640
dipodomys_ordii ENSDORG00000000729
ictidomys_tridecemlineatus ENSSTOG00000026619
urocitellus_parryii ENSUPAG00010015241
marmota_marmota_marmota ENSMMMG00000002796
spermophilus_dauricus ENSSDAG00000017043
heterocephalus_glaber_female ENSHGLG00000008594
heterocephalus_glaber_male ENSHGLG00100015383
fukomys_damarensis ENSFDAG00000012226
octodon_degus ENSODEG00000009020
cavia_porcellus ENSCPOG00000003894
chinchilla_lanigera ENSCLAG00000017158
oryctolagus_cuniculus ENSOCUG00000005469
ochotona_princeps ENSOPRG00000001103
myotis_lucifugus ENSMLUG00000000677
myotis_lucifugus ENSMLUG00000000681
pteropus_vampyrus ENSPVAG00000006716
equus_caballus ENSECAG00000019608
equus_asinus_asinus ENSEASG00005005922
bos_taurus ENSBTAG00000019080
bos_mutus ENSBMUG00000009375
bison_bison_bison ENSBBBG00000003306
ovis_aries ENSOARG00000007498
capra_hircus ENSCHIG00000007602
vicugna_pacos ENSVPAG00000005933
sus_scrofa ENSSSCG00000013394
sorex_araneus ENSSARG00000013735
ursus_americanus ENSUAMG00000021550
ursus_maritimus ENSUMAG00000016585
ailuropoda_melanoleuca ENSAMEG00000002395
neovison_vison ENSNVIG00000020930
mustela_putorius_furo ENSMPUG00000013152
canis_lupus_familiaris ENSCAFG00000008177
canis_lupus_dingo ENSCAFG00020016557
vulpes_vulpes ENSVVUG00000025139
panthera_tigris_altaica ENSPTIG00000015285
panthera_pardus ENSPPRG00000007081
felis_catus ENSFCAG00000045547
erinaceus_europaeus ENSEEUG00000014822
sarcophilus_harrisii ENSSHAG00000017566
phascolarctos_cinereus ENSPCIG00000015738
monodelphis_domestica ENSMODG00000008738
