anas_platyrhynchos ENSAPLG00000002721
pygocentrus_nattereri ENSPNAG00000020396
electrophorus_electricus ENSEEEG00000023338
ictalurus_punctatus ENSIPUG00000020481
danio_rerio ENSDARG00000053619
hucho_hucho ENSHHUG00000015631
hucho_hucho ENSHHUG00000049651
esox_lucius ENSELUG00000004809
fundulus_heteroclitus ENSFHEG00000003267
cyprinodon_variegatus ENSCVAG00000019294
poecilia_formosa ENSPFOG00000019038
poecilia_mexicana ENSPMEG00000000520
poecilia_latipinna ENSPLAG00000002438
poecilia_reticulata ENSPREG00000003284
xiphophorus_maculatus ENSXMAG00000006613
gambusia_affinis ENSGAFG00000022037
oryzias_latipes ENSORLG00000022839
oryzias_latipes ENSORLG00020013412
oryzias_latipes ENSORLG00015020606
oryzias_melastigma ENSOMEG00000009187
gouania_willdenowi ENSGWIG00000008779
gouania_willdenowi ENSGWIG00000008738
tetraodon_nigroviridis ENSTNIG00000007605
takifugu_rubripes ENSTRUG00000007664
mola_mola ENSMMOG00000017400
amphiprion_ocellaris ENSAOCG00000019366
amphiprion_percula ENSAPEG00000004211
stegastes_partitus ENSSPAG00000011180
maylandia_zebra ENSMZEG00005024979
maylandia_zebra ENSMZEG00005025134
astatotilapia_calliptera ENSACLG00000002061
haplochromis_burtoni ENSHBUG00000010633
pundamilia_nyererei ENSPNYG00000022136
oreochromis_niloticus ENSONIG00000017849
amphilophus_citrinellus ENSACIG00000017574
cottoperca_gobio ENSCGOG00000012641
gasterosteus_aculeatus ENSGACG00000020904
labrus_bergylta ENSLBEG00000002280
monopterus_albus ENSMALG00000003857
anabas_testudineus ENSATEG00000013578
cynoglossus_semilaevis ENSCSEG00000020723
seriola_dumerili ENSSDUG00000023303
seriola_lalandi ENSSLDG00000007472
scophthalmus_maximus ENSSMAG00000016237
lates_calcarifer ENSLCAG00010019464
mastacembelus_armatus ENSMAMG00000012359
larimichthys_crocea ENSLCRG00005018466
parambassis_ranga ENSPRNG00000005096
hippocampus_comes ENSHCOG00000013146
betta_splendens ENSBSLG00000020520
periophthalmus_magnuspinnatus ENSPMGG00000018172
gadus_morhua ENSGMOG00000012361
scleropages_formosus ENSSFOG00015022155
paramormyrops_kingsleyae ENSPKIG00000019491
lepisosteus_oculatus ENSLOCG00000011051
erpetoichthys_calabaricus ENSECRG00000014471
petromyzon_marinus ENSPMAG00000008631
eptatretus_burgeri ENSEBUG00000006644
ciona_intestinalis ENSCING00000014906
