nothoprocta_perdicaria ENSNPEG00000003799
spermophilus_dauricus ENSSDAG00000019944
marmota_marmota_marmota ENSMMMG00000021458
jaculus_jaculus ENSJJAG00000020014
jaculus_jaculus ENSJJAG00000009888
nannospalax_galili ENSNGAG00000000344
nannospalax_galili ENSNGAG00000020250
cricetulus_griseus_chok1gshd ENSCGRG00001019972
cricetulus_griseus_crigri-picr ENSCGRG00015019864
cricetulus_griseus_crigri ENSCGRG00000004063
mesocricetus_auratus ENSMAUG00000009670
microtus_ochrogaster ENSMOCG00000001956
peromyscus_maniculatus_bairdii ENSPEMG00000019517
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030929
mus_spicilegus ENSMSIG00000021602
mus_musculus ENSMUSG00000030522
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029826
mus_pahari MGP_PahariEiJ_G0013051
rattus_norvegicus ENSRNOG00000016090
meriones_unguiculatus ENSMUGG00000011423
castor_canadensis ENSCCNG00000029503
dipodomys_ordii ENSDORG00000014623
erinaceus_europaeus ENSEEUG00000006474
ursus_maritimus ENSUMAG00000023466
ursus_americanus ENSUAMG00000006830
ailuropoda_melanoleuca ENSAMEG00000015406
mustela_putorius_furo ENSMPUG00000011109
neovison_vison ENSNVIG00000005855
canis_lupus_familiaris ENSCAFG00000010336
canis_lupus_dingo ENSCAFG00020023862
vulpes_vulpes ENSVVUG00000018869
panthera_pardus ENSPPRG00000004561
panthera_tigris_altaica ENSPTIG00000018920
felis_catus ENSFCAG00000003271
capra_hircus ENSCHIG00000020354
ovis_aries ENSOARG00000016152
bos_mutus ENSBMUG00000022386
bos_taurus ENSBTAG00000014422
bison_bison_bison ENSBBBG00000011191
tursiops_truncatus ENSTTRG00000005763
sus_scrofa ENSSSCG00000004844
vicugna_pacos ENSVPAG00000006258
myotis_lucifugus ENSMLUG00000015876
pteropus_vampyrus ENSPVAG00000006878
equus_caballus ENSECAG00000013765
equus_asinus_asinus ENSEASG00005017788
ochotona_princeps ENSOPRG00000012485
oryctolagus_cuniculus ENSOCUG00000023083
dasypus_novemcinctus ENSDNOG00000049741
choloepus_hoffmanni ENSCHOG00000012336
loxodonta_africana ENSLAFG00000018374
procavia_capensis ENSPCAG00000002730
echinops_telfairi ENSETEG00000020186
ornithorhynchus_anatinus ENSOANG00000010364
ornithorhynchus_anatinus ENSOANG00000031709
pogona_vitticeps ENSPVIG00000008122
pogona_vitticeps ENSPVIG00000008121
notechis_scutatus ENSNSUG00000017691
anolis_carolinensis ENSACAG00000002710
salvator_merianae ENSSMRG00000007602
xenopus_tropicalis ENSXETG00000016494
latimeria_chalumnae ENSLACG00000018435
scleropages_formosus ENSSFOG00015024077
paramormyrops_kingsleyae ENSPKIG00000022041
paramormyrops_kingsleyae ENSPKIG00000016642
scleropages_formosus ENSSFOG00015014480
seriola_dumerili ENSSDUG00000017735
seriola_lalandi_dorsalis ENSSLDG00000013645
scophthalmus_maximus ENSSMAG00000000245
hippocampus_comes ENSHCOG00000003320
cynoglossus_semilaevis ENSCSEG00000001673
monopterus_albus ENSMALG00000021343
mastacembelus_armatus ENSMAMG00000021426
anabas_testudineus ENSATEG00000003975
amphiprion_ocellaris ENSAOCG00000000784
amphiprion_percula ENSAPEG00000012048
acanthochromis_polyacanthus ENSAPOG00000012805
stegastes_partitus ENSSPAG00000005887
maylandia_zebra ENSMZEG00005013986
astatotilapia_calliptera ENSACLG00000002373
pundamilia_nyererei ENSPNYG00000013732
neolamprologus_brichardi ENSNBRG00000010423
oreochromis_niloticus ENSONIG00000005869
amphilophus_citrinellus ENSACIG00000001627
cyprinodon_variegatus ENSCVAG00000005471
fundulus_heteroclitus ENSFHEG00000013962
xiphophorus_maculatus ENSXMAG00000006736
xiphophorus_couchianus ENSXCOG00000011365
gambusia_affinis ENSGAFG00000017296
poecilia_mexicana ENSPMEG00000006274
poecilia_formosa ENSPFOG00000003204
poecilia_latipinna ENSPLAG00000008326
poecilia_reticulata ENSPREG00000023223
kryptolebias_marmoratus ENSKMAG00000007254
oryzias_latipes ENSORLG00000008018
oryzias_latipes_asm223469v1 ENSORLG00015000209
oryzias_latipes ENSORLG00020009202
oryzias_melastigma ENSOMEG00000001940
periophthalmus_magnuspinnatus ENSPMGG00000006045
labrus_bergylta ENSLBEG00000025881
gasterosteus_aculeatus ENSGACG00000015799
mola_mola ENSMMOG00000016497
tetraodon_nigroviridis ENSTNIG00000009337
takifugu_rubripes ENSTRUG00000017705
gadus_morhua ENSGMOG00000015321
esox_lucius ENSELUG00000013811
pygocentrus_nattereri ENSPNAG00000021861
astyanax_mexicanus ENSAMXG00000011964
ictalurus_punctatus ENSIPUG00000023273
danio_rerio ENSDARG00000010601
lepisosteus_oculatus ENSLOCG00000013672
eptatretus_burgeri ENSEBUG00000015817
