callorhinchus_milii ENSCMIG00000000354
ailuropoda_melanoleuca ENSAMEG00000000020
canis_lupus ENSCAFG00020022815
canis_lupus ENSCAFG00000015574
vulpes_vulpes ENSVVUG00000026335
panthera_pardus ENSPPRG00000000420
panthera_tigris ENSPTIG00000014463
felis_catus ENSFCAG00000001052
myotis_lucifugus ENSMLUG00000030263
pteropus_vampyrus ENSPVAG00000009084
equus_caballus ENSECAG00000000783
equus_asinus ENSEASG00005019120
ovis_aries ENSOARG00000011991
capra_hircus ENSCHIG00000027120
bos_indicus ENSBIXG00000027499
bos_indicus ENSBIXG00005022907
bos_taurus ENSBTAG00000008652
bos_mutus ENSBMUG00000014268
bison_bison ENSBBBG00000004636
sus_scrofa ENSSSCG00000006311
tursiops_truncatus ENSTTRG00000008525
vicugna_pacos ENSVPAG00000000080
choloepus_hoffmanni ENSCHOG00000000265
dasypus_novemcinctus ENSDNOG00000038594
loxodonta_africana ENSLAFG00000018677
procavia_capensis ENSPCAG00000007923
echinops_telfairi ENSETEG00000011038
pongo_abelii ENSPPYG00000000553
erinaceus_europaeus ENSEEUG00000007328
urocitellus_parryii ENSUPAG00010016184
spermophilus_dauricus ENSSDAG00000004364
phascolarctos_cinereus ENSPCIG00000030048
vombatus_ursinus ENSVURG00010003658
notamacropus_eugenii ENSMEUG00000015177
monodelphis_domestica ENSMODG00000002519
sarcophilus_harrisii ENSSHAG00000018419
ornithorhynchus_anatinus ENSOANG00000003875
eptatretus_burgeri ENSEBUG00000009631
