electrophorus_electricus ENSEEEG00000006324
anas_platyrhynchos ENSAPLG00000012316
crocodylus_porosus ENSCPRG00005014953
chelonoidis_abingdonii ENSCABG00000020921
chelonoidis_abingdonii ENSCABG00000020923
gopherus_agassizii ENSGAGG00000004181
chrysemys_picta ENSCPBG00000021101
pelodiscus_sinensis ENSPSIG00000013945
sphenodon_punctatus ENSSPUG00000005107
lonchura_striata ENSLSDG00000001036
xenopus_tropicalis ENSXETG00000005215
latimeria_chalumnae ENSLACG00000008869
callorhinchus_milii ENSCMIG00000017602
petromyzon_marinus ENSPMAG00000001563
eptatretus_burgeri ENSEBUG00000008767
