callorhinchus_milii ENSCMIG00000005808
gadus_morhua ENSGMOG00000002710
esox_lucius ENSELUG00000003879
hucho_hucho ENSHHUG00000033925
astyanax_mexicanus ENSAMXG00000005540
astyanax_mexicanus ENSAMXG00005020772
pygocentrus_nattereri ENSPNAG00000001881
ictalurus_punctatus ENSIPUG00000002969
electrophorus_electricus ENSEEEG00000013542
danio_rerio ENSDARG00000055128
clupea_harengus ENSCHAG00000007046
denticeps_clupeoides ENSDCDG00000034095
lepisosteus_oculatus ENSLOCG00000007443
erpetoichthys_calabaricus ENSECRG00000005774
hucho_hucho ENSHHUG00000044225
petromyzon_marinus ENSPMAG00000009094
pogona_vitticeps ENSPVIG00000023544
anolis_carolinensis ENSACAG00000007785
notechis_scutatus ENSNSUG00000001359
salvator_merianae ENSSMRG00000014235
sphenodon_punctatus ENSSPUG00000017638
lonchura_striata ENSLSDG00000001929
taeniopygia_guttata ENSTGUG00000001101
junco_hyemalis ENSJHYG00000008775
zonotrichia_albicollis ENSZALG00000015843
serinus_canaria ENSSCAG00000008955
parus_major ENSPMJG00000006117
cyanistes_caeruleus ENSCCEG00000014224
ficedula_albicollis ENSFALG00000007152
manacus_vitellinus ENSMVIG00005007171
lepidothrix_coronata ENSLCOG00000010615
melopsittacus_undulatus ENSMUNG00000006945
calidris_pugnax ENSCPUG00000019268
calidris_pygmaea ENSCPGG00000007466
anser_brachyrhynchus ENSABRG00000002137
anas_platyrhynchos ENSAPLG00000010322
meleagris_gallopavo ENSMGAG00000006643
coturnix_japonica ENSCJPG00005003873
gallus_gallus ENSGALG00000007417
numida_meleagris ENSNMEG00000008948
apteryx_owenii ENSAOWG00000008966
apteryx_haastii ENSAHAG00000012638
apteryx_rowi ENSARWG00000008718
dromaius_novaehollandiae ENSDNVG00000005565
nothoprocta_perdicaria ENSNPEG00000005004
crocodylus_porosus ENSCPRG00005008226
gopherus_agassizii ENSGAGG00000015652
chelonoidis_abingdonii ENSCABG00000010508
chrysemys_picta ENSCPBG00000015843
pelodiscus_sinensis ENSPSIG00000004746
vombatus_ursinus ENSVURG00010024367
phascolarctos_cinereus ENSPCIG00000028701
sarcophilus_harrisii ENSSHAG00000013953
monodelphis_domestica ENSMODG00000008232
procavia_capensis ENSPCAG00000003521
loxodonta_africana ENSLAFG00000016023
echinops_telfairi ENSETEG00000006158
dasypus_novemcinctus ENSDNOG00000014869
choloepus_hoffmanni ENSCHOG00000011244
chinchilla_lanigera ENSCLAG00000010273
octodon_degus ENSODEG00000004199
cavia_porcellus ENSCPOG00000009603
cavia_aperea ENSCAPG00000007709
heterocephalus_glaber ENSHGLG00100015611
heterocephalus_glaber ENSHGLG00000005096
fukomys_damarensis ENSFDAG00000007264
spermophilus_dauricus ENSSDAG00000020358
urocitellus_parryii ENSUPAG00010012355
ictidomys_tridecemlineatus ENSSTOG00000006033
marmota_marmota ENSMMMG00000023506
mus_musculus ENSMUSG00000061802
mus_spretus MGP_SPRETEiJ_G0022896
mus_caroli MGP_CAROLIEiJ_G0021980
mus_spicilegus ENSMSIG00000024990
mus_pahari MGP_PahariEiJ_G0018718
rattus_norvegicus ENSRNOG00000018905
meriones_unguiculatus ENSMUGG00000009401
cricetulus_griseus ENSCGRG00001018139
cricetulus_griseus ENSCGRG00000005106
cricetulus_griseus ENSCGRG00015026867
microtus_ochrogaster ENSMOCG00000011155
peromyscus_maniculatus ENSPEMG00000019997
nannospalax_galili ENSNGAG00000011052
jaculus_jaculus ENSJJAG00000016915
dipodomys_ordii ENSDORG00000013131
oryctolagus_cuniculus ENSOCUG00000007349
ochotona_princeps ENSOPRG00000012520
homo_sapiens ENSG00000169126
gorilla_gorilla ENSGGOG00000014550
pan_paniscus ENSPPAG00000017967
pan_troglodytes ENSPTRG00000002386
pongo_abelii ENSPPYG00000002174
nomascus_leucogenys ENSNLEG00000016984
colobus_angolensis ENSCANG00000042065
piliocolobus_tephrosceles ENSPTEG00000021719
rhinopithecus_roxellana ENSRROG00000034521
rhinopithecus_bieti ENSRBIG00000033950
macaca_mulatta ENSMMUG00000020661
macaca_nemestrina ENSMNEG00000022625
macaca_fascicularis ENSMFAG00000038877
theropithecus_gelada ENSTGEG00000000652
papio_anubis ENSPANG00000022989
chlorocebus_sabaeus ENSCSAG00000011739
cebus_capucinus ENSCCAG00000030918
saimiri_boliviensis ENSSBOG00000002509
callithrix_jacchus ENSCJAG00000013045
aotus_nancymaae ENSANAG00000020594
carlito_syrichta ENSTSYG00000002148
propithecus_coquereli ENSPCOG00000025424
prolemur_simus ENSPSMG00000007529
microcebus_murinus ENSMICG00000002962
otolemur_garnettii ENSOGAG00000012743
tupaia_belangeri ENSTBEG00000007831
myotis_lucifugus ENSMLUG00000008212
myotis_lucifugus ENSMLUG00000028981
pteropus_vampyrus ENSPVAG00000004781
ursus_americanus ENSUAMG00000017364
ursus_maritimus ENSUMAG00000015629
ailuropoda_melanoleuca ENSAMEG00000008177
mustela_putorius ENSMPUG00000010578
mustela_putorius ENSMPUG00000015078
neovison_vison ENSNVIG00000005030
canis_lupus ENSCAFG00000023202
canis_lupus ENSCAFG00020025451
canis_lupus ENSCAFG00000003862
vulpes_vulpes ENSVVUG00000001752
panthera_pardus ENSPPRG00000011902
panthera_tigris ENSPTIG00000016241
felis_catus ENSFCAG00000031885
capra_hircus ENSCHIG00000005917
ovis_aries ENSOARG00000015684
bos_indicus ENSBIXG00000018472
bos_indicus ENSBIXG00005008849
bos_taurus ENSBTAG00000000654
bos_mutus ENSBMUG00000010089
bison_bison ENSBBBG00000012296
tursiops_truncatus ENSTTRG00000016186
sus_scrofa ENSSSCG00000011069
vicugna_pacos ENSVPAG00000010191
equus_caballus ENSECAG00000015255
equus_asinus ENSEASG00005007199
sorex_araneus ENSSARG00000012446
erinaceus_europaeus ENSEEUG00000012458
ornithorhynchus_anatinus ENSOANG00000006039
xenopus_tropicalis ENSXETG00000020892
ciona_intestinalis ENSCING00000009585
ciona_savignyi ENSCSAVG00000006375
eptatretus_burgeri ENSEBUG00000012558
drosophila_melanogaster FBgn0031905
