heterocephalus_glaber_male ENSHGLG00100008651
amphiprion_percula ENSAPEG00000013262
amphiprion_ocellaris ENSAOCG00000021645
acanthochromis_polyacanthus ENSAPOG00000007132
acanthochromis_polyacanthus ENSAPOG00000011804
stegastes_partitus ENSSPAG00000004335
astatotilapia_calliptera ENSACLG00000019735
haplochromis_burtoni ENSHBUG00000017416
maylandia_zebra ENSMZEG00005015657
pundamilia_nyererei ENSPNYG00000017255
neolamprologus_brichardi ENSNBRG00000007890
oreochromis_niloticus ENSONIG00000006200
amphilophus_citrinellus ENSACIG00000002121
seriola_dumerili ENSSDUG00000020892
seriola_lalandi_dorsalis ENSSLDG00000011658
scophthalmus_maximus ENSSMAG00000015732
xiphophorus_maculatus ENSXMAG00000008816
xiphophorus_couchianus ENSXCOG00000012745
gambusia_affinis ENSGAFG00000010973
poecilia_formosa ENSPFOG00000007126
poecilia_mexicana ENSPMEG00000009727
poecilia_latipinna ENSPLAG00000017546
poecilia_reticulata ENSPREG00000022237
fundulus_heteroclitus ENSFHEG00000005858
cyprinodon_variegatus ENSCVAG00000007584
oryzias_latipes ENSORLG00020021866
oryzias_latipes_asm223469v1 ENSORLG00015003149
oryzias_latipes ENSORLG00000007593
oryzias_melastigma ENSOMEG00000015746
hippocampus_comes ENSHCOG00000016865
periophthalmus_magnuspinnatus ENSPMGG00000009711
gadus_morhua ENSGMOG00000011821
esox_lucius ENSELUG00000015248
pygocentrus_nattereri ENSPNAG00000024965
astyanax_mexicanus ENSAMXG00000001339
ictalurus_punctatus ENSIPUG00000011572
danio_rerio ENSDARG00000026753
scleropages_formosus ENSSFOG00015001967
paramormyrops_kingsleyae ENSPKIG00000005602
scleropages_formosus ENSSFOG00015009067
paramormyrops_kingsleyae ENSPKIG00000017771
esox_lucius ENSELUG00000018995
lepisosteus_oculatus ENSLOCG00000002001
