cercocebus_atys ENSCATG00000036856
dromaius_novaehollandiae ENSDNVG00000018964
vicugna_pacos ENSVPAG00000012375
panthera_tigris ENSPTIG00000013359
chlorocebus_sabaeus ENSCSAG00000006601
mandrillus_leucophaeus ENSMLEG00000029027
pongo_abelii ENSPPYG00000018196
cavia_aperea ENSCAPG00000008428
bos_mutus ENSBMUG00000008163
bison_bison ENSBBBG00000017483
procavia_capensis ENSPCAG00000016285
sarcophilus_harrisii ENSSHAG00000004296
saimiri_boliviensis ENSSBOG00000035032
ovis_aries ENSOARG00000004390
anolis_carolinensis ENSACAG00000002265
pogona_vitticeps ENSPVIG00000003437
nothoprocta_perdicaria ENSNPEG00000007915
aotus_nancymaae ENSANAG00000022525
callithrix_jacchus ENSCJAG00000042669
carlito_syrichta ENSTSYG00000027100
cricetulus_griseus ENSCGRG00001021366
peromyscus_maniculatus ENSPEMG00000023193
microtus_ochrogaster ENSMOCG00000022240
mus_spretus MGP_SPRETEiJ_G0028020
mus_caroli MGP_CAROLIEiJ_G0027024
mus_pahari MGP_PahariEiJ_G0021797
mus_spicilegus ENSMSIG00000016368
mus_musculus ENSMUSG00000028945
meriones_unguiculatus ENSMUGG00000004395
cricetulus_griseus ENSCGRG00015006127
nannospalax_galili ENSNGAG00000023353
castor_canadensis ENSCCNG00000022743
rattus_norvegicus ENSRNOG00000050578
equus_asinus ENSEASG00005001996
canis_lupus ENSCAFG00000004894
bos_taurus ENSBTAG00000031861
ictidomys_tridecemlineatus ENSSTOG00000004544
mesocricetus_auratus ENSMAUG00000014570
pan_troglodytes ENSPTRG00000047799
jaculus_jaculus ENSJJAG00000010705
cebus_capucinus ENSCCAG00000030751
bos_taurus ENSBTAG00000053552
bison_bison ENSBBBG00000015362
sus_scrofa ENSSSCG00000035428
echinops_telfairi ENSETEG00000010183
urocitellus_parryii ENSUPAG00010012118
spermophilus_dauricus ENSSDAG00000015264
fukomys_damarensis ENSFDAG00000020602
oryctolagus_cuniculus ENSOCUG00000013173
ochotona_princeps ENSOPRG00000005358
prolemur_simus ENSPSMG00000009847
propithecus_coquereli ENSPCOG00000015977
felis_catus ENSFCAG00000012862
panthera_pardus ENSPPRG00000018707
canis_lupus ENSCAFG00020005505
sus_scrofa ENSSSCG00000016434
loxodonta_africana ENSLAFG00000000691
dasypus_novemcinctus ENSDNOG00000036135
phascolarctos_cinereus ENSPCIG00000003392
ficedula_albicollis ENSFALG00000006823
serinus_canaria ENSSCAG00000007170
manacus_vitellinus ENSMVIG00005010987
meleagris_gallopavo ENSMGAG00000004567
taeniopygia_guttata ENSTGUG00000000585
cyanistes_caeruleus ENSCCEG00000006958
apteryx_owenii ENSAOWG00000002897
apteryx_haastii ENSAHAG00000008004
tupaia_belangeri ENSTBEG00000001657
xenopus_tropicalis ENSXETG00000009724
cricetulus_griseus ENSCGRG00000018097
theropithecus_gelada ENSTGEG00000002718
lonchura_striata ENSLSDG00000016007
calidris_pugnax ENSCPUG00000019187
poecilia_mexicana ENSPMEG00000001179
poecilia_latipinna ENSPLAG00000016748
