heterocephalus_glaber_male ENSHGLG00100004857
octodon_degus ENSODEG00000002619
jaculus_jaculus ENSJJAG00000013465
capra_hircus ENSCHIG00000020659
ovis_aries ENSOARG00000002607
bos_taurus ENSBTAG00000011689
bos_mutus ENSBMUG00000001344
sus_scrofa ENSSSCG00000030857
myotis_lucifugus ENSMLUG00000009386
erinaceus_europaeus ENSEEUG00000012807
dasypus_novemcinctus ENSDNOG00000005126
procavia_capensis ENSPCAG00000005876
loxodonta_africana ENSLAFG00000017182
phascolarctos_cinereus ENSPCIG00000009912
notamacropus_eugenii ENSMEUG00000003071
monodelphis_domestica ENSMODG00000004168
sarcophilus_harrisii ENSSHAG00000006499
ornithorhynchus_anatinus ENSOANG00000009123
nothoprocta_perdicaria ENSNPEG00000006885
gallus_gallus ENSGALG00000035760
pogona_vitticeps ENSPVIG00000015396
anolis_carolinensis ENSACAG00000016911
notechis_scutatus ENSNSUG00000004171
salvator_merianae ENSSMRG00000003783
sphenodon_punctatus ENSSPUG00000002749
chelonoidis_abingdonii ENSCABG00000014172
gopherus_agassizii ENSGAGG00000018901
chrysemys_picta_bellii ENSCPBG00000016757
pelodiscus_sinensis ENSPSIG00000004258
xenopus_tropicalis ENSXETG00000003390
ovis_aries ENSOARG00000000703
latimeria_chalumnae ENSLACG00000012629
pygocentrus_nattereri ENSPNAG00000019551
ictalurus_punctatus ENSIPUG00000007047
danio_rerio ENSDARG00000076805
seriola_lalandi_dorsalis ENSSLDG00000022296
seriola_dumerili ENSSDUG00000008736
mola_mola ENSMMOG00000016535
mastacembelus_armatus ENSMAMG00000019502
anabas_testudineus ENSATEG00000022639
scophthalmus_maximus ENSSMAG00000013073
labrus_bergylta ENSLBEG00000017058
monopterus_albus ENSMALG00000009416
poecilia_latipinna ENSPLAG00000012791
poecilia_mexicana ENSPMEG00000017565
poecilia_formosa ENSPFOG00000009445
gambusia_affinis ENSGAFG00000013228
poecilia_reticulata ENSPREG00000007990
xiphophorus_maculatus ENSXMAG00000012125
cyprinodon_variegatus ENSCVAG00000007965
fundulus_heteroclitus ENSFHEG00000016532
kryptolebias_marmoratus ENSKMAG00000005210
oryzias_latipes ENSORLG00020007619
oryzias_latipes ENSORLG00000011284
oryzias_latipes_asm223469v1 ENSORLG00015013433
oryzias_melastigma ENSOMEG00000010637
amphiprion_ocellaris ENSAOCG00000020961
amphiprion_percula ENSAPEG00000008289
stegastes_partitus ENSSPAG00000016592
acanthochromis_polyacanthus ENSAPOG00000016242
maylandia_zebra ENSMZEG00005016384
astatotilapia_calliptera ENSACLG00000021442
pundamilia_nyererei ENSPNYG00000002079
haplochromis_burtoni ENSHBUG00000013419
neolamprologus_brichardi ENSNBRG00000003259
oreochromis_niloticus ENSONIG00000012756
amphilophus_citrinellus ENSACIG00000006396
gasterosteus_aculeatus ENSGACG00000010754
cynoglossus_semilaevis ENSCSEG00000018887
takifugu_rubripes ENSTRUG00000015925
tetraodon_nigroviridis ENSTNIG00000008089
hippocampus_comes ENSHCOG00000020748
periophthalmus_magnuspinnatus ENSPMGG00000012089
gadus_morhua ENSGMOG00000005015
esox_lucius ENSELUG00000015143
scleropages_formosus ENSSFOG00015000726
paramormyrops_kingsleyae ENSPKIG00000012086
eptatretus_burgeri ENSEBUG00000004810
ciona_intestinalis ENSCING00000012764
ciona_intestinalis ENSCING00000024903
ciona_savignyi ENSCSAVG00000005694
caenorhabditis_elegans_strain_n2 WBGene00017158
piliocolobus_tephrosceles ENSPTEG00000010478
saccharomyces_cerevisiae YPR045C
