cricetulus_griseus_crigri-picr ENSCGRG00015024328
colobus_angolensis_palliatus ENSCANG00000041877
pan_paniscus ENSPPAG00000029160
pan_troglodytes ENSPTRG00000005431
homo_sapiens ENSG00000139433
gorilla_gorilla ENSGGOG00000043966
pongo_abelii ENSPPYG00000004939
gorilla_gorilla ENSGGOG00000039414
pan_troglodytes ENSPTRG00000039747
pongo_abelii ENSPPYG00000003441
nomascus_leucogenys ENSNLEG00000002238
saimiri_boliviensis_boliviensis ENSSBOG00000031645
cebus_capucinus ENSCCAG00000032136
callithrix_jacchus ENSCJAG00000045394
aotus_nancymaae ENSANAG00000015518
otolemur_garnettii ENSOGAG00000015202
castor_canadensis ENSCCNG00000011426
castor_canadensis ENSCCNG00000021936
marmota_marmota_marmota ENSMMMG00000005238
macaca_fascicularis ENSMFAG00000032430
macaca_nemestrina ENSMNEG00000043150
papio_anubis ENSPANG00000001572
cercocebus_atys ENSCATG00000039119
mandrillus_leucophaeus ENSMLEG00000042336
pan_paniscus ENSPPAG00000039649
bos_taurus ENSBTAG00000002591
equus_caballus ENSECAG00000006004
panthera_tigris_altaica ENSPTIG00000011575
loxodonta_africana ENSLAFG00000013411
procavia_capensis ENSPCAG00000000820
phascolarctos_cinereus ENSPCIG00000013870
sarcophilus_harrisii ENSSHAG00000008217
monodelphis_domestica ENSMODG00000004397
ornithorhynchus_anatinus ENSOANG00000004950
notechis_scutatus ENSNSUG00000018178
pogona_vitticeps ENSPVIG00000017835
salvator_merianae ENSSMRG00000020861
sphenodon_punctatus ENSSPUG00000008646
apteryx_haastii ENSAHAG00000012767
apteryx_owenii ENSAOWG00000001538
apteryx_rowi ENSARWG00000006414
dromaius_novaehollandiae ENSDNVG00000006088
nothoprocta_perdicaria ENSNPEG00000008611
gallus_gallus ENSGALG00000037998
coturnix_japonica ENSCJPG00005008312
meleagris_gallopavo ENSMGAG00000006396
numida_meleagris ENSNMEG00000021433
anas_platyrhynchos_platyrhynchos ENSAPLG00000027969
calidris_pugnax ENSCPUG00000014079
calidris_pygmaea ENSCPGG00000009332
anser_brachyrhynchus ENSABRG00000022202
lepidothrix_coronata ENSLCOG00000012439
manacus_vitellinus ENSMVIG00005015237
lonchura_striata_domestica ENSLSDG00000012389
taeniopygia_guttata ENSTGUG00000007421
serinus_canaria ENSSCAG00000005960
ficedula_albicollis ENSFALG00000008709
junco_hyemalis ENSJHYG00000005434
zonotrichia_albicollis ENSZALG00000011234
cyanistes_caeruleus ENSCCEG00000015649
parus_major ENSPMJG00000013370
crocodylus_porosus ENSCPRG00005011993
gopherus_agassizii ENSGAGG00000005875
chelonoidis_abingdonii ENSCABG00000000364
chrysemys_picta_bellii ENSCPBG00000021559
pelodiscus_sinensis ENSPSIG00000017288
xenopus_tropicalis ENSXETG00000018625
latimeria_chalumnae ENSLACG00000003414
gasterosteus_aculeatus ENSGACG00000009126
mola_mola ENSMMOG00000017735
labrus_bergylta ENSLBEG00000006753
amphiprion_ocellaris ENSAOCG00000009776
amphiprion_percula ENSAPEG00000023224
acanthochromis_polyacanthus ENSAPOG00000008203
stegastes_partitus ENSSPAG00000012724
haplochromis_burtoni ENSHBUG00000007225
astatotilapia_calliptera ENSACLG00000026619
maylandia_zebra ENSMZEG00005016249
pundamilia_nyererei ENSPNYG00000016349
oreochromis_niloticus ENSONIG00000013471
neolamprologus_brichardi ENSNBRG00000007472
amphilophus_citrinellus ENSACIG00000017082
fundulus_heteroclitus ENSFHEG00000014578
cyprinodon_variegatus ENSCVAG00000003869
xiphophorus_maculatus ENSXMAG00000022721
xiphophorus_couchianus ENSXCOG00000012820
gambusia_affinis ENSGAFG00000012662
poecilia_formosa ENSPFOG00000012514
poecilia_latipinna ENSPLAG00000004375
poecilia_reticulata ENSPREG00000022369
kryptolebias_marmoratus ENSKMAG00000016068
oryzias_latipes_asm223469v1 ENSORLG00015002884
oryzias_latipes ENSORLG00000007336
oryzias_latipes ENSORLG00020014457
oryzias_melastigma ENSOMEG00000002414
scophthalmus_maximus ENSSMAG00000013754
cynoglossus_semilaevis ENSCSEG00000007453
seriola_lalandi_dorsalis ENSSLDG00000025273
seriola_lalandi_dorsalis ENSSLDG00000007916
seriola_dumerili ENSSDUG00000012553
hippocampus_comes ENSHCOG00000008776
periophthalmus_magnuspinnatus ENSPMGG00000018872
mastacembelus_armatus ENSMAMG00000015498
monopterus_albus ENSMALG00000013724
anabas_testudineus ENSATEG00000008876
takifugu_rubripes ENSTRUG00000015019
tetraodon_nigroviridis ENSTNIG00000015885
gadus_morhua ENSGMOG00000009782
esox_lucius ENSELUG00000003047
pygocentrus_nattereri ENSPNAG00000001188
astyanax_mexicanus ENSAMXG00000032628
ictalurus_punctatus ENSIPUG00000023208
danio_rerio ENSDARG00000061921
scleropages_formosus ENSSFOG00015002948
paramormyrops_kingsleyae ENSPKIG00000024961
paramormyrops_kingsleyae ENSPKIG00000023817
scleropages_formosus ENSSFOG00015017343
monopterus_albus ENSMALG00000011835
cynoglossus_semilaevis ENSCSEG00000015586
mastacembelus_armatus ENSMAMG00000011690
scophthalmus_maximus ENSSMAG00000002233
seriola_lalandi_dorsalis ENSSLDG00000012023
seriola_dumerili ENSSDUG00000019100
anabas_testudineus ENSATEG00000019850
xiphophorus_maculatus ENSXMAG00000001549
xiphophorus_couchianus ENSXCOG00000003194
gambusia_affinis ENSGAFG00000009596
poecilia_formosa ENSPFOG00000019795
poecilia_latipinna ENSPLAG00000022586
poecilia_mexicana ENSPMEG00000008658
poecilia_reticulata ENSPREG00000013457
fundulus_heteroclitus ENSFHEG00000020695
cyprinodon_variegatus ENSCVAG00000021240
kryptolebias_marmoratus ENSKMAG00000006929
oryzias_latipes_asm223469v1 ENSORLG00015005085
oryzias_latipes ENSORLG00000007931
oryzias_latipes ENSORLG00020017870
oryzias_melastigma ENSOMEG00000002721
haplochromis_burtoni ENSHBUG00000019039
astatotilapia_calliptera ENSACLG00000015281
pundamilia_nyererei ENSPNYG00000008489
maylandia_zebra ENSMZEG00005018458
neolamprologus_brichardi ENSNBRG00000004040
amphilophus_citrinellus ENSACIG00000015631
amphiprion_ocellaris ENSAOCG00000002946
amphiprion_percula ENSAPEG00000012206
acanthochromis_polyacanthus ENSAPOG00000013437
stegastes_partitus ENSSPAG00000006185
labrus_bergylta ENSLBEG00000017619
gasterosteus_aculeatus ENSGACG00000016911
takifugu_rubripes ENSTRUG00000021049
tetraodon_nigroviridis ENSTNIG00000009061
mola_mola ENSMMOG00000009375
hippocampus_comes ENSHCOG00000017474
periophthalmus_magnuspinnatus ENSPMGG00000016227
gadus_morhua ENSGMOG00000014307
esox_lucius ENSELUG00000022023
pygocentrus_nattereri ENSPNAG00000019649
astyanax_mexicanus ENSAMXG00000035811
ictalurus_punctatus ENSIPUG00000005207
danio_rerio ENSDARG00000077962
lepisosteus_oculatus ENSLOCG00000004248
eptatretus_burgeri ENSEBUG00000015484
ciona_intestinalis ENSCING00000021024
