nothoprocta_perdicaria ENSNPEG00000013527
ursus_maritimus ENSUMAG00000023191
ailuropoda_melanoleuca ENSAMEG00000011560
canis_lupus_familiaris ENSCAFG00000019781
canis_lupus_dingo ENSCAFG00020000780
vulpes_vulpes ENSVVUG00000027436
mustela_putorius_furo ENSMPUG00000012230
neovison_vison ENSNVIG00000020079
panthera_pardus ENSPPRG00000002618
felis_catus ENSFCAG00000042403
equus_asinus_asinus ENSEASG00005009928
equus_caballus ENSECAG00000011675
bos_taurus ENSBTAG00000013242
bos_mutus ENSBMUG00000000420
capra_hircus ENSCHIG00000025700
ovis_aries ENSOARG00000003208
tursiops_truncatus ENSTTRG00000014252
sus_scrofa ENSSSCG00000022891
macaca_nemestrina ENSMNEG00000042261
macaca_fascicularis ENSMFAG00000033845
macaca_mulatta ENSMMUG00000017202
theropithecus_gelada ENSTGEG00000010834
cercocebus_atys ENSCATG00000040737
mandrillus_leucophaeus ENSMLEG00000011155
papio_anubis ENSPANG00000026047
chlorocebus_sabaeus ENSCSAG00000015433
rhinopithecus_roxellana ENSRROG00000034647
rhinopithecus_bieti ENSRBIG00000037991
colobus_angolensis_palliatus ENSCANG00000033279
piliocolobus_tephrosceles ENSPTEG00000030390
pan_troglodytes ENSPTRG00000023019
pan_paniscus ENSPPAG00000032051
homo_sapiens ENSG00000187616
gorilla_gorilla ENSGGOG00000014738
pongo_abelii ENSPPYG00000019739
nomascus_leucogenys ENSNLEG00000013310
cebus_capucinus ENSCCAG00000028174
saimiri_boliviensis_boliviensis ENSSBOG00000001055
callithrix_jacchus ENSCJAG00000009952
aotus_nancymaae ENSANAG00000033251
carlito_syrichta ENSTSYG00000026409
propithecus_coquereli ENSPCOG00000016450
prolemur_simus ENSPSMG00000018888
microcebus_murinus ENSMICG00000038732
heterocephalus_glaber_female ENSHGLG00000019250
heterocephalus_glaber_male ENSHGLG00100010633
fukomys_damarensis ENSFDAG00000015710
chinchilla_lanigera ENSCLAG00000006416
octodon_degus ENSODEG00000015871
cavia_aperea ENSCAPG00000008922
cavia_porcellus ENSCPOG00000021725
ictidomys_tridecemlineatus ENSSTOG00000025119
urocitellus_parryii ENSUPAG00010008772
spermophilus_dauricus ENSSDAG00000010173
marmota_marmota_marmota ENSMMMG00000013077
ochotona_princeps ENSOPRG00000001870
dasypus_novemcinctus ENSDNOG00000006031
pteropus_vampyrus ENSPVAG00000001434
loxodonta_africana ENSLAFG00000016453
procavia_capensis ENSPCAG00000008772
notamacropus_eugenii ENSMEUG00000015799
phascolarctos_cinereus ENSPCIG00000017386
monodelphis_domestica ENSMODG00000012987
sarcophilus_harrisii ENSSHAG00000007564
ornithorhynchus_anatinus ENSOANG00000002836
anolis_carolinensis ENSACAG00000006509
notechis_scutatus ENSNSUG00000010614
pogona_vitticeps ENSPVIG00000006826
salvator_merianae ENSSMRG00000013954
paramormyrops_kingsleyae ENSPKIG00000005555
scleropages_formosus ENSSFOG00015007195
acanthochromis_polyacanthus ENSAPOG00000002885
amphiprion_percula ENSAPEG00000021142
stegastes_partitus ENSSPAG00000015868
scophthalmus_maximus ENSSMAG00000013269
fundulus_heteroclitus ENSFHEG00000021298
cyprinodon_variegatus ENSCVAG00000018002
poecilia_latipinna ENSPLAG00000013959
poecilia_reticulata ENSPREG00000019037
poecilia_mexicana ENSPMEG00000021423
poecilia_formosa ENSPFOG00000003674
xiphophorus_maculatus ENSXMAG00000000047
xiphophorus_couchianus ENSXCOG00000011825
oryzias_latipes ENSORLG00000016982
oryzias_latipes_asm223469v1 ENSORLG00015007077
oryzias_latipes ENSORLG00020016547
oryzias_melastigma ENSOMEG00000003958
kryptolebias_marmoratus ENSKMAG00000003097
cynoglossus_semilaevis ENSCSEG00000008960
maylandia_zebra ENSMZEG00005019945
astatotilapia_calliptera ENSACLG00000025383
haplochromis_burtoni ENSHBUG00000002728
pundamilia_nyererei ENSPNYG00000007894
neolamprologus_brichardi ENSNBRG00000015410
oreochromis_niloticus ENSONIG00000013892
amphilophus_citrinellus ENSACIG00000007657
gambusia_affinis ENSGAFG00000016136
takifugu_rubripes ENSTRUG00000009850
tetraodon_nigroviridis ENSTNIG00000016738
mola_mola ENSMMOG00000014742
labrus_bergylta ENSLBEG00000002077
seriola_lalandi_dorsalis ENSSLDG00000024527
seriola_lalandi_dorsalis ENSSLDG00000004693
seriola_dumerili ENSSDUG00000013090
monopterus_albus ENSMALG00000005261
mastacembelus_armatus ENSMAMG00000017523
anabas_testudineus ENSATEG00000010413
hippocampus_comes ENSHCOG00000014575
periophthalmus_magnuspinnatus ENSPMGG00000017902
esox_lucius ENSELUG00000015336
pygocentrus_nattereri ENSPNAG00000026933
astyanax_mexicanus ENSAMXG00000014260
ictalurus_punctatus ENSIPUG00000014654
danio_rerio ENSDARG00000103988
lepisosteus_oculatus ENSLOCG00000002633
eptatretus_burgeri ENSEBUG00000006231
