callorhinchus_milii ENSCMIG00000013908
pygocentrus_nattereri ENSPNAG00000022002
electrophorus_electricus ENSEEEG00000023634
ictalurus_punctatus ENSIPUG00000013572
danio_rerio ENSDARG00000033899
clupea_harengus ENSCHAG00000019708
denticeps_clupeoides ENSDCDG00000003741
danio_rerio ENSDARG00000002790
hucho_hucho ENSHHUG00000008546
esox_lucius ENSELUG00000006397
hucho_hucho ENSHHUG00000035608
hucho_hucho ENSHHUG00000025138
cottoperca_gobio ENSCGOG00000016299
larimichthys_crocea ENSLCRG00005002833
lates_calcarifer ENSLCAG00010001710
lates_calcarifer ENSLCAG00010010570
mastacembelus_armatus ENSMAMG00000018537
amphiprion_percula ENSAPEG00000019075
amphiprion_ocellaris ENSAOCG00000007028
acanthochromis_polyacanthus ENSAPOG00000008170
stegastes_partitus ENSSPAG00000012833
gadus_morhua ENSGMOG00000001915
pygocentrus_nattereri ENSPNAG00000006812
astyanax_mexicanus ENSAMXG00000029317
electrophorus_electricus ENSEEEG00000010142
paramormyrops_kingsleyae ENSPKIG00000011484
paramormyrops_kingsleyae ENSPKIG00000014529
clupea_harengus ENSCHAG00000000899
denticeps_clupeoides ENSDCDG00000016469
cynoglossus_semilaevis ENSCSEG00000012443
hippocampus_comes ENSHCOG00000012620
seriola_dumerili ENSSDUG00000013877
seriola_lalandi ENSSLDG00000020332
scophthalmus_maximus ENSSMAG00000004560
lates_calcarifer ENSLCAG00010020671
mastacembelus_armatus ENSMAMG00000006654
monopterus_albus ENSMALG00000022088
anabas_testudineus ENSATEG00000017335
betta_splendens ENSBSLG00000025307
amphiprion_ocellaris ENSAOCG00000019817
amphiprion_percula ENSAPEG00000016947
acanthochromis_polyacanthus ENSAPOG00000012661
stegastes_partitus ENSSPAG00000007327
parambassis_ranga ENSPRNG00000022527
poecilia_latipinna ENSPLAG00000015435
poecilia_formosa ENSPFOG00000009058
poecilia_mexicana ENSPMEG00000017834
poecilia_reticulata ENSPREG00000014057
xiphophorus_maculatus ENSXMAG00000019001
xiphophorus_couchianus ENSXCOG00000008054
gambusia_affinis ENSGAFG00000007309
fundulus_heteroclitus ENSFHEG00000018703
cyprinodon_variegatus ENSCVAG00000020589
kryptolebias_marmoratus ENSKMAG00000008592
oryzias_latipes ENSORLG00000014164
oryzias_latipes ENSORLG00015019741
oryzias_latipes ENSORLG00020019040
oryzias_melastigma ENSOMEG00000018414
maylandia_zebra ENSMZEG00005002719
astatotilapia_calliptera ENSACLG00000006350
haplochromis_burtoni ENSHBUG00000015302
pundamilia_nyererei ENSPNYG00000004468
neolamprologus_brichardi ENSNBRG00000022722
oreochromis_niloticus ENSONIG00000010404
amphilophus_citrinellus ENSACIG00000019325
cottoperca_gobio ENSCGOG00000012546
gasterosteus_aculeatus ENSGACG00000015444
takifugu_rubripes ENSTRUG00000000587
tetraodon_nigroviridis ENSTNIG00000011089
mola_mola ENSMMOG00000008047
larimichthys_crocea ENSLCRG00005023420
labrus_bergylta ENSLBEG00000013079
periophthalmus_magnuspinnatus ENSPMGG00000003304
scleropages_formosus ENSSFOG00015017743
lepisosteus_oculatus ENSLOCG00000008365
eptatretus_burgeri ENSEBUG00000009535
erpetoichthys_calabaricus ENSECRG00000004758
erpetoichthys_calabaricus ENSECRG00000016108
saccharomyces_cerevisiae YOL062C
