haplochromis_burtoni ENSHBUG00000009159
dasypus_novemcinctus ENSDNOG00000009805
choloepus_hoffmanni ENSCHOG00000010844
loxodonta_africana ENSLAFG00000002631
procavia_capensis ENSPCAG00000000029
echinops_telfairi ENSETEG00000000877
castor_canadensis ENSCCNG00000021982
dipodomys_ordii ENSDORG00000014453
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024463
mus_spicilegus ENSMSIG00000023790
mus_musculus ENSMUSG00000026761
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023543
mus_pahari MGP_PahariEiJ_G0024994
rattus_norvegicus ENSRNOG00000005021
meriones_unguiculatus ENSMUGG00000022420
cricetulus_griseus_crigri-picr ENSCGRG00015013357
cricetulus_griseus_crigri ENSCGRG00000012059
cricetulus_griseus_chok1gshd ENSCGRG00001001352
mesocricetus_auratus ENSMAUG00000013801
peromyscus_maniculatus_bairdii ENSPEMG00000013503
microtus_ochrogaster ENSMOCG00000008587
nannospalax_galili ENSNGAG00000012001
jaculus_jaculus ENSJJAG00000011085
octodon_degus ENSODEG00000007273
chinchilla_lanigera ENSCLAG00000002811
cavia_porcellus ENSCPOG00000008580
cavia_aperea ENSCAPG00000006812
heterocephalus_glaber_male ENSHGLG00100005565
heterocephalus_glaber_female ENSHGLG00000000361
fukomys_damarensis ENSFDAG00000005573
spermophilus_dauricus ENSSDAG00000010237
urocitellus_parryii ENSUPAG00010004557
marmota_marmota_marmota ENSMMMG00000021615
ictidomys_tridecemlineatus ENSSTOG00000026092
oryctolagus_cuniculus ENSOCUG00000016412
ochotona_princeps ENSOPRG00000005935
tupaia_belangeri ENSTBEG00000002053
saimiri_boliviensis_boliviensis ENSSBOG00000028104
cebus_capucinus ENSCCAG00000008932
callithrix_jacchus ENSCJAG00000012561
aotus_nancymaae ENSANAG00000023030
chlorocebus_sabaeus ENSCSAG00000016183
cercocebus_atys ENSCATG00000045066
papio_anubis ENSPANG00000009846
theropithecus_gelada ENSTGEG00000004280
macaca_nemestrina ENSMNEG00000031287
macaca_mulatta ENSMMUG00000000043
macaca_fascicularis ENSMFAG00000031595
mandrillus_leucophaeus ENSMLEG00000041166
rhinopithecus_roxellana ENSRROG00000035834
rhinopithecus_bieti ENSRBIG00000038574
piliocolobus_tephrosceles ENSPTEG00000024085
colobus_angolensis_palliatus ENSCANG00000036424
pan_paniscus ENSPPAG00000043794
pan_troglodytes ENSPTRG00000012515
homo_sapiens ENSG00000115947
gorilla_gorilla ENSGGOG00000022258
pongo_abelii ENSPPYG00000012835
nomascus_leucogenys ENSNLEG00000009077
carlito_syrichta ENSTSYG00000007217
prolemur_simus ENSPSMG00000005784
propithecus_coquereli ENSPCOG00000005005
microcebus_murinus ENSMICG00000004578
otolemur_garnettii ENSOGAG00000004022
sorex_araneus ENSSARG00000011297
erinaceus_europaeus ENSEEUG00000001215
sus_scrofa ENSSSCG00000015668
vicugna_pacos ENSVPAG00000005529
bos_mutus ENSBMUG00000008225
bos_taurus ENSBTAG00000015291
bison_bison_bison ENSBBBG00000001184
ovis_aries ENSOARG00000009823
capra_hircus ENSCHIG00000023781
tursiops_truncatus ENSTTRG00000016400
pteropus_vampyrus ENSPVAG00000011853
myotis_lucifugus ENSMLUG00000006494
ursus_maritimus ENSUMAG00000006461
ursus_americanus ENSUAMG00000012078
ailuropoda_melanoleuca ENSAMEG00000013398
neovison_vison ENSNVIG00000004006
mustela_putorius_furo ENSMPUG00000003591
canis_lupus_familiaris ENSCAFG00000005522
canis_lupus_dingo ENSCAFG00020016340
vulpes_vulpes ENSVVUG00000010947
panthera_pardus ENSPPRG00000012919
panthera_tigris_altaica ENSPTIG00000011249
felis_catus ENSFCAG00000029890
equus_asinus_asinus ENSEASG00005023452
equus_caballus ENSECAG00000013910
notamacropus_eugenii ENSMEUG00000008976
phascolarctos_cinereus ENSPCIG00000006936
sarcophilus_harrisii ENSSHAG00000010772
monodelphis_domestica ENSMODG00000003327
ornithorhynchus_anatinus ENSOANG00000008383
anser_brachyrhynchus ENSABRG00000008400
anas_platyrhynchos_platyrhynchos ENSAPLG00000010668
meleagris_gallopavo ENSMGAG00000012670
gallus_gallus ENSGALG00000012448
coturnix_japonica ENSCJPG00005020767
numida_meleagris ENSNMEG00000002958
calidris_pygmaea ENSCPGG00000000069
calidris_pugnax ENSCPUG00000007929
melopsittacus_undulatus ENSMUNG00000013704
apteryx_haastii ENSAHAG00000017434
apteryx_owenii ENSAOWG00000012912
apteryx_rowi ENSARWG00000002213
dromaius_novaehollandiae ENSDNVG00000016344
nothoprocta_perdicaria ENSNPEG00000013239
junco_hyemalis ENSJHYG00000003493
zonotrichia_albicollis ENSZALG00000011255
serinus_canaria ENSSCAG00000008247
taeniopygia_guttata ENSTGUG00000011929
lonchura_striata_domestica ENSLSDG00000005540
parus_major ENSPMJG00000019994
cyanistes_caeruleus ENSCCEG00000013657
ficedula_albicollis ENSFALG00000013856
manacus_vitellinus ENSMVIG00005006590
manacus_vitellinus ENSMVIG00005006587
lepidothrix_coronata ENSLCOG00000011400
crocodylus_porosus ENSCPRG00005007654
chelonoidis_abingdonii ENSCABG00000015985
chelonoidis_abingdonii ENSCABG00000015986
gopherus_agassizii ENSGAGG00000023055
chrysemys_picta_bellii ENSCPBG00000025785
chelonoidis_abingdonii ENSCABG00000005175
pelodiscus_sinensis ENSPSIG00000006933
sphenodon_punctatus ENSSPUG00000001902
sphenodon_punctatus ENSSPUG00000001892
pogona_vitticeps ENSPVIG00000018163
anolis_carolinensis ENSACAG00000003430
notechis_scutatus ENSNSUG00000010166
salvator_merianae ENSSMRG00000023467
xenopus_tropicalis ENSXETG00000021718
latimeria_chalumnae ENSLACG00000000610
petromyzon_marinus ENSPMAG00000008602
eptatretus_burgeri ENSEBUG00000007540
ciona_savignyi ENSCSAVG00000008461
ciona_intestinalis ENSCING00000022335
drosophila_melanogaster FBgn0023181
saccharomyces_cerevisiae YPR162C
