peromyscus_maniculatus ENSPEMG00000004230
gopherus_agassizii ENSGAGG00000013182
pelodiscus_sinensis ENSPSIG00000002518
nothoprocta_perdicaria ENSNPEG00000015874
sphenodon_punctatus ENSSPUG00000010994
pogona_vitticeps ENSPVIG00000014426
salvator_merianae ENSSMRG00000006372
notechis_scutatus ENSNSUG00000010857
anolis_carolinensis ENSACAG00000004460
xenopus_tropicalis ENSXETG00000006058
latimeria_chalumnae ENSLACG00000011676
periophthalmus_magnuspinnatus ENSPMGG00000018095
hippocampus_comes ENSHCOG00000008879
mola_mola ENSMMOG00000010539
takifugu_rubripes ENSTRUG00000020221
larimichthys_crocea ENSLCRG00005009780
labrus_bergylta ENSLBEG00000020698
gasterosteus_aculeatus ENSGACG00000020561
cynoglossus_semilaevis ENSCSEG00000012231
cynoglossus_semilaevis ENSCSEG00000007603
scophthalmus_maximus ENSSMAG00000003100
poecilia_latipinna ENSPLAG00000020870
poecilia_mexicana ENSPMEG00000000984
poecilia_formosa ENSPFOG00000015903
poecilia_formosa ENSPFOG00000015973
poecilia_reticulata ENSPREG00000011530
xiphophorus_maculatus ENSXMAG00000029072
xiphophorus_couchianus ENSXCOG00000010119
gambusia_affinis ENSGAFG00000020873
cyprinodon_variegatus ENSCVAG00000010344
fundulus_heteroclitus ENSFHEG00000001387
kryptolebias_marmoratus ENSKMAG00000005366
oryzias_latipes ENSORLG00015000539
oryzias_latipes ENSORLG00000003932
oryzias_latipes ENSORLG00020013534
oryzias_melastigma ENSOMEG00000013060
gouania_willdenowi ENSGWIG00000018130
betta_splendens ENSBSLG00000015018
anabas_testudineus ENSATEG00000003090
mastacembelus_armatus ENSMAMG00000014173
amphiprion_percula ENSAPEG00000020305
amphiprion_ocellaris ENSAOCG00000015466
acanthochromis_polyacanthus ENSAPOG00000024255
parambassis_ranga ENSPRNG00000012424
astatotilapia_calliptera ENSACLG00000003103
maylandia_zebra ENSMZEG00005024479
pundamilia_nyererei ENSPNYG00000013113
haplochromis_burtoni ENSHBUG00000006832
neolamprologus_brichardi ENSNBRG00000013058
oreochromis_niloticus ENSONIG00000012616
amphilophus_citrinellus ENSACIG00000023524
stegastes_partitus ENSSPAG00000003337
monopterus_albus ENSMALG00000010571
cottoperca_gobio ENSCGOG00000021763
seriola_dumerili ENSSDUG00000014246
seriola_lalandi ENSSLDG00000023097
lates_calcarifer ENSLCAG00010024629
gadus_morhua ENSGMOG00000020442
hucho_hucho ENSHHUG00000014660
hucho_hucho ENSHHUG00000016615
esox_lucius ENSELUG00000000320
astyanax_mexicanus ENSAMXG00000043549
astyanax_mexicanus ENSAMXG00005002276
pygocentrus_nattereri ENSPNAG00000020363
ictalurus_punctatus ENSIPUG00000009671
electrophorus_electricus ENSEEEG00000006221
danio_rerio ENSDARG00000076891
denticeps_clupeoides ENSDCDG00000003775
clupea_harengus ENSCHAG00000026636
scleropages_formosus ENSSFOG00015005564
paramormyrops_kingsleyae ENSPKIG00000023321
lepisosteus_oculatus ENSLOCG00000008468
erpetoichthys_calabaricus ENSECRG00000000784
callorhinchus_milii ENSCMIG00000018745
