bison_bison_bison ENSBBBG00000009162
cricetulus_griseus_chok1gshd ENSCGRG00001005033
cricetulus_griseus_crigri ENSCGRG00000015444
mesocricetus_auratus ENSMAUG00000015691
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016601
mus_spicilegus ENSMSIG00000031795
mus_musculus ENSMUSG00000036019
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015779
mus_pahari MGP_PahariEiJ_G0031308
rattus_norvegicus ENSRNOG00000004585
nannospalax_galili ENSNGAG00000023652
oryctolagus_cuniculus ENSOCUG00000017847
heterocephalus_glaber_female ENSHGLG00000000320
heterocephalus_glaber_male ENSHGLG00100013715
octodon_degus ENSODEG00000007730
jaculus_jaculus ENSJJAG00000016641
ochotona_princeps ENSOPRG00000007346
echinops_telfairi ENSETEG00000005474
ursus_americanus ENSUAMG00000004076
notamacropus_eugenii ENSMEUG00000006308
phascolarctos_cinereus ENSPCIG00000032378
monodelphis_domestica ENSMODG00000020487
ornithorhynchus_anatinus ENSOANG00000015210
gallus_gallus ENSGALG00000010975
meleagris_gallopavo ENSMGAG00000011121
coturnix_japonica ENSCJPG00005004705
numida_meleagris ENSNMEG00000005613
anser_brachyrhynchus ENSABRG00000010064
anas_platyrhynchos_platyrhynchos ENSAPLG00000013866
calidris_pygmaea ENSCPGG00000010594
calidris_pugnax ENSCPUG00000003109
melopsittacus_undulatus ENSMUNG00000015160
parus_major ENSPMJG00000012678
cyanistes_caeruleus ENSCCEG00000010454
ficedula_albicollis ENSFALG00000010537
zonotrichia_albicollis ENSZALG00000010262
junco_hyemalis ENSJHYG00000010342
serinus_canaria ENSSCAG00000007852
lonchura_striata_domestica ENSLSDG00000016715
taeniopygia_guttata ENSTGUG00000007855
lepidothrix_coronata ENSLCOG00000008053
manacus_vitellinus ENSMVIG00005002718
apteryx_owenii ENSAOWG00000010987
apteryx_rowi ENSARWG00000012277
apteryx_haastii ENSAHAG00000003381
dromaius_novaehollandiae ENSDNVG00000010549
nothoprocta_perdicaria ENSNPEG00000008962
crocodylus_porosus ENSCPRG00005003097
chelonoidis_abingdonii ENSCABG00000008345
gopherus_agassizii ENSGAGG00000000661
chrysemys_picta_bellii ENSCPBG00000000077
pelodiscus_sinensis ENSPSIG00000006034
pogona_vitticeps ENSPVIG00000023902
anolis_carolinensis ENSACAG00000014731
notechis_scutatus ENSNSUG00000000314
salvator_merianae ENSSMRG00000010414
sphenodon_punctatus ENSSPUG00000011368
xenopus_tropicalis ENSXETG00000021370
latimeria_chalumnae ENSLACG00000004494
scleropages_formosus ENSSFOG00015004053
paramormyrops_kingsleyae ENSPKIG00000001506
paramormyrops_kingsleyae ENSPKIG00000008138
scleropages_formosus ENSSFOG00015006658
scleropages_formosus ENSSFOG00015008721
paramormyrops_kingsleyae ENSPKIG00000019580
poecilia_reticulata ENSPREG00000013002
paramormyrops_kingsleyae ENSPKIG00000013059
scleropages_formosus ENSSFOG00015019839
labrus_bergylta ENSLBEG00000010564
gasterosteus_aculeatus ENSGACG00000013623
monopterus_albus ENSMALG00000021797
mastacembelus_armatus ENSMAMG00000001220
anabas_testudineus ENSATEG00000017360
fundulus_heteroclitus ENSFHEG00000005835
cyprinodon_variegatus ENSCVAG00000013712
xiphophorus_maculatus ENSXMAG00000005587
xiphophorus_couchianus ENSXCOG00000007488
gambusia_affinis ENSGAFG00000014583
poecilia_latipinna ENSPLAG00000001074
poecilia_formosa ENSPFOG00000009686
poecilia_mexicana ENSPMEG00000005469
poecilia_reticulata ENSPREG00000021069
kryptolebias_marmoratus ENSKMAG00000021894
oryzias_latipes ENSORLG00000016003
oryzias_latipes ENSORLG00020010674
oryzias_latipes_asm223469v1 ENSORLG00015001441
oryzias_melastigma ENSOMEG00000022383
maylandia_zebra ENSMZEG00005016851
astatotilapia_calliptera ENSACLG00000008148
haplochromis_burtoni ENSHBUG00000001005
pundamilia_nyererei ENSPNYG00000020686
neolamprologus_brichardi ENSNBRG00000016031
oreochromis_niloticus ENSONIG00000010356
haplochromis_burtoni ENSHBUG00000013602
amphilophus_citrinellus ENSACIG00000010142
takifugu_rubripes ENSTRUG00000006515
tetraodon_nigroviridis ENSTNIG00000008786
mola_mola ENSMMOG00000019361
cynoglossus_semilaevis ENSCSEG00000003594
seriola_dumerili ENSSDUG00000000868
seriola_lalandi_dorsalis ENSSLDG00000010694
scophthalmus_maximus ENSSMAG00000011220
amphiprion_ocellaris ENSAOCG00000008189
amphiprion_percula ENSAPEG00000002184
acanthochromis_polyacanthus ENSAPOG00000000784
stegastes_partitus ENSSPAG00000020508
hippocampus_comes ENSHCOG00000006824
periophthalmus_magnuspinnatus ENSPMGG00000006637
gadus_morhua ENSGMOG00000012460
esox_lucius ENSELUG00000018780
pygocentrus_nattereri ENSPNAG00000020375
astyanax_mexicanus ENSAMXG00000001068
ictalurus_punctatus ENSIPUG00000015125
danio_rerio ENSDARG00000035273
gasterosteus_aculeatus ENSGACG00000019759
hippocampus_comes ENSHCOG00000004883
scophthalmus_maximus ENSSMAG00000001238
xiphophorus_couchianus ENSXCOG00000003068
poecilia_reticulata ENSPREG00000002692
pundamilia_nyererei ENSPNYG00000000545
mola_mola ENSMMOG00000001937
labrus_bergylta ENSLBEG00000018582
seriola_dumerili ENSSDUG00000003171
seriola_lalandi_dorsalis ENSSLDG00000023459
cynoglossus_semilaevis ENSCSEG00000008282
mastacembelus_armatus ENSMAMG00000011332
monopterus_albus ENSMALG00000013126
anabas_testudineus ENSATEG00000017925
xiphophorus_maculatus ENSXMAG00000002724
xiphophorus_couchianus ENSXCOG00000013123
gambusia_affinis ENSGAFG00000008804
poecilia_mexicana ENSPMEG00000007134
poecilia_formosa ENSPFOG00000005780
poecilia_latipinna ENSPLAG00000003813
poecilia_reticulata ENSPREG00000002702
fundulus_heteroclitus ENSFHEG00000021458
cyprinodon_variegatus ENSCVAG00000009760
kryptolebias_marmoratus ENSKMAG00000016275
oryzias_latipes ENSORLG00000014820
oryzias_latipes_asm223469v1 ENSORLG00015013126
oryzias_latipes ENSORLG00020014792
oryzias_melastigma ENSOMEG00000007299
amphiprion_ocellaris ENSAOCG00000023152
amphiprion_percula ENSAPEG00000006294
acanthochromis_polyacanthus ENSAPOG00000013934
stegastes_partitus ENSSPAG00000022377
maylandia_zebra ENSMZEG00005006025
astatotilapia_calliptera ENSACLG00000023776
haplochromis_burtoni ENSHBUG00000018695
pundamilia_nyererei ENSPNYG00000000525
oreochromis_niloticus ENSONIG00000011550
neolamprologus_brichardi ENSNBRG00000005847
amphilophus_citrinellus ENSACIG00000004134
periophthalmus_magnuspinnatus ENSPMGG00000009813
tetraodon_nigroviridis ENSTNIG00000011030
takifugu_rubripes ENSTRUG00000015242
hippocampus_comes ENSHCOG00000004873
gadus_morhua ENSGMOG00000001700
esox_lucius ENSELUG00000001776
pygocentrus_nattereri ENSPNAG00000029064
astyanax_mexicanus ENSAMXG00000010377
ictalurus_punctatus ENSIPUG00000017846
danio_rerio ENSDARG00000045753
paramormyrops_kingsleyae ENSPKIG00000016607
lepisosteus_oculatus ENSLOCG00000016332
eptatretus_burgeri ENSEBUG00000004987
