acanthochromis_polyacanthus ENSAPOG00000016782
gorilla_gorilla ENSGGOG00000016325
pan_paniscus ENSPPAG00000033424
callithrix_jacchus ENSCJAG00000066138
callithrix_jacchus ENSCJAG00000055660
cebus_capucinus ENSCCAG00000024748
tupaia_belangeri ENSTBEG00000017737
propithecus_coquereli ENSPCOG00000020882
microcebus_murinus ENSMICG00000028168
prolemur_simus ENSPSMG00000017251
otolemur_garnettii ENSOGAG00000032131
carlito_syrichta ENSTSYG00000007482
pan_troglodytes ENSPTRG00000045261
pan_troglodytes ENSPTRG00000007682
homo_sapiens ENSG00000008516
pongo_abelii ENSPPYG00000007030
nomascus_leucogenys ENSNLEG00000009586
colobus_angolensis ENSCANG00000030264
piliocolobus_tephrosceles ENSPTEG00000012965
rhinopithecus_bieti ENSRBIG00000037762
rhinopithecus_roxellana ENSRROG00000033130
papio_anubis ENSPANG00000007363
theropithecus_gelada ENSTGEG00000025726
macaca_fascicularis ENSMFAG00000008798
macaca_mulatta ENSMMUG00000009483
macaca_nemestrina ENSMNEG00000033508
cercocebus_atys ENSCATG00000039462
mandrillus_leucophaeus ENSMLEG00000040270
chlorocebus_sabaeus ENSCSAG00000010218
saimiri_boliviensis ENSSBOG00000030242
aotus_nancymaae ENSANAG00000029683
procavia_capensis ENSPCAG00000000042
loxodonta_africana ENSLAFG00000006175
cebus_capucinus ENSCCAG00000031250
pteropus_vampyrus ENSPVAG00000001479
myotis_lucifugus ENSMLUG00000001353
ursus_americanus ENSUAMG00000007916
ailuropoda_melanoleuca ENSAMEG00000005545
mustela_putorius ENSMPUG00000015204
neovison_vison ENSNVIG00000023326
canis_lupus ENSCAFG00020025855
canis_lupus ENSCAFG00000019309
vulpes_vulpes ENSVVUG00000008346
panthera_pardus ENSPPRG00000015683
panthera_tigris ENSPTIG00000018984
felis_catus ENSFCAG00000025154
panthera_pardus ENSPPRG00000017128
felis_catus ENSFCAG00000043449
capra_hircus ENSCHIG00000013887
ovis_aries ENSOARG00000001161
bos_indicus ENSBIXG00000029909
bos_indicus ENSBIXG00005008582
bos_taurus ENSBTAG00000016424
bos_mutus ENSBMUG00000014206
tursiops_truncatus ENSTTRG00000004017
sus_scrofa ENSSSCG00000021569
equus_asinus ENSEASG00005006085
equus_caballus ENSECAG00000010928
dasypus_novemcinctus ENSDNOG00000047618
echinops_telfairi ENSETEG00000008621
vombatus_ursinus ENSVURG00010000360
phascolarctos_cinereus ENSPCIG00000033368
notamacropus_eugenii ENSMEUG00000004468
sarcophilus_harrisii ENSSHAG00000017420
monodelphis_domestica ENSMODG00000016466
ornithorhynchus_anatinus ENSOANG00000007228
lepisosteus_oculatus ENSLOCG00000000182
eptatretus_burgeri ENSEBUG00000010043
