amphilophus_citrinellus ENSACIG00000018175
nomascus_leucogenys ENSNLEG00000007556
pan_troglodytes ENSPTRG00000051792
gorilla_gorilla ENSGGOG00000028432
rhinopithecus_bieti ENSRBIG00000037515
rhinopithecus_roxellana ENSRROG00000028864
piliocolobus_tephrosceles ENSPTEG00000030769
colobus_angolensis_palliatus ENSCANG00000029855
macaca_fascicularis ENSMFAG00000042425
macaca_mulatta ENSMMUG00000000935
macaca_nemestrina ENSMNEG00000031604
chlorocebus_sabaeus ENSCSAG00000015280
papio_anubis ENSPANG00000026040
theropithecus_gelada ENSTGEG00000011250
mandrillus_leucophaeus ENSMLEG00000037716
cercocebus_atys ENSCATG00000028646
cebus_capucinus ENSCCAG00000027049
saimiri_boliviensis_boliviensis ENSSBOG00000032587
callithrix_jacchus ENSCJAG00000009774
aotus_nancymaae ENSANAG00000028404
carlito_syrichta ENSTSYG00000027492
propithecus_coquereli ENSPCOG00000025466
microcebus_murinus ENSMICG00000008422
prolemur_simus ENSPSMG00000018943
otolemur_garnettii ENSOGAG00000014040
castor_canadensis ENSCCNG00000018513
dipodomys_ordii ENSDORG00000006190
microtus_ochrogaster ENSMOCG00000020607
peromyscus_maniculatus_bairdii ENSPEMG00000017982
cricetulus_griseus_crigri ENSCGRG00000009819
cricetulus_griseus_chok1gshd ENSCGRG00001013126
cricetulus_griseus_crigri-picr ENSCGRG00015011263
mesocricetus_auratus ENSMAUG00000015137
mus_musculus ENSMUSG00000052406
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024249
mus_spicilegus ENSMSIG00000019342
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023332
mus_spicilegus ENSMSIG00000024949
mus_pahari MGP_PahariEiJ_G0024789
rattus_norvegicus ENSRNOG00000027867
meriones_unguiculatus ENSMUGG00000004097
nannospalax_galili ENSNGAG00000010700
jaculus_jaculus ENSJJAG00000013002
ictidomys_tridecemlineatus ENSSTOG00000003754
spermophilus_dauricus ENSSDAG00000010273
marmota_marmota_marmota ENSMMMG00000013212
urocitellus_parryii ENSUPAG00010008958
cavia_porcellus ENSCPOG00000001386
cavia_aperea ENSCAPG00000014583
octodon_degus ENSODEG00000015721
chinchilla_lanigera ENSCLAG00000006919
heterocephalus_glaber_male ENSHGLG00100017444
heterocephalus_glaber_female ENSHGLG00000016901
fukomys_damarensis ENSFDAG00000016050
equus_caballus ENSECAG00000007896
equus_asinus_asinus ENSEASG00005009915
erinaceus_europaeus ENSEEUG00000012135
pteropus_vampyrus ENSPVAG00000001429
ursus_americanus ENSUAMG00000018676
ursus_maritimus ENSUMAG00000023164
ailuropoda_melanoleuca ENSAMEG00000011649
mustela_putorius_furo ENSMPUG00000012315
neovison_vison ENSNVIG00000020830
neovison_vison ENSNVIG00000020813
canis_lupus_familiaris ENSCAFG00000019767
canis_lupus_dingo ENSCAFG00020000983
vulpes_vulpes ENSVVUG00000027337
panthera_tigris_altaica ENSPTIG00000012007
panthera_pardus ENSPPRG00000002894
felis_catus ENSFCAG00000011652
bos_taurus ENSBTAG00000019721
capra_hircus ENSCHIG00000009517
ovis_aries ENSOARG00000003436
bison_bison_bison ENSBBBG00000023243
tursiops_truncatus ENSTTRG00000007681
sus_scrofa ENSSSCG00000023173
loxodonta_africana ENSLAFG00000011274
procavia_capensis ENSPCAG00000010581
echinops_telfairi ENSETEG00000004585
choloepus_hoffmanni ENSCHOG00000013262
dasypus_novemcinctus ENSDNOG00000002429
phascolarctos_cinereus ENSPCIG00000017379
notamacropus_eugenii ENSMEUG00000006513
monodelphis_domestica ENSMODG00000012817
sarcophilus_harrisii ENSSHAG00000005827
ornithorhynchus_anatinus ENSOANG00000002453
pogona_vitticeps ENSPVIG00000013336
notechis_scutatus ENSNSUG00000008749
salvator_merianae ENSSMRG00000007816
sphenodon_punctatus ENSSPUG00000015868
calidris_pygmaea ENSCPGG00000005186
calidris_pugnax ENSCPUG00000013880
taeniopygia_guttata ENSTGUG00000005537
lonchura_striata_domestica ENSLSDG00000002620
serinus_canaria ENSSCAG00000003750
zonotrichia_albicollis ENSZALG00000015632
junco_hyemalis ENSJHYG00000006296
parus_major ENSPMJG00000006509
cyanistes_caeruleus ENSCCEG00000003122
ficedula_albicollis ENSFALG00000001520
lepidothrix_coronata ENSLCOG00000013528
gallus_gallus ENSGALG00000030609
meleagris_gallopavo ENSMGAG00000006521
coturnix_japonica ENSCJPG00005006938
numida_meleagris ENSNMEG00000009315
anas_platyrhynchos_platyrhynchos ENSAPLG00000005865
apteryx_rowi ENSARWG00000007668
apteryx_owenii ENSAOWG00000005213
apteryx_haastii ENSAHAG00000010171
dromaius_novaehollandiae ENSDNVG00000012461
crocodylus_porosus ENSCPRG00005007353
chelonoidis_abingdonii ENSCABG00000004810
gopherus_agassizii ENSGAGG00000010260
chrysemys_picta_bellii ENSCPBG00000021152
pelodiscus_sinensis ENSPSIG00000016908
melopsittacus_undulatus ENSMUNG00000000422
manacus_vitellinus ENSMVIG00005012703
anser_brachyrhynchus ENSABRG00000021582
nothoprocta_perdicaria ENSNPEG00000013555
xenopus_tropicalis ENSXETG00000023096
latimeria_chalumnae ENSLACG00000012399
ciona_intestinalis ENSCING00000010751
drosophila_melanogaster FBgn0036405
saccharomyces_cerevisiae YOL080C
