electrophorus_electricus ENSEEEG00000013394
colobus_angolensis ENSCANG00000036730
rhinopithecus_bieti ENSRBIG00000029005
rhinopithecus_roxellana ENSRROG00000027073
cebus_capucinus ENSCCAG00000019704
saimiri_boliviensis ENSSBOG00000035707
callithrix_jacchus ENSCJAG00000019709
aotus_nancymaae ENSANAG00000027112
carlito_syrichta ENSTSYG00000026341
propithecus_coquereli ENSPCOG00000025300
microcebus_murinus ENSMICG00000017061
prolemur_simus ENSPSMG00000022711
otolemur_garnettii ENSOGAG00000012460
bison_bison ENSBBBG00000024715
bos_mutus ENSBMUG00000017368
bos_indicus ENSBIXG00000024316
bos_indicus ENSBIXG00005000285
bos_taurus ENSBTAG00000006823
capra_hircus ENSCHIG00000026691
ovis_aries ENSOARG00000017434
tursiops_truncatus ENSTTRG00000012976
sus_scrofa ENSSSCG00000026098
vicugna_pacos ENSVPAG00000009403
ursus_maritimus ENSUMAG00000002136
ursus_americanus ENSUAMG00000002888
ailuropoda_melanoleuca ENSAMEG00000015633
mustela_putorius ENSMPUG00000004971
neovison_vison ENSNVIG00000002033
canis_lupus ENSCAFG00000009031
canis_lupus ENSCAFG00020026312
vulpes_vulpes ENSVVUG00000024975
panthera_tigris ENSPTIG00000014447
panthera_pardus ENSPPRG00000010137
felis_catus ENSFCAG00000000223
myotis_lucifugus ENSMLUG00000011014
pteropus_vampyrus ENSPVAG00000001807
equus_asinus ENSEASG00005002003
equus_caballus ENSECAG00000034911
sorex_araneus ENSSARG00000011396
erinaceus_europaeus ENSEEUG00000007554
mus_caroli MGP_CAROLIEiJ_G0018776
vombatus_ursinus ENSVURG00010019330
phascolarctos_cinereus ENSPCIG00000000433
notamacropus_eugenii ENSMEUG00000003520
sarcophilus_harrisii ENSSHAG00000012414
monodelphis_domestica ENSMODG00000044289
ornithorhynchus_anatinus ENSOANG00000007887
ornithorhynchus_anatinus ENSOANG00000031227
ornithorhynchus_anatinus ENSOANG00000009907
xenopus_tropicalis ENSXETG00000014703
latimeria_chalumnae ENSLACG00000014586
callorhinchus_milii ENSCMIG00000018687
eptatretus_burgeri ENSEBUG00000012016
