mesocricetus_auratus ENSMAUG00000020068
xiphophorus_couchianus ENSXCOG00000009060
gambusia_affinis ENSGAFG00000006174
cyprinodon_variegatus ENSCVAG00000017232
fundulus_heteroclitus ENSFHEG00000003972
kryptolebias_marmoratus ENSKMAG00000014934
cynoglossus_semilaevis ENSCSEG00000010758
gouania_willdenowi ENSGWIG00000025889
hippocampus_comes ENSHCOG00000011763
oryzias_latipes ENSORLG00015001083
oryzias_latipes ENSORLG00020015983
oryzias_latipes ENSORLG00000011879
oryzias_melastigma ENSOMEG00000021333
labrus_bergylta ENSLBEG00000008721
takifugu_rubripes ENSTRUG00000023209
parambassis_ranga ENSPRNG00000023055
pygocentrus_nattereri ENSPNAG00000004208
labrus_bergylta ENSLBEG00000003401
periophthalmus_magnuspinnatus ENSPMGG00000020841
gadus_morhua ENSGMOG00000018313
hucho_hucho ENSHHUG00000000420
hucho_hucho ENSHHUG00000042906
esox_lucius ENSELUG00000012506
paramormyrops_kingsleyae ENSPKIG00000020891
scleropages_formosus ENSSFOG00015005314
hucho_hucho ENSHHUG00000033961
hucho_hucho ENSHHUG00000019118
esox_lucius ENSELUG00000003798
cottoperca_gobio ENSCGOG00000013666
labrus_bergylta ENSLBEG00000023247
lates_calcarifer ENSLCAG00010014371
seriola_lalandi ENSSLDG00000012621
gadus_morhua ENSGMOG00000009195
astyanax_mexicanus ENSAMXG00000004762
astyanax_mexicanus ENSAMXG00005012801
pygocentrus_nattereri ENSPNAG00000005309
electrophorus_electricus ENSEEEG00000024361
danio_rerio ENSDARG00000041703
clupea_harengus ENSCHAG00000002179
denticeps_clupeoides ENSDCDG00000002144
lepisosteus_oculatus ENSLOCG00000015682
erpetoichthys_calabaricus ENSECRG00000018450
callorhinchus_milii ENSCMIG00000007336
latimeria_chalumnae ENSLACG00000012685
xenopus_tropicalis ENSXETG00000019568
apteryx_owenii ENSAOWG00000010600
apteryx_haastii ENSAHAG00000005584
apteryx_rowi ENSARWG00000012673
dromaius_novaehollandiae ENSDNVG00000001154
nothoprocta_perdicaria ENSNPEG00000003044
anas_platyrhynchos ENSAPLG00000000581
anser_brachyrhynchus ENSABRG00000018934
gallus_gallus ENSGALG00000008676
meleagris_gallopavo ENSMGAG00000006816
coturnix_japonica ENSCJPG00005004133
numida_meleagris ENSNMEG00000010073
lonchura_striata ENSLSDG00000014002
taeniopygia_guttata ENSTGUG00000005958
serinus_canaria ENSSCAG00000012207
zonotrichia_albicollis ENSZALG00000006479
junco_hyemalis ENSJHYG00000013944
ficedula_albicollis ENSFALG00000007560
parus_major ENSPMJG00000004155
cyanistes_caeruleus ENSCCEG00000019003
manacus_vitellinus ENSMVIG00005013934
lepidothrix_coronata ENSLCOG00000014779
melopsittacus_undulatus ENSMUNG00000012138
calidris_pygmaea ENSCPGG00000019459
calidris_pugnax ENSCPUG00000002821
crocodylus_porosus ENSCPRG00005010096
gopherus_agassizii ENSGAGG00000020328
chelonoidis_abingdonii ENSCABG00000007897
chrysemys_picta ENSCPBG00000023436
pogona_vitticeps ENSPVIG00000009049
anolis_carolinensis ENSACAG00000013887
salvator_merianae ENSSMRG00000023501
sphenodon_punctatus ENSSPUG00000009614
petromyzon_marinus ENSPMAG00000007725
crocodylus_porosus ENSCPRG00005003475
eptatretus_burgeri ENSEBUG00000015287
monodelphis_domestica ENSMODG00000038106
drosophila_melanogaster FBgn0038535
