neolamprologus_brichardi ENSNBRG00000009924
cavia_porcellus ENSCPOG00000011616
cavia_aperea ENSCAPG00000003564
octodon_degus ENSODEG00000013553
chinchilla_lanigera ENSCLAG00000006046
heterocephalus_glaber_male ENSHGLG00100002471
heterocephalus_glaber_female ENSHGLG00000008351
fukomys_damarensis ENSFDAG00000014722
oryctolagus_cuniculus ENSOCUG00000022301
ochotona_princeps ENSOPRG00000015158
tupaia_belangeri ENSTBEG00000009995
ursus_maritimus ENSUMAG00000025541
ursus_americanus ENSUAMG00000025300
ailuropoda_melanoleuca ENSAMEG00000001892
mustela_putorius_furo ENSMPUG00000009419
neovison_vison ENSNVIG00000005945
canis_lupus_dingo ENSCAFG00020018498
canis_lupus_familiaris ENSCAFG00000010450
vulpes_vulpes ENSVVUG00000016766
panthera_pardus ENSPPRG00000008368
panthera_tigris_altaica ENSPTIG00000016514
felis_catus ENSFCAG00000012708
equus_asinus_asinus ENSEASG00005003775
equus_caballus ENSECAG00000015444
myotis_lucifugus ENSMLUG00000000139
pteropus_vampyrus ENSPVAG00000005673
ovis_aries ENSOARG00000010882
capra_hircus ENSCHIG00000019791
bos_mutus ENSBMUG00000012379
bos_taurus ENSBTAG00000021286
bison_bison_bison ENSBBBG00000014169
tursiops_truncatus ENSTTRG00000000735
sus_scrofa ENSSSCG00000012087
dasypus_novemcinctus ENSDNOG00000018050
loxodonta_africana ENSLAFG00000005842
procavia_capensis ENSPCAG00000002736
echinops_telfairi ENSETEG00000007047
ornithorhynchus_anatinus ENSOANG00000006455
ornithorhynchus_anatinus ENSOANG00000030190
anolis_carolinensis ENSACAG00000002938
pogona_vitticeps ENSPVIG00000020377
notechis_scutatus ENSNSUG00000007353
salvator_merianae ENSSMRG00000022919
sphenodon_punctatus ENSSPUG00000013491
gopherus_agassizii ENSGAGG00000012279
chelonoidis_abingdonii ENSCABG00000020877
chrysemys_picta_bellii ENSCPBG00000008117
pelodiscus_sinensis ENSPSIG00000013862
dromaius_novaehollandiae ENSDNVG00000005885
nothoprocta_perdicaria ENSNPEG00000009056
apteryx_haastii ENSAHAG00000001378
apteryx_owenii ENSAOWG00000014223
apteryx_rowi ENSARWG00000017792
manacus_vitellinus ENSMVIG00005006735
lepidothrix_coronata ENSLCOG00000002110
taeniopygia_guttata ENSTGUG00000005671
lonchura_striata_domestica ENSLSDG00000002760
junco_hyemalis ENSJHYG00000013885
zonotrichia_albicollis ENSZALG00000002394
serinus_canaria ENSSCAG00000011016
ficedula_albicollis ENSFALG00000001964
cyanistes_caeruleus ENSCCEG00000017175
parus_major ENSPMJG00000010630
melopsittacus_undulatus ENSMUNG00000009090
calidris_pugnax ENSCPUG00000012263
calidris_pygmaea ENSCPGG00000010371
anser_brachyrhynchus ENSABRG00000015063
anas_platyrhynchos_platyrhynchos ENSAPLG00000007435
coturnix_japonica ENSCJPG00005008710
meleagris_gallopavo ENSMGAG00000014579
gallus_gallus ENSGALG00000016185
numida_meleagris ENSNMEG00000012993
crocodylus_porosus ENSCPRG00005016286
xenopus_tropicalis ENSXETG00000010015
latimeria_chalumnae ENSLACG00000011498
mola_mola ENSMMOG00000019174
tetraodon_nigroviridis ENSTNIG00000019475
takifugu_rubripes ENSTRUG00000017573
periophthalmus_magnuspinnatus ENSPMGG00000022948
oryzias_latipes ENSORLG00000020837
oryzias_latipes_asm223469v1 ENSORLG00015004383
oryzias_latipes ENSORLG00020007118
oryzias_melastigma ENSOMEG00000016960
amphiprion_percula ENSAPEG00000024132
amphiprion_ocellaris ENSAOCG00000010654
acanthochromis_polyacanthus ENSAPOG00000007521
stegastes_partitus ENSSPAG00000005389
xiphophorus_maculatus ENSXMAG00000006652
xiphophorus_couchianus ENSXCOG00000009293
gambusia_affinis ENSGAFG00000012155
poecilia_reticulata ENSPREG00000015062
poecilia_mexicana ENSPMEG00000011169
poecilia_formosa ENSPFOG00000017585
poecilia_latipinna ENSPLAG00000019836
fundulus_heteroclitus ENSFHEG00000003279
cyprinodon_variegatus ENSCVAG00000000455
kryptolebias_marmoratus ENSKMAG00000005496
pundamilia_nyererei ENSPNYG00000022762
astatotilapia_calliptera ENSACLG00000006031
haplochromis_burtoni ENSHBUG00000020906
maylandia_zebra ENSMZEG00005013735
oreochromis_niloticus ENSONIG00000017408
amphilophus_citrinellus ENSACIG00000003635
seriola_dumerili ENSSDUG00000000459
seriola_lalandi_dorsalis ENSSLDG00000002364
scophthalmus_maximus ENSSMAG00000017478
mastacembelus_armatus ENSMAMG00000007150
monopterus_albus ENSMALG00000009964
anabas_testudineus ENSATEG00000005050
gasterosteus_aculeatus ENSGACG00000001446
labrus_bergylta ENSLBEG00000021479
cynoglossus_semilaevis ENSCSEG00000020705
gadus_morhua ENSGMOG00000019504
esox_lucius ENSELUG00000015958
pygocentrus_nattereri ENSPNAG00000015760
astyanax_mexicanus ENSAMXG00000035502
ictalurus_punctatus ENSIPUG00000005380
danio_rerio ENSDARG00000086103
lepisosteus_oculatus ENSLOCG00000003987
eptatretus_burgeri ENSEBUG00000012242
