lonchura_striata ENSLSDG00000014422
fukomys_damarensis ENSFDAG00000008113
chinchilla_lanigera ENSCLAG00000011202
octodon_degus ENSODEG00000003288
cavia_porcellus ENSCPOG00000005486
cavia_aperea ENSCAPG00000009803
urocitellus_parryii ENSUPAG00010003189
ictidomys_tridecemlineatus ENSSTOG00000016500
spermophilus_dauricus ENSSDAG00000017342
marmota_marmota ENSMMMG00000000496
oryctolagus_cuniculus ENSOCUG00000013284
ochotona_princeps ENSOPRG00000001335
pan_paniscus ENSPPAG00000035808
pan_troglodytes ENSPTRG00000020245
homo_sapiens ENSG00000147488
gorilla_gorilla ENSGGOG00000001223
nomascus_leucogenys ENSNLEG00000000678
theropithecus_gelada ENSTGEG00000015550
papio_anubis ENSPANG00000009233
mandrillus_leucophaeus ENSMLEG00000038764
cercocebus_atys ENSCATG00000032688
macaca_mulatta ENSMMUG00000008439
macaca_fascicularis ENSMFAG00000000316
macaca_nemestrina ENSMNEG00000028872
chlorocebus_sabaeus ENSCSAG00000014731
piliocolobus_tephrosceles ENSPTEG00000030111
colobus_angolensis ENSCANG00000021838
rhinopithecus_roxellana ENSRROG00000028859
rhinopithecus_bieti ENSRBIG00000024809
saimiri_boliviensis ENSSBOG00000023667
cebus_capucinus ENSCCAG00000022063
callithrix_jacchus ENSCJAG00000014630
aotus_nancymaae ENSANAG00000030299
carlito_syrichta ENSTSYG00000010425
propithecus_coquereli ENSPCOG00000007929
prolemur_simus ENSPSMG00000013895
microcebus_murinus ENSMICG00000003705
otolemur_garnettii ENSOGAG00000012050
tupaia_belangeri ENSTBEG00000016040
choloepus_hoffmanni ENSCHOG00000010565
dasypus_novemcinctus ENSDNOG00000009682
procavia_capensis ENSPCAG00000014437
echinops_telfairi ENSETEG00000003477
loxodonta_africana ENSLAFG00000004212
ornithorhynchus_anatinus ENSOANG00000007275
xenopus_tropicalis ENSXETG00000000873
latimeria_chalumnae ENSLACG00000008399
paramormyrops_kingsleyae ENSPKIG00000004448
scleropages_formosus ENSSFOG00015008666
clupea_harengus ENSCHAG00000010340
gouania_willdenowi ENSGWIG00000014391
oryzias_latipes ENSORLG00015008458
oryzias_latipes ENSORLG00020008619
oryzias_latipes ENSORLG00000017500
parambassis_ranga ENSPRNG00000022854
poecilia_reticulata ENSPREG00000008337
poecilia_formosa ENSPFOG00000014046
xiphophorus_maculatus ENSXMAG00000018975
cyprinodon_variegatus ENSCVAG00000006156
kryptolebias_marmoratus ENSKMAG00000004969
maylandia_zebra ENSMZEG00005025056
astatotilapia_calliptera ENSACLG00000018270
oreochromis_niloticus ENSONIG00000009529
amphilophus_citrinellus ENSACIG00000018723
lates_calcarifer ENSLCAG00010005184
acanthochromis_polyacanthus ENSAPOG00000018204
betta_splendens ENSBSLG00000022269
scophthalmus_maximus ENSSMAG00000019253
cynoglossus_semilaevis ENSCSEG00000010940
seriola_lalandi ENSSLDG00000012990
seriola_dumerili ENSSDUG00000017880
cottoperca_gobio ENSCGOG00000003832
labrus_bergylta ENSLBEG00000001117
monopterus_albus ENSMALG00000021414
tetraodon_nigroviridis ENSTNIG00000008501
takifugu_rubripes ENSTRUG00000006078
gasterosteus_aculeatus ENSGACG00000017947
fundulus_heteroclitus ENSFHEG00000012494
fundulus_heteroclitus ENSFHEG00000012480
gambusia_affinis ENSGAFG00000021431
gambusia_affinis ENSGAFG00000021430
poecilia_mexicana ENSPMEG00000003023
poecilia_latipinna ENSPLAG00000010028
stegastes_partitus ENSSPAG00000021998
stegastes_partitus ENSSPAG00000022014
amphiprion_percula ENSAPEG00000002856
amphiprion_percula ENSAPEG00000002880
amphiprion_ocellaris ENSAOCG00000021298
oryzias_melastigma ENSOMEG00000000159
pundamilia_nyererei ENSPNYG00000015289
pundamilia_nyererei ENSPNYG00000015299
neolamprologus_brichardi ENSNBRG00000011714
anabas_testudineus ENSATEG00000006807
anabas_testudineus ENSATEG00000006822
mastacembelus_armatus ENSMAMG00000015705
mastacembelus_armatus ENSMAMG00000015700
periophthalmus_magnuspinnatus ENSPMGG00000013159
hippocampus_comes ENSHCOG00000019513
mola_mola ENSMMOG00000016685
gadus_morhua ENSGMOG00000002744
hucho_hucho ENSHHUG00000027228
hucho_hucho ENSHHUG00000027717
esox_lucius ENSELUG00000021998
ictalurus_punctatus ENSIPUG00000000134
ictalurus_punctatus ENSIPUG00000000135
astyanax_mexicanus ENSAMXG00000035774
astyanax_mexicanus ENSAMXG00000041785
astyanax_mexicanus ENSAMXG00005000366
pygocentrus_nattereri ENSPNAG00000016174
electrophorus_electricus ENSEEEG00000010915
denticeps_clupeoides ENSDCDG00000014815
scleropages_formosus ENSSFOG00015008647
lepisosteus_oculatus ENSLOCG00000005847
gambusia_affinis ENSGAFG00000008387
erpetoichthys_calabaricus ENSECRG00000004509
callorhinchus_milii ENSCMIG00000015375
