amphilophus_citrinellus ENSACIG00000009490
mus_spicilegus ENSMSIG00000007074
mus_musculus ENSMUSG00000032652
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028982
mus_pahari MGP_PahariEiJ_G0022744
rattus_norvegicus ENSRNOG00000007115
meriones_unguiculatus ENSMUGG00000002548
nannospalax_galili ENSNGAG00000006430
castor_canadensis ENSCCNG00000000061
oryctolagus_cuniculus ENSOCUG00000016255
ochotona_princeps ENSOPRG00000014420
chinchilla_lanigera ENSCLAG00000016465
octodon_degus ENSODEG00000009860
cavia_porcellus ENSCPOG00000035487
cavia_aperea ENSCAPG00000013705
heterocephalus_glaber_female ENSHGLG00000005347
heterocephalus_glaber_male ENSHGLG00100007821
heterocephalus_glaber_female ENSHGLG00000007848
heterocephalus_glaber_male ENSHGLG00100019227
fukomys_damarensis ENSFDAG00000009886
tupaia_belangeri ENSTBEG00000010710
homo_sapiens ENSG00000111269
pongo_abelii ENSPPYG00000004305
rhinopithecus_bieti ENSRBIG00000027392
piliocolobus_tephrosceles ENSPTEG00000014570
cercocebus_atys ENSCATG00000012227
macaca_fascicularis ENSMFAG00000035477
papio_anubis ENSPANG00000004278
macaca_nemestrina ENSMNEG00000037899
mandrillus_leucophaeus ENSMLEG00000035458
theropithecus_gelada ENSTGEG00000022031
chlorocebus_sabaeus ENSCSAG00000008595
rhinopithecus_roxellana ENSRROG00000028872
macaca_mulatta ENSMMUG00000006677
colobus_angolensis_palliatus ENSCANG00000032690
pan_troglodytes ENSPTRG00000004705
pan_paniscus ENSPPAG00000026761
gorilla_gorilla ENSGGOG00000024494
nomascus_leucogenys ENSNLEG00000003583
cebus_capucinus ENSCCAG00000021507
callithrix_jacchus ENSCJAG00000021638
saimiri_boliviensis_boliviensis ENSSBOG00000030049
aotus_nancymaae ENSANAG00000031472
carlito_syrichta ENSTSYG00000033984
prolemur_simus ENSPSMG00000014454
microcebus_murinus ENSMICG00000043129
otolemur_garnettii ENSOGAG00000030941
ictidomys_tridecemlineatus ENSSTOG00000032150
urocitellus_parryii ENSUPAG00010022697
spermophilus_dauricus ENSSDAG00000000749
marmota_marmota_marmota ENSMMMG00000015915
neovison_vison ENSNVIG00000011147
mustela_putorius_furo ENSMPUG00000011740
ursus_americanus ENSUAMG00000006561
ursus_maritimus ENSUMAG00000002348
ailuropoda_melanoleuca ENSAMEG00000010773
canis_lupus_familiaris ENSCAFG00000013248
canis_lupus_dingo ENSCAFG00020006589
vulpes_vulpes ENSVVUG00000004728
pteropus_vampyrus ENSPVAG00000002635
equus_caballus ENSECAG00000022654
equus_asinus_asinus ENSEASG00005014669
myotis_lucifugus ENSMLUG00000003150
ovis_aries ENSOARG00000020855
capra_hircus ENSCHIG00000016920
bos_mutus ENSBMUG00000009315
bos_taurus ENSBTAG00000011957
bison_bison_bison ENSBBBG00000005862
sus_scrofa ENSSSCG00000034418
tursiops_truncatus ENSTTRG00000015032
vicugna_pacos ENSVPAG00000004644
panthera_pardus ENSPPRG00000000548
panthera_tigris_altaica ENSPTIG00000019913
felis_catus ENSFCAG00000030068
loxodonta_africana ENSLAFG00000005950
procavia_capensis ENSPCAG00000009944
echinops_telfairi ENSETEG00000008519
dasypus_novemcinctus ENSDNOG00000014119
choloepus_hoffmanni ENSCHOG00000008864
phascolarctos_cinereus ENSPCIG00000037404
notamacropus_eugenii ENSMEUG00000007025
phascolarctos_cinereus ENSPCIG00000001705
notamacropus_eugenii ENSMEUG00000010404
sarcophilus_harrisii ENSSHAG00000012055
monodelphis_domestica ENSMODG00000027835
monodelphis_domestica ENSMODG00000001452
anser_brachyrhynchus ENSABRG00000022395
anas_platyrhynchos_platyrhynchos ENSAPLG00000013223
gallus_gallus ENSGALG00000037030
meleagris_gallopavo ENSMGAG00000013274
coturnix_japonica ENSCJPG00005016203
numida_meleagris ENSNMEG00000004939
lonchura_striata_domestica ENSLSDG00000017817
taeniopygia_guttata ENSTGUG00000012705
serinus_canaria ENSSCAG00000010503
junco_hyemalis ENSJHYG00000008384
zonotrichia_albicollis ENSZALG00000015029
ficedula_albicollis ENSFALG00000004638
cyanistes_caeruleus ENSCCEG00000019162
parus_major ENSPMJG00000001259
manacus_vitellinus ENSMVIG00005002699
manacus_vitellinus ENSMVIG00005019235
lepidothrix_coronata ENSLCOG00000012867
melopsittacus_undulatus ENSMUNG00000015555
calidris_pygmaea ENSCPGG00000019115
calidris_pugnax ENSCPUG00000003155
apteryx_haastii ENSAHAG00000000074
apteryx_rowi ENSARWG00000017342
dromaius_novaehollandiae ENSDNVG00000001707
crocodylus_porosus ENSCPRG00005001458
chelonoidis_abingdonii ENSCABG00000010612
gopherus_agassizii ENSGAGG00000022141
chrysemys_picta_bellii ENSCPBG00000000508
pelodiscus_sinensis ENSPSIG00000009401
anolis_carolinensis ENSACAG00000004363
pogona_vitticeps ENSPVIG00000018908
notechis_scutatus ENSNSUG00000006430
salvator_merianae ENSSMRG00000008124
sphenodon_punctatus ENSSPUG00000018588
latimeria_chalumnae ENSLACG00000018450
jaculus_jaculus ENSJJAG00000011909
eptatretus_burgeri ENSEBUG00000014990
drosophila_melanogaster FBgn0032202
