pundamilia_nyererei ENSPNYG00000001593
microtus_ochrogaster ENSMOCG00000018753
nannospalax_galili ENSNGAG00000018387
jaculus_jaculus ENSJJAG00000014978
oryctolagus_cuniculus ENSOCUG00000016933
ochotona_princeps ENSOPRG00000016999
pan_paniscus ENSPPAG00000043018
pan_troglodytes ENSPTRG00000017354
homo_sapiens ENSG00000081791
gorilla_gorilla ENSGGOG00000013008
pongo_abelii ENSPPYG00000015892
nomascus_leucogenys ENSNLEG00000009687
piliocolobus_tephrosceles ENSPTEG00000025575
colobus_angolensis_palliatus ENSCANG00000042095
rhinopithecus_bieti ENSRBIG00000032149
rhinopithecus_roxellana ENSRROG00000042641
macaca_fascicularis ENSMFAG00000040008
macaca_mulatta ENSMMUG00000006287
macaca_nemestrina ENSMNEG00000000602
theropithecus_gelada ENSTGEG00000027470
papio_anubis ENSPANG00000002756
mandrillus_leucophaeus ENSMLEG00000029525
cercocebus_atys ENSCATG00000017255
chlorocebus_sabaeus ENSCSAG00000012414
cebus_capucinus ENSCCAG00000033469
saimiri_boliviensis_boliviensis ENSSBOG00000036078
callithrix_jacchus ENSCJAG00000018193
aotus_nancymaae ENSANAG00000025276
carlito_syrichta ENSTSYG00000000885
propithecus_coquereli ENSPCOG00000017979
microcebus_murinus ENSMICG00000035655
prolemur_simus ENSPSMG00000021844
otolemur_garnettii ENSOGAG00000003528
tupaia_belangeri ENSTBEG00000000767
myotis_lucifugus ENSMLUG00000013039
pteropus_vampyrus ENSPVAG00000000442
equus_asinus_asinus ENSEASG00005020498
equus_caballus ENSECAG00000011434
ursus_maritimus ENSUMAG00000011684
ursus_americanus ENSUAMG00000024319
ailuropoda_melanoleuca ENSAMEG00000010287
neovison_vison ENSNVIG00000021230
mustela_putorius_furo ENSMPUG00000007978
canis_lupus_dingo ENSCAFG00020020081
canis_lupus_familiaris ENSCAFG00000006236
vulpes_vulpes ENSVVUG00000021010
panthera_tigris_altaica ENSPTIG00000016048
panthera_pardus ENSPPRG00000013758
felis_catus ENSFCAG00000009397
erinaceus_europaeus ENSEEUG00000015547
sorex_araneus ENSSARG00000000485
capra_hircus ENSCHIG00000013236
ovis_aries ENSOARG00000001461
bos_taurus ENSBTAG00000008435
bos_mutus ENSBMUG00000022719
bison_bison_bison ENSBBBG00000010411
tursiops_truncatus ENSTTRG00000012119
sus_scrofa ENSSSCG00000014396
vicugna_pacos ENSVPAG00000002384
dasypus_novemcinctus ENSDNOG00000002303
choloepus_hoffmanni ENSCHOG00000003119
phascolarctos_cinereus ENSPCIG00000029872
notamacropus_eugenii ENSMEUG00000015401
sarcophilus_harrisii ENSSHAG00000012735
monodelphis_domestica ENSMODG00000010456
ornithorhynchus_anatinus ENSOANG00000011611
petromyzon_marinus ENSPMAG00000006294
eptatretus_burgeri ENSEBUG00000012198
