maylandia_zebra ENSMZEG00005028053
echinops_telfairi ENSETEG00000014954
procavia_capensis ENSPCAG00000007337
loxodonta_africana ENSLAFG00000032434
pteropus_vampyrus ENSPVAG00000000073
jaculus_jaculus ENSJJAG00000021811
cricetulus_griseus_crigri-picr ENSCGRG00015002610
cricetulus_griseus_chok1gshd ENSCGRG00001013045
mesocricetus_auratus ENSMAUG00000013865
microtus_ochrogaster ENSMOCG00000010859
peromyscus_maniculatus_bairdii ENSPEMG00000011224
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016428
mus_spicilegus ENSMSIG00000027163
mus_musculus ENSMUSG00000020219
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015610
mus_pahari MGP_PahariEiJ_G0031023
rattus_norvegicus ENSRNOG00000019682
meriones_unguiculatus ENSMUGG00000013878
nannospalax_galili ENSNGAG00000023249
urocitellus_parryii ENSUPAG00010013402
ictidomys_tridecemlineatus ENSSTOG00000019582
spermophilus_dauricus ENSSDAG00000007525
heterocephalus_glaber_male ENSHGLG00100000698
heterocephalus_glaber_female ENSHGLG00000005774
fukomys_damarensis ENSFDAG00000010191
cavia_porcellus ENSCPOG00000037780
octodon_degus ENSODEG00000014422
chinchilla_lanigera ENSCLAG00000009705
heterocephalus_glaber_female ENSHGLG00000015627
heterocephalus_glaber_male ENSHGLG00100018803
fukomys_damarensis ENSFDAG00000009765
cavia_porcellus ENSCPOG00000035460
chinchilla_lanigera ENSCLAG00000016664
ochotona_princeps ENSOPRG00000016793
otolemur_garnettii ENSOGAG00000013643
chrysemys_picta_bellii ENSCPBG00000004598
gopherus_agassizii ENSGAGG00000005778
sphenodon_punctatus ENSSPUG00000012184
monodelphis_domestica ENSMODG00000004794
cyanistes_caeruleus ENSCCEG00000022157
manacus_vitellinus ENSMVIG00005019684
melopsittacus_undulatus ENSMUNG00000012850
crocodylus_porosus ENSCPRG00005013304
chelonoidis_abingdonii ENSCABG00000021384
notechis_scutatus ENSNSUG00000010020
pogona_vitticeps ENSPVIG00000023062
salvator_merianae ENSSMRG00000006931
lonchura_striata_domestica ENSLSDG00000014536
serinus_canaria ENSSCAG00000000680
zonotrichia_albicollis ENSZALG00000001529
junco_hyemalis ENSJHYG00000014440
parus_major ENSPMJG00000004388
ficedula_albicollis ENSFALG00000011956
lepidothrix_coronata ENSLCOG00000007195
calidris_pugnax ENSCPUG00000012944
calidris_pygmaea ENSCPGG00000018442
anser_brachyrhynchus ENSABRG00000006070
anas_platyrhynchos_platyrhynchos ENSAPLG00000016799
apteryx_haastii ENSAHAG00000009850
apteryx_owenii ENSAOWG00000003186
apteryx_rowi ENSARWG00000015799
nothoprocta_perdicaria ENSNPEG00000010966
gallus_gallus ENSGALG00000028937
coturnix_japonica ENSCJPG00005006075
numida_meleagris ENSNMEG00000007711
astyanax_mexicanus ENSAMXG00000040577
neolamprologus_brichardi ENSNBRG00000015631
paramormyrops_kingsleyae ENSPKIG00000011170
dromaius_novaehollandiae ENSDNVG00000005196
cricetulus_griseus_chok1gshd ENSCGRG00001002082
cricetulus_griseus_crigri-picr ENSCGRG00015025702
cricetulus_griseus_crigri ENSCGRG00000018875
xenopus_tropicalis ENSXETG00000001794
ciona_intestinalis ENSCING00000020253
caenorhabditis_elegans_strain_n2 WBGene00006574
drosophila_melanogaster FBgn0259198
drosophila_melanogaster FBgn0036204
drosophila_melanogaster FBgn0083968
eptatretus_burgeri ENSEBUG00000017087
saccharomyces_cerevisiae YGR181W
