macaca_fascicularis ENSMFAG00000042201
phascolarctos_cinereus ENSPCIG00000032165
notamacropus_eugenii ENSMEUG00000014988
monodelphis_domestica ENSMODG00000009915
sarcophilus_harrisii ENSSHAG00000004419
ornithorhynchus_anatinus ENSOANG00000003573
ornithorhynchus_anatinus ENSOANG00000002165
sphenodon_punctatus ENSSPUG00000014791
anolis_carolinensis ENSACAG00000002264
apteryx_owenii ENSAOWG00000011687
apteryx_haastii ENSAHAG00000008990
apteryx_rowi ENSARWG00000000109
dromaius_novaehollandiae ENSDNVG00000009515
nothoprocta_perdicaria ENSNPEG00000009180
calidris_pygmaea ENSCPGG00000016234
calidris_pugnax ENSCPUG00000009997
cyanistes_caeruleus ENSCCEG00000022930
parus_major ENSPMJG00000018745
manacus_vitellinus ENSMVIG00005003247
lepidothrix_coronata ENSLCOG00000014227
ficedula_albicollis ENSFALG00000007384
taeniopygia_guttata ENSTGUG00000009905
taeniopygia_guttata ENSTGUG00000013912
lonchura_striata_domestica ENSLSDG00000000324
serinus_canaria ENSSCAG00000003734
junco_hyemalis ENSJHYG00000009163
zonotrichia_albicollis ENSZALG00000009671
melopsittacus_undulatus ENSMUNG00000013429
anas_platyrhynchos_platyrhynchos ENSAPLG00000007944
anser_brachyrhynchus ENSABRG00000007896
gallus_gallus ENSGALG00000006728
meleagris_gallopavo ENSMGAG00000008084
coturnix_japonica ENSCJPG00005011164
numida_meleagris ENSNMEG00000022287
crocodylus_porosus ENSCPRG00005002284
chrysemys_picta_bellii ENSCPBG00000002322
chelonoidis_abingdonii ENSCABG00000002643
gopherus_agassizii ENSGAGG00000007233
chelonoidis_abingdonii ENSCABG00000002367
pelodiscus_sinensis ENSPSIG00000010292
pelodiscus_sinensis ENSPSIG00000013035
gopherus_agassizii ENSGAGG00000025334
chrysemys_picta_bellii ENSCPBG00000002342
anolis_carolinensis ENSACAG00000023555
pogona_vitticeps ENSPVIG00000010720
notechis_scutatus ENSNSUG00000002440
salvator_merianae ENSSMRG00000008377
xenopus_tropicalis ENSXETG00000004206
xenopus_tropicalis ENSXETG00000031466
latimeria_chalumnae ENSLACG00000017475
astyanax_mexicanus ENSAMXG00000017336
astyanax_mexicanus ENSAMXG00000017367
pygocentrus_nattereri ENSPNAG00000022454
ictalurus_punctatus ENSIPUG00000022509
danio_rerio ENSDARG00000013871
poecilia_formosa ENSPFOG00000019720
poecilia_mexicana ENSPMEG00000003762
poecilia_latipinna ENSPLAG00000023501
poecilia_reticulata ENSPREG00000010069
xiphophorus_maculatus ENSXMAG00000030103
xiphophorus_couchianus ENSXCOG00000005159
gambusia_affinis ENSGAFG00000007999
fundulus_heteroclitus ENSFHEG00000022416
cyprinodon_variegatus ENSCVAG00000007111
poecilia_formosa ENSPFOG00000022361
poecilia_mexicana ENSPMEG00000004635
poecilia_latipinna ENSPLAG00000009818
cyprinodon_variegatus ENSCVAG00000007162
poecilia_formosa ENSPFOG00000019719
poecilia_latipinna ENSPLAG00000009938
poecilia_reticulata ENSPREG00000010055
gambusia_affinis ENSGAFG00000007984
poecilia_mexicana ENSPMEG00000004724
poecilia_formosa ENSPFOG00000003013
poecilia_reticulata ENSPREG00000010019
poecilia_reticulata ENSPREG00000009698
poecilia_mexicana ENSPMEG00000007496
poecilia_reticulata ENSPREG00000009765
poecilia_formosa ENSPFOG00000000178
poecilia_reticulata ENSPREG00000010034
poecilia_latipinna ENSPLAG00000009909
poecilia_latipinna ENSPLAG00000003131
poecilia_mexicana ENSPMEG00000004849
xiphophorus_couchianus ENSXCOG00000012899
xiphophorus_maculatus ENSXMAG00000025904
xiphophorus_maculatus ENSXMAG00000003695
cyprinodon_variegatus ENSCVAG00000007229
fundulus_heteroclitus ENSFHEG00000022368
kryptolebias_marmoratus ENSKMAG00000010111
oryzias_latipes ENSORLG00020014004
oryzias_latipes ENSORLG00000009712
oryzias_latipes_asm223469v1 ENSORLG00015002225
oryzias_melastigma ENSOMEG00000001640
oryzias_latipes ENSORLG00000009679
oryzias_latipes_asm223469v1 ENSORLG00015002257
oryzias_latipes ENSORLG00020014531
oryzias_melastigma ENSOMEG00000001665
pundamilia_nyererei ENSPNYG00000011648
maylandia_zebra ENSMZEG00005018037
haplochromis_burtoni ENSHBUG00000015965
astatotilapia_calliptera ENSACLG00000019177
neolamprologus_brichardi ENSNBRG00000000453
oreochromis_niloticus ENSONIG00000003632
astatotilapia_calliptera ENSACLG00000019145
maylandia_zebra ENSMZEG00005018047
pundamilia_nyererei ENSPNYG00000011616
neolamprologus_brichardi ENSNBRG00000000513
astatotilapia_calliptera ENSACLG00000019123
pundamilia_nyererei ENSPNYG00000011573
maylandia_zebra ENSMZEG00005018051
amphilophus_citrinellus ENSACIG00000019239
amphiprion_ocellaris ENSAOCG00000008516
amphiprion_percula ENSAPEG00000008526
acanthochromis_polyacanthus ENSAPOG00000015540
stegastes_partitus ENSSPAG00000003236
labrus_bergylta ENSLBEG00000023251
mola_mola ENSMMOG00000021340
gasterosteus_aculeatus ENSGACG00000017262
gasterosteus_aculeatus ENSGACG00000017252
mastacembelus_armatus ENSMAMG00000009728
monopterus_albus ENSMALG00000016876
anabas_testudineus ENSATEG00000017774
seriola_lalandi_dorsalis ENSSLDG00000015946
seriola_dumerili ENSSDUG00000016608
scophthalmus_maximus ENSSMAG00000020292
cynoglossus_semilaevis ENSCSEG00000016665
hippocampus_comes ENSHCOG00000003444
periophthalmus_magnuspinnatus ENSPMGG00000006663
takifugu_rubripes ENSTRUG00000008039
tetraodon_nigroviridis ENSTNIG00000009127
gadus_morhua ENSGMOG00000016186
esox_lucius ENSELUG00000018612
scleropages_formosus ENSSFOG00015016283
paramormyrops_kingsleyae ENSPKIG00000022197
lepisosteus_oculatus ENSLOCG00000001416
eptatretus_burgeri ENSEBUG00000015829
eptatretus_burgeri ENSEBUG00000009252
petromyzon_marinus ENSPMAG00000005357
ciona_savignyi ENSCSAVG00000003802
