haplochromis_burtoni ENSHBUG00000003472
ovis_aries ENSOARG00000009775
tursiops_truncatus ENSTTRG00000015375
sus_scrofa ENSSSCG00000029219
equus_asinus_asinus ENSEASG00005006056
equus_caballus ENSECAG00000010747
carlito_syrichta ENSTSYG00000026522
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021908
mus_musculus ENSMUSG00000040666
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021002
mus_pahari MGP_PahariEiJ_G0016707
rattus_norvegicus ENSRNOG00000028238
microtus_ochrogaster ENSMOCG00000000644
meriones_unguiculatus ENSMUGG00000014260
meriones_unguiculatus ENSMUGG00000014141
peromyscus_maniculatus_bairdii ENSPEMG00000003252
nannospalax_galili ENSNGAG00000001301
jaculus_jaculus ENSJJAG00000018659
castor_canadensis ENSCCNG00000011717
dipodomys_ordii ENSDORG00000010100
heterocephalus_glaber_female ENSHGLG00000015469
heterocephalus_glaber_male ENSHGLG00100013434
fukomys_damarensis ENSFDAG00000017533
cavia_aperea ENSCAPG00000017149
cavia_porcellus ENSCPOG00000003488
chinchilla_lanigera ENSCLAG00000008599
octodon_degus ENSODEG00000013522
procavia_capensis ENSPCAG00000016459
echinops_telfairi ENSETEG00000006380
choloepus_hoffmanni ENSCHOG00000002214
dasypus_novemcinctus ENSDNOG00000046236
vulpes_vulpes ENSVVUG00000025857
capra_hircus ENSCHIG00000018188
spermophilus_dauricus ENSSDAG00000003315
marmota_marmota_marmota ENSMMMG00000004305
oryctolagus_cuniculus ENSOCUG00000001522
ochotona_princeps ENSOPRG00000013665
pongo_abelii ENSPPYG00000011428
loxodonta_africana ENSLAFG00000027123
cricetulus_griseus_crigri-picr ENSCGRG00015016570
cricetulus_griseus_crigri ENSCGRG00000016534
cricetulus_griseus_chok1gshd ENSCGRG00001018634
mesocricetus_auratus ENSMAUG00000001722
rattus_norvegicus ENSRNOG00000046133
mus_spicilegus ENSMSIG00000014902
ornithorhynchus_anatinus ENSOANG00000006427
notechis_scutatus ENSNSUG00000007181
xenopus_tropicalis ENSXETG00000025095
latimeria_chalumnae ENSLACG00000013667
eptatretus_burgeri ENSEBUG00000000390
