electrophorus_electricus ENSEEEG00000004253
sorex_araneus ENSSARG00000001626
erinaceus_europaeus ENSEEUG00000010040
castor_canadensis ENSCCNG00000027007
dipodomys_ordii ENSDORG00000000953
mus_spicilegus ENSMSIG00000006709
mus_spretus MGP_SPRETEiJ_G0018051
mus_caroli MGP_CAROLIEiJ_G0017208
mus_musculus ENSMUSG00000017188
mus_pahari MGP_PahariEiJ_G0018338
rattus_norvegicus ENSRNOG00000020487
meriones_unguiculatus ENSMUGG00000023179
cricetulus_griseus ENSCGRG00000009055
cricetulus_griseus ENSCGRG00015000503
cricetulus_griseus ENSCGRG00001024599
mesocricetus_auratus ENSMAUG00000004848
peromyscus_maniculatus ENSPEMG00000019006
microtus_ochrogaster ENSMOCG00000021678
microtus_ochrogaster ENSMOCG00000003175
nannospalax_galili ENSNGAG00000011157
spermophilus_dauricus ENSSDAG00000010243
spermophilus_dauricus ENSSDAG00000010230
marmota_marmota ENSMMMG00000005055
urocitellus_parryii ENSUPAG00010010147
ictidomys_tridecemlineatus ENSSTOG00000020760
oryctolagus_cuniculus ENSOCUG00000015948
ochotona_princeps ENSOPRG00000012613
propithecus_coquereli ENSPCOG00000013088
prolemur_simus ENSPSMG00000006655
microcebus_murinus ENSMICG00000045288
otolemur_garnettii ENSOGAG00000009928
carlito_syrichta ENSTSYG00000037336
tupaia_belangeri ENSTBEG00000017499
heterocephalus_glaber ENSHGLG00000016832
heterocephalus_glaber ENSHGLG00100013679
fukomys_damarensis ENSFDAG00000007055
octodon_degus ENSODEG00000018075
chinchilla_lanigera ENSCLAG00000015591
cavia_porcellus ENSCPOG00000022659
piliocolobus_tephrosceles ENSPTEG00000015459
piliocolobus_tephrosceles ENSPTEG00000018590
colobus_angolensis ENSCANG00000017156
rhinopithecus_roxellana ENSRROG00000032581
rhinopithecus_roxellana ENSRROG00000003882
rhinopithecus_bieti ENSRBIG00000034839
papio_anubis ENSPANG00000015871
theropithecus_gelada ENSTGEG00000002905
macaca_mulatta ENSMMUG00000059988
macaca_fascicularis ENSMFAG00000045541
macaca_nemestrina ENSMNEG00000043888
cercocebus_atys ENSCATG00000030262
mandrillus_leucophaeus ENSMLEG00000036336
theropithecus_gelada ENSTGEG00000011039
papio_anubis ENSPANG00000030691
chlorocebus_sabaeus ENSCSAG00000000349
chlorocebus_sabaeus ENSCSAG00000018435
papio_anubis ENSPANG00000029623
cercocebus_atys ENSCATG00000030459
macaca_nemestrina ENSMNEG00000041517
macaca_fascicularis ENSMFAG00000016209
chlorocebus_sabaeus ENSCSAG00000000508
colobus_angolensis ENSCANG00000040971
macaca_mulatta ENSMMUG00000031107
theropithecus_gelada ENSTGEG00000010080
chlorocebus_sabaeus ENSCSAG00000000232
rhinopithecus_roxellana ENSRROG00000041141
pan_paniscus ENSPPAG00000039760
pan_troglodytes ENSPTRG00000009222
homo_sapiens ENSG00000183978
gorilla_gorilla ENSGGOG00000016061
pongo_abelii ENSPPYG00000008375
nomascus_leucogenys ENSNLEG00000011824
callithrix_jacchus ENSCJAG00000041927
saimiri_boliviensis ENSSBOG00000027470
cebus_capucinus ENSCCAG00000032729
aotus_nancymaae ENSANAG00000026099
vicugna_pacos ENSVPAG00000011350
loxodonta_africana ENSLAFG00000013431
procavia_capensis ENSPCAG00000013952
echinops_telfairi ENSETEG00000014618
dasypus_novemcinctus ENSDNOG00000046588
choloepus_hoffmanni ENSCHOG00000010294
jaculus_jaculus ENSJJAG00000020968
phascolarctos_cinereus ENSPCIG00000021499
notamacropus_eugenii ENSMEUG00000011666
vombatus_ursinus ENSVURG00010021656
monodelphis_domestica ENSMODG00000015055
ficedula_albicollis ENSFALG00000006818
lepidothrix_coronata ENSLCOG00000012315
parus_major ENSPMJG00000001992
junco_hyemalis ENSJHYG00000009220
taeniopygia_guttata ENSTGUG00000002780
apteryx_haastii ENSAHAG00000009384
apteryx_owenii ENSAOWG00000007152
apteryx_rowi ENSARWG00000014244
dromaius_novaehollandiae ENSDNVG00000018767
nothoprocta_perdicaria ENSNPEG00000002483
chelonoidis_abingdonii ENSCABG00000000274
chrysemys_picta ENSCPBG00000016496
caenorhabditis_elegans WBGene00018046
