mus_spretus MGP_SPRETEiJ_G0029949
microcebus_murinus ENSMICG00000000100
propithecus_coquereli ENSPCOG00000017121
otolemur_garnettii ENSOGAG00000034635
capra_hircus ENSCHIG00000025427
ovis_aries ENSOARG00000011054
bos_indicus ENSBIXG00005022494
bos_indicus ENSBIXG00000013579
bos_taurus ENSBTAG00000015875
bos_mutus ENSBMUG00000018114
bison_bison ENSBBBG00000012008
bos_indicus ENSBIXG00000007864
tursiops_truncatus ENSTTRG00000005436
sus_scrofa ENSSSCG00000000739
equus_caballus ENSECAG00000019129
equus_asinus ENSEASG00005017130
ursus_americanus ENSUAMG00000020896
ursus_maritimus ENSUMAG00000014658
ailuropoda_melanoleuca ENSAMEG00000004869
neovison_vison ENSNVIG00000004867
mustela_putorius ENSMPUG00000009407
canis_lupus ENSCAFG00020014732
canis_lupus ENSCAFG00000015642
vulpes_vulpes ENSVVUG00000018189
panthera_tigris ENSPTIG00000013996
panthera_pardus ENSPPRG00000022764
felis_catus ENSFCAG00000025605
pteropus_vampyrus ENSPVAG00000013227
myotis_lucifugus ENSMLUG00000005292
dasypus_novemcinctus ENSDNOG00000018047
dasypus_novemcinctus ENSDNOG00000006678
choloepus_hoffmanni ENSCHOG00000005195
loxodonta_africana ENSLAFG00000002856
procavia_capensis ENSPCAG00000013185
echinops_telfairi ENSETEG00000019867
erinaceus_europaeus ENSEEUG00000009221
jaculus_jaculus ENSJJAG00000012497
dipodomys_ordii ENSDORG00000015227
phascolarctos_cinereus ENSPCIG00000023249
vombatus_ursinus ENSVURG00010008480
notamacropus_eugenii ENSMEUG00000015998
sarcophilus_harrisii ENSSHAG00000013615
ornithorhynchus_anatinus ENSOANG00000001393
apteryx_rowi ENSARWG00000002028
apteryx_owenii ENSAOWG00000014663
apteryx_haastii ENSAHAG00000017509
dromaius_novaehollandiae ENSDNVG00000011560
nothoprocta_perdicaria ENSNPEG00000006739
lepidothrix_coronata ENSLCOG00000004628
manacus_vitellinus ENSMVIG00005014184
serinus_canaria ENSSCAG00000015238
junco_hyemalis ENSJHYG00000012004
zonotrichia_albicollis ENSZALG00000009981
lonchura_striata ENSLSDG00000012558
ficedula_albicollis ENSFALG00000004834
taeniopygia_guttata ENSTGUG00000013153
parus_major ENSPMJG00000003659
cyanistes_caeruleus ENSCCEG00000011224
calidris_pygmaea ENSCPGG00000004669
calidris_pugnax ENSCPUG00000007328
melopsittacus_undulatus ENSMUNG00000014391
anas_platyrhynchos ENSAPLG00000011353
anser_brachyrhynchus ENSABRG00000012875
gallus_gallus ENSGALG00000013420
coturnix_japonica ENSCJPG00005016622
meleagris_gallopavo ENSMGAG00000013924
numida_meleagris ENSNMEG00000016532
taeniopygia_guttata ENSTGUG00000013811
crocodylus_porosus ENSCPRG00005013151
gopherus_agassizii ENSGAGG00000025031
chelonoidis_abingdonii ENSCABG00000010307
chrysemys_picta ENSCPBG00000009810
pelodiscus_sinensis ENSPSIG00000016445
anolis_carolinensis ENSACAG00000015333
pogona_vitticeps ENSPVIG00000008541
notechis_scutatus ENSNSUG00000006601
salvator_merianae ENSSMRG00000023392
sphenodon_punctatus ENSSPUG00000017395
xenopus_tropicalis ENSXETG00000018716
latimeria_chalumnae ENSLACG00000007969
takifugu_rubripes ENSTRUG00000015839
tetraodon_nigroviridis ENSTNIG00000011394
mola_mola ENSMMOG00000000907
cynoglossus_semilaevis ENSCSEG00000007681
gouania_willdenowi ENSGWIG00000005227
hippocampus_comes ENSHCOG00000017947
oryzias_latipes ENSORLG00000016140
oryzias_latipes ENSORLG00015009050
oryzias_latipes ENSORLG00020010269
oryzias_melastigma ENSOMEG00000004150
cottoperca_gobio ENSCGOG00000012088
gasterosteus_aculeatus ENSGACG00000019929
larimichthys_crocea ENSLCRG00005019230
scophthalmus_maximus ENSSMAG00000004385
betta_splendens ENSBSLG00000025034
monopterus_albus ENSMALG00000013636
monopterus_albus ENSMALG00000019475
mastacembelus_armatus ENSMAMG00000014899
anabas_testudineus ENSATEG00000021088
seriola_lalandi ENSSLDG00000018534
seriola_dumerili ENSSDUG00000018732
lates_calcarifer ENSLCAG00010002764
amphiprion_ocellaris ENSAOCG00000012367
amphiprion_percula ENSAPEG00000020793
acanthochromis_polyacanthus ENSAPOG00000005200
stegastes_partitus ENSSPAG00000008351
parambassis_ranga ENSPRNG00000014946
astatotilapia_calliptera ENSACLG00000017856
haplochromis_burtoni ENSHBUG00000011509
maylandia_zebra ENSMZEG00005002229
astatotilapia_calliptera ENSACLG00000018814
pundamilia_nyererei ENSPNYG00000018069
astatotilapia_calliptera ENSACLG00000018922
maylandia_zebra ENSMZEG00005002268
haplochromis_burtoni ENSHBUG00000011493
neolamprologus_brichardi ENSNBRG00000010396
maylandia_zebra ENSMZEG00005001943
amphilophus_citrinellus ENSACIG00000003151
poecilia_formosa ENSPFOG00000016962
poecilia_latipinna ENSPLAG00000011940
poecilia_mexicana ENSPMEG00000004860
poecilia_reticulata ENSPREG00000022385
xiphophorus_maculatus ENSXMAG00000029688
xiphophorus_couchianus ENSXCOG00000013833
gambusia_affinis ENSGAFG00000016765
fundulus_heteroclitus ENSFHEG00000021721
cyprinodon_variegatus ENSCVAG00000016692
kryptolebias_marmoratus ENSKMAG00000011726
labrus_bergylta ENSLBEG00000025850
periophthalmus_magnuspinnatus ENSPMGG00000002137
gadus_morhua ENSGMOG00000005312
denticeps_clupeoides ENSDCDG00000008772
hucho_hucho ENSHHUG00000023453
hucho_hucho ENSHHUG00000009414
esox_lucius ENSELUG00000002105
clupea_harengus ENSCHAG00000001076
pygocentrus_nattereri ENSPNAG00000023205
astyanax_mexicanus ENSAMXG00005021442
electrophorus_electricus ENSEEEG00000024042
ictalurus_punctatus ENSIPUG00000017776
danio_rerio ENSDARG00000003200
scleropages_formosus ENSSFOG00015023038
paramormyrops_kingsleyae ENSPKIG00000003625
lepisosteus_oculatus ENSLOCG00000016556
erpetoichthys_calabaricus ENSECRG00000004236
callorhinchus_milii ENSCMIG00000013170
callorhinchus_milii ENSCMIG00000014524
erpetoichthys_calabaricus ENSECRG00000012990
lepisosteus_oculatus ENSLOCG00000003497
monopterus_albus ENSMALG00000010025
ciona_intestinalis ENSCING00000008790
ciona_savignyi ENSCSAVG00000004837
