anas_platyrhynchos ENSAPLG00000017680
stegastes_partitus ENSSPAG00000005586
monopterus_albus ENSMALG00000022442
mastacembelus_armatus ENSMAMG00000024167
anabas_testudineus ENSATEG00000019791
cottoperca_gobio ENSCGOG00000000705
mola_mola ENSMMOG00000011732
larimichthys_crocea ENSLCRG00005022189
labrus_bergylta ENSLBEG00000009095
tetraodon_nigroviridis ENSTNIG00000001703
takifugu_rubripes ENSTRUG00000011048
gadus_morhua ENSGMOG00000010043
gasterosteus_aculeatus ENSGACG00000004912
tetraodon_nigroviridis ENSTNIG00000018309
fundulus_heteroclitus ENSFHEG00000016716
cyprinodon_variegatus ENSCVAG00000014366
xiphophorus_maculatus ENSXMAG00000017942
xiphophorus_couchianus ENSXCOG00000015875
gambusia_affinis ENSGAFG00000016126
poecilia_formosa ENSPFOG00000015137
poecilia_latipinna ENSPLAG00000012343
poecilia_mexicana ENSPMEG00000010303
poecilia_reticulata ENSPREG00000012986
kryptolebias_marmoratus ENSKMAG00000016328
oryzias_latipes ENSORLG00020012666
oryzias_latipes ENSORLG00015007949
oryzias_latipes ENSORLG00000029267
oryzias_melastigma ENSOMEG00000012084
parambassis_ranga ENSPRNG00000009645
gouania_willdenowi ENSGWIG00000023215
cynoglossus_semilaevis ENSCSEG00000016875
maylandia_zebra ENSMZEG00005002226
pundamilia_nyererei ENSPNYG00000004949
astatotilapia_calliptera ENSACLG00000000801
haplochromis_burtoni ENSHBUG00000011607
neolamprologus_brichardi ENSNBRG00000009239
oreochromis_niloticus ENSONIG00000014752
amphilophus_citrinellus ENSACIG00000010833
larimichthys_crocea ENSLCRG00005020990
amphiprion_ocellaris ENSAOCG00000002774
amphiprion_percula ENSAPEG00000023160
acanthochromis_polyacanthus ENSAPOG00000010069
stegastes_partitus ENSSPAG00000000942
cottoperca_gobio ENSCGOG00000001350
mola_mola ENSMMOG00000013147
takifugu_rubripes ENSTRUG00000001430
labrus_bergylta ENSLBEG00000023927
seriola_dumerili ENSSDUG00000018926
seriola_lalandi ENSSLDG00000005067
lates_calcarifer ENSLCAG00010009904
scophthalmus_maximus ENSSMAG00000008095
monopterus_albus ENSMALG00000001123
mastacembelus_armatus ENSMAMG00000003895
anabas_testudineus ENSATEG00000025131
periophthalmus_magnuspinnatus ENSPMGG00000022159
hippocampus_comes ENSHCOG00000001583
betta_splendens ENSBSLG00000000578
gadus_morhua ENSGMOG00000000105
hucho_hucho ENSHHUG00000048871
hucho_hucho ENSHHUG00000050147
esox_lucius ENSELUG00000001273
clupea_harengus ENSCHAG00000026175
denticeps_clupeoides ENSDCDG00000029021
astyanax_mexicanus ENSAMXG00005005996
astyanax_mexicanus ENSAMXG00000033621
pygocentrus_nattereri ENSPNAG00000012707
electrophorus_electricus ENSEEEG00000007181
ictalurus_punctatus ENSIPUG00000024860
danio_rerio ENSDARG00000029930
scleropages_formosus ENSSFOG00015022446
paramormyrops_kingsleyae ENSPKIG00000003229
paramormyrops_kingsleyae ENSPKIG00000001617
lepisosteus_oculatus ENSLOCG00000009979
erpetoichthys_calabaricus ENSECRG00000003212
latimeria_chalumnae ENSLACG00000017022
callorhinchus_milii ENSCMIG00000017538
callorhinchus_milii ENSCMIG00000019828
eptatretus_burgeri ENSEBUG00000004230
ciona_intestinalis ENSCING00000003158
drosophila_melanogaster FBgn0005659
caenorhabditis_elegans WBGene00017687
