callorhinchus_milii ENSCMIG00000006782
ursus_maritimus ENSUMAG00000000085
ursus_americanus ENSUAMG00000009949
neovison_vison ENSNVIG00000007105
mustela_putorius ENSMPUG00000010485
vulpes_vulpes ENSVVUG00000006984
vulpes_vulpes ENSVVUG00000006396
canis_lupus ENSCAFG00020014881
canis_lupus ENSCAFG00020014804
canis_lupus ENSCAFG00000000445
panthera_pardus ENSPPRG00000010874
panthera_pardus ENSPPRG00000009951
panthera_tigris ENSPTIG00000017428
panthera_tigris ENSPTIG00000003459
felis_catus ENSFCAG00000000049
sus_scrofa ENSSSCG00000004081
sus_scrofa ENSSSCG00000031744
sus_scrofa ENSSSCG00000004082
vicugna_pacos ENSVPAG00000001186
ovis_aries ENSOARG00000003537
capra_hircus ENSCHIG00000016453
bos_taurus ENSBTAG00000009362
bos_taurus ENSBTAG00000052949
bos_indicus ENSBIXG00000021381
bos_mutus ENSBMUG00000023407
bison_bison ENSBBBG00000012707
bos_indicus ENSBIXG00005007834
tursiops_truncatus ENSTTRG00000002999
equus_asinus ENSEASG00005018807
equus_asinus ENSEASG00005018851
equus_asinus ENSEASG00005018835
equus_caballus ENSECAG00000017353
bos_taurus ENSBTAG00000052173
bos_taurus ENSBTAG00000054597
fukomys_damarensis ENSFDAG00000016136
loxodonta_africana ENSLAFG00000008554
procavia_capensis ENSPCAG00000015425
echinops_telfairi ENSETEG00000009540
choloepus_hoffmanni ENSCHOG00000001380
dasypus_novemcinctus ENSDNOG00000033660
castor_canadensis ENSCCNG00000005269
castor_canadensis ENSCCNG00000005152
dipodomys_ordii ENSDORG00000013226
heterocephalus_glaber ENSHGLG00100015454
heterocephalus_glaber ENSHGLG00000004180
fukomys_damarensis ENSFDAG00000015902
chinchilla_lanigera ENSCLAG00000002479
nannospalax_galili ENSNGAG00000000637
cavia_aperea ENSCAPG00000006004
meriones_unguiculatus ENSMUGG00000000584
cricetulus_griseus ENSCGRG00000016833
cricetulus_griseus ENSCGRG00001024508
mesocricetus_auratus ENSMAUG00000014937
cavia_porcellus ENSCPOG00000032322
marmota_marmota ENSMMMG00000003497
marmota_marmota ENSMMMG00000003544
marmota_marmota ENSMMMG00000003653
urocitellus_parryii ENSUPAG00010012988
ictidomys_tridecemlineatus ENSSTOG00000030302
spermophilus_dauricus ENSSDAG00000005418
spermophilus_dauricus ENSSDAG00000005348
chinchilla_lanigera ENSCLAG00000002772
octodon_degus ENSODEG00000001363
cavia_porcellus ENSCPOG00000039266
cavia_aperea ENSCAPG00000014763
heterocephalus_glaber ENSHGLG00100010143
heterocephalus_glaber ENSHGLG00000005683
nannospalax_galili ENSNGAG00000015778
mus_spicilegus ENSMSIG00000029148
mus_caroli MGP_CAROLIEiJ_G0015087
mus_pahari MGP_PahariEiJ_G0023706
meriones_unguiculatus ENSMUGG00000010404
meriones_unguiculatus ENSMUGG00000010343
peromyscus_maniculatus ENSPEMG00000029017
peromyscus_maniculatus ENSPEMG00000000704
peromyscus_maniculatus ENSPEMG00000007014
cricetulus_griseus ENSCGRG00015009678
microtus_ochrogaster ENSMOCG00000003007
cricetulus_griseus ENSCGRG00001017406
cricetulus_griseus ENSCGRG00000016523
mesocricetus_auratus ENSMAUG00000019847
mus_musculus ENSMUSG00000096054
gopherus_agassizii ENSGAGG00000025139
gopherus_agassizii ENSGAGG00000025147
ornithorhynchus_anatinus ENSOANG00000001235
ictalurus_punctatus ENSIPUG00000019623
ictalurus_punctatus ENSIPUG00000019651
clupea_harengus ENSCHAG00000005383
gadus_morhua ENSGMOG00000014932
mola_mola ENSMMOG00000019326
takifugu_rubripes ENSTRUG00000019597
electrophorus_electricus ENSEEEG00000001065
periophthalmus_magnuspinnatus ENSPMGG00000019183
periophthalmus_magnuspinnatus ENSPMGG00000019179
stegastes_partitus ENSSPAG00000004052
stegastes_partitus ENSSPAG00000003860
acanthochromis_polyacanthus ENSAPOG00000008794
acanthochromis_polyacanthus ENSAPOG00000009043
amphiprion_percula ENSAPEG00000016174
amphiprion_ocellaris ENSAOCG00000020778
amphiprion_ocellaris ENSAOCG00000009197
amphiprion_percula ENSAPEG00000016104
parambassis_ranga ENSPRNG00000019243
neolamprologus_brichardi ENSNBRG00000018583
neolamprologus_brichardi ENSNBRG00000018769
astatotilapia_calliptera ENSACLG00000019517
maylandia_zebra ENSMZEG00005017903
haplochromis_burtoni ENSHBUG00000008066
pundamilia_nyererei ENSPNYG00000011870
amphilophus_citrinellus ENSACIG00000008028
maylandia_zebra ENSMZEG00005017866
astatotilapia_calliptera ENSACLG00000019314
pundamilia_nyererei ENSPNYG00000011678
haplochromis_burtoni ENSHBUG00000008315
neolamprologus_brichardi ENSNBRG00000018439
amphilophus_citrinellus ENSACIG00000007857
fundulus_heteroclitus ENSFHEG00000023274
fundulus_heteroclitus ENSFHEG00000023287
cyprinodon_variegatus ENSCVAG00000001570
poecilia_mexicana ENSPMEG00000016459
poecilia_mexicana ENSPMEG00000016280
poecilia_latipinna ENSPLAG00000000479
poecilia_formosa ENSPFOG00000019557
poecilia_reticulata ENSPREG00000004325
gambusia_affinis ENSGAFG00000012320
gambusia_affinis ENSGAFG00000012352
xiphophorus_maculatus ENSXMAG00000024999
xiphophorus_couchianus ENSXCOG00000004393
xiphophorus_maculatus ENSXMAG00000003104
kryptolebias_marmoratus ENSKMAG00000009198
kryptolebias_marmoratus ENSKMAG00000009021
oryzias_latipes ENSORLG00000028886
oryzias_latipes ENSORLG00015004950
oryzias_latipes ENSORLG00020010073
oryzias_melastigma ENSOMEG00000010151
monopterus_albus ENSMALG00000002184
hippocampus_comes ENSHCOG00000014343
hippocampus_comes ENSHCOG00000014373
scophthalmus_maximus ENSSMAG00000016266
scophthalmus_maximus ENSSMAG00000016288
cynoglossus_semilaevis ENSCSEG00000017715
cynoglossus_semilaevis ENSCSEG00000017723
seriola_lalandi ENSSLDG00000020333
seriola_dumerili ENSSDUG00000019160
poecilia_reticulata ENSPREG00000004260
poecilia_reticulata ENSPREG00000004212
xiphophorus_couchianus ENSXCOG00000004403
xiphophorus_couchianus ENSXCOG00000004400
oryzias_melastigma ENSOMEG00000010036
oryzias_melastigma ENSOMEG00000010057
oryzias_melastigma ENSOMEG00000000242
oryzias_latipes ENSORLG00015005063
oryzias_latipes ENSORLG00015005107
oryzias_latipes ENSORLG00000028741
oryzias_latipes ENSORLG00000024631
oryzias_latipes ENSORLG00020010174
oryzias_latipes ENSORLG00020010142
gouania_willdenowi ENSGWIG00000026513
takifugu_rubripes ENSTRUG00000018217
tetraodon_nigroviridis ENSTNIG00000012265
mola_mola ENSMMOG00000019317
labrus_bergylta ENSLBEG00000015270
labrus_bergylta ENSLBEG00000015496
cottoperca_gobio ENSCGOG00000006654
gasterosteus_aculeatus ENSGACG00000008721
periophthalmus_magnuspinnatus ENSPMGG00000019194
scophthalmus_maximus ENSSMAG00000016394
cynoglossus_semilaevis ENSCSEG00000017679
seriola_dumerili ENSSDUG00000019298
seriola_lalandi ENSSLDG00000020127
lates_calcarifer ENSLCAG00010005971
anabas_testudineus ENSATEG00000012461
anabas_testudineus ENSATEG00000012688
oreochromis_niloticus ENSONIG00000013332
mastacembelus_armatus ENSMAMG00000008053
mastacembelus_armatus ENSMAMG00000008123
monopterus_albus ENSMALG00000002086
eptatretus_burgeri ENSEBUG00000003875
petromyzon_marinus ENSPMAG00000009738
cyprinodon_variegatus ENSCVAG00000001593
esox_lucius ENSELUG00000000691
esox_lucius ENSELUG00000017735
hucho_hucho ENSHHUG00000005257
electrophorus_electricus ENSEEEG00000013638
electrophorus_electricus ENSEEEG00000013676
astyanax_mexicanus ENSAMXG00005018687
astyanax_mexicanus ENSAMXG00000006306
pygocentrus_nattereri ENSPNAG00000002509
danio_rerio ENSDARG00000009499
ictalurus_punctatus ENSIPUG00000019547
monopterus_albus ENSMALG00000020182
paramormyrops_kingsleyae ENSPKIG00000014330
scleropages_formosus ENSSFOG00015016537
paramormyrops_kingsleyae ENSPKIG00000014230
paramormyrops_kingsleyae ENSPKIG00000014197
scleropages_formosus ENSSFOG00015016404
scleropages_formosus ENSSFOG00015016426
eptatretus_burgeri ENSEBUG00000009686
manacus_vitellinus ENSMVIG00005016537
latimeria_chalumnae ENSLACG00000005061
jaculus_jaculus ENSJJAG00000014032
sarcophilus_harrisii ENSSHAG00000016595
sarcophilus_harrisii ENSSHAG00000016393
vombatus_ursinus ENSVURG00010001445
vombatus_ursinus ENSVURG00010001331
phascolarctos_cinereus ENSPCIG00000026913
phascolarctos_cinereus ENSPCIG00000026821
phascolarctos_cinereus ENSPCIG00000035321
notamacropus_eugenii ENSMEUG00000003181
monodelphis_domestica ENSMODG00000016253
xenopus_tropicalis ENSXETG00000010516
latimeria_chalumnae ENSLACG00000003111
callorhinchus_milii ENSCMIG00000006500
