peromyscus_maniculatus ENSPEMG00000013814
lates_calcarifer ENSLCAG00010003104
cynoglossus_semilaevis ENSCSEG00000010174
scophthalmus_maximus ENSSMAG00000002171
takifugu_rubripes ENSTRUG00000024978
periophthalmus_magnuspinnatus ENSPMGG00000017501
hippocampus_comes ENSHCOG00000016833
hucho_hucho ENSHHUG00000050148
hucho_hucho ENSHHUG00000044417
esox_lucius ENSELUG00000019042
ictalurus_punctatus ENSIPUG00000003275
scleropages_formosus ENSSFOG00015024074
paramormyrops_kingsleyae ENSPKIG00000012824
erpetoichthys_calabaricus ENSECRG00000007232
