heterocephalus_glaber_male ENSHGLG00100006858
gambusia_affinis ENSGAFG00000005214
poecilia_mexicana ENSPMEG00000016714
poecilia_latipinna ENSPLAG00000003629
poecilia_formosa ENSPFOG00000009503
poecilia_reticulata ENSPREG00000012637
kryptolebias_marmoratus ENSKMAG00000018952
oryzias_latipes_asm223469v1 ENSORLG00015006618
oryzias_latipes ENSORLG00020000238
oryzias_latipes ENSORLG00000006659
oryzias_melastigma ENSOMEG00000000272
haplochromis_burtoni ENSHBUG00000018170
maylandia_zebra ENSMZEG00005021509
astatotilapia_calliptera ENSACLG00000006465
pundamilia_nyererei ENSPNYG00000022571
neolamprologus_brichardi ENSNBRG00000002571
oreochromis_niloticus ENSONIG00000004819
amphilophus_citrinellus ENSACIG00000016645
scophthalmus_maximus ENSSMAG00000008428
cynoglossus_semilaevis ENSCSEG00000001042
seriola_dumerili ENSSDUG00000020890
seriola_lalandi_dorsalis ENSSLDG00000021148
mastacembelus_armatus ENSMAMG00000002865
amphiprion_percula ENSAPEG00000007673
amphiprion_ocellaris ENSAOCG00000017838
acanthochromis_polyacanthus ENSAPOG00000023214
stegastes_partitus ENSSPAG00000017215
hippocampus_comes ENSHCOG00000012012
periophthalmus_magnuspinnatus ENSPMGG00000004285
gadus_morhua ENSGMOG00000013899
esox_lucius ENSELUG00000018787
pygocentrus_nattereri ENSPNAG00000025921
astyanax_mexicanus ENSAMXG00000012978
ictalurus_punctatus ENSIPUG00000000555
danio_rerio ENSDARG00000069335
paramormyrops_kingsleyae ENSPKIG00000004089
scleropages_formosus ENSSFOG00015021270
lepisosteus_oculatus ENSLOCG00000013298
eptatretus_burgeri ENSEBUG00000008366
