mesocricetus_auratus ENSMAUG00000015392
serinus_canaria ENSSCAG00000013177
junco_hyemalis ENSJHYG00000003997
zonotrichia_albicollis ENSZALG00000005565
ficedula_albicollis ENSFALG00000008263
melopsittacus_undulatus ENSMUNG00000002240
coturnix_japonica ENSCJPG00005009577
gallus_gallus ENSGALG00000010575
meleagris_gallopavo ENSMGAG00000006026
numida_meleagris ENSNMEG00000014472
anser_brachyrhynchus ENSABRG00000007747
anas_platyrhynchos_platyrhynchos ENSAPLG00000010592
apteryx_owenii ENSAOWG00000012509
apteryx_haastii ENSAHAG00000000309
apteryx_rowi ENSARWG00000000410
dromaius_novaehollandiae ENSDNVG00000007435
nothoprocta_perdicaria ENSNPEG00000002698
crocodylus_porosus ENSCPRG00005006095
chelonoidis_abingdonii ENSCABG00000011716
gopherus_agassizii ENSGAGG00000001037
chrysemys_picta_bellii ENSCPBG00000003933
pelodiscus_sinensis ENSPSIG00000009507
ornithorhynchus_anatinus ENSOANG00000010374
xenopus_tropicalis ENSXETG00000014107
scophthalmus_maximus ENSSMAG00000007324
cynoglossus_semilaevis ENSCSEG00000002750
seriola_dumerili ENSSDUG00000002296
seriola_lalandi_dorsalis ENSSLDG00000016079
anabas_testudineus ENSATEG00000015968
mastacembelus_armatus ENSMAMG00000015954
monopterus_albus ENSMALG00000001090
xiphophorus_maculatus ENSXMAG00000029835
xiphophorus_couchianus ENSXCOG00000011387
gambusia_affinis ENSGAFG00000007088
poecilia_formosa ENSPFOG00000012447
poecilia_mexicana ENSPMEG00000014868
poecilia_latipinna ENSPLAG00000012182
poecilia_reticulata ENSPREG00000006102
fundulus_heteroclitus ENSFHEG00000021971
cyprinodon_variegatus ENSCVAG00000021666
kryptolebias_marmoratus ENSKMAG00000001316
oryzias_latipes_asm223469v1 ENSORLG00015021179
oryzias_latipes ENSORLG00020020954
oryzias_latipes ENSORLG00000006592
oryzias_melastigma ENSOMEG00000006563
haplochromis_burtoni ENSHBUG00000015350
pundamilia_nyererei ENSPNYG00000009692
maylandia_zebra ENSMZEG00005019718
astatotilapia_calliptera ENSACLG00000021382
neolamprologus_brichardi ENSNBRG00000012937
oreochromis_niloticus ENSONIG00000017530
amphilophus_citrinellus ENSACIG00000020365
amphiprion_ocellaris ENSAOCG00000006253
amphiprion_percula ENSAPEG00000014691
acanthochromis_polyacanthus ENSAPOG00000017789
acanthochromis_polyacanthus ENSAPOG00000011776
stegastes_partitus ENSSPAG00000000842
labrus_bergylta ENSLBEG00000021442
hippocampus_comes ENSHCOG00000004115
mola_mola ENSMMOG00000006367
gasterosteus_aculeatus ENSGACG00000017536
takifugu_rubripes ENSTRUG00000005424
tetraodon_nigroviridis ENSTNIG00000018032
periophthalmus_magnuspinnatus ENSPMGG00000018716
gadus_morhua ENSGMOG00000017716
esox_lucius ENSELUG00000017146
pygocentrus_nattereri ENSPNAG00000025906
astyanax_mexicanus ENSAMXG00000033202
ictalurus_punctatus ENSIPUG00000001904
danio_rerio ENSDARG00000091678
scleropages_formosus ENSSFOG00015016612
paramormyrops_kingsleyae ENSPKIG00000012046
scleropages_formosus ENSSFOG00015018796
lepisosteus_oculatus ENSLOCG00000012622
eptatretus_burgeri ENSEBUG00000013414
petromyzon_marinus ENSPMAG00000003019
latimeria_chalumnae ENSLACG00000011454
ciona_savignyi ENSCSAVG00000009469
ciona_intestinalis ENSCING00000024646
drosophila_melanogaster FBgn0039459
caenorhabditis_elegans_strain_n2 WBGene00018778
