stegastes_partitus ENSSPAG00000019393
phascolarctos_cinereus ENSPCIG00000006878
monodelphis_domestica ENSMODG00000009810
mus_spicilegus ENSMSIG00000004938
mus_caroli MGP_CAROLIEiJ_G0032346
mus_spretus MGP_SPRETEiJ_G0033485
mus_musculus ENSMUSG00000004771
mus_pahari MGP_PahariEiJ_G0015211
rattus_norvegicus ENSRNOG00000011302
meriones_unguiculatus ENSMUGG00000005272
cricetulus_griseus ENSCGRG00000018359
cricetulus_griseus ENSCGRG00001023313
cricetulus_griseus ENSCGRG00015022528
mesocricetus_auratus ENSMAUG00000018551
peromyscus_maniculatus ENSPEMG00000005147
peromyscus_maniculatus ENSPEMG00000018217
peromyscus_maniculatus ENSPEMG00000021125
microtus_ochrogaster ENSMOCG00000021138
nannospalax_galili ENSNGAG00000013726
jaculus_jaculus ENSJJAG00000015445
jaculus_jaculus ENSJJAG00000012036
jaculus_jaculus ENSJJAG00000009949
ochotona_princeps ENSOPRG00000004681
carlito_syrichta ENSTSYG00000031189
panthera_pardus ENSPPRG00000010471
panthera_tigris ENSPTIG00000021637
felis_catus ENSFCAG00000030174
ursus_maritimus ENSUMAG00000012273
ursus_americanus ENSUAMG00000026548
ailuropoda_melanoleuca ENSAMEG00000003119
mustela_putorius ENSMPUG00000000387
neovison_vison ENSNVIG00000016821
canis_lupus ENSCAFG00020008478
canis_lupus ENSCAFG00000017255
vulpes_vulpes ENSVVUG00000014435
equus_asinus ENSEASG00005006431
myotis_lucifugus ENSMLUG00000008820
myotis_lucifugus ENSMLUG00000026711
pteropus_vampyrus ENSPVAG00000004909
bos_indicus ENSBIXG00005029469
bos_indicus ENSBIXG00000024137
bos_mutus ENSBMUG00000005380
bos_taurus ENSBTAG00000048711
bos_indicus ENSBIXG00000029178
bison_bison ENSBBBG00000022716
bison_bison ENSBBBG00000001484
bos_taurus ENSBTAG00000018959
ovis_aries ENSOARG00000018084
capra_hircus ENSCHIG00000012183
tursiops_truncatus ENSTTRG00000011885
sus_scrofa ENSSSCG00000032312
loxodonta_africana ENSLAFG00000011418
procavia_capensis ENSPCAG00000002640
echinops_telfairi ENSETEG00000004920
dasypus_novemcinctus ENSDNOG00000038479
choloepus_hoffmanni ENSCHOG00000000669
propithecus_coquereli ENSPCOG00000015802
propithecus_coquereli ENSPCOG00000016536
prolemur_simus ENSPSMG00000007014
microcebus_murinus ENSMICG00000041504
otolemur_garnettii ENSOGAG00000007642
pan_troglodytes ENSPTRG00000047673
pan_paniscus ENSPPAG00000027315
gorilla_gorilla ENSGGOG00000042755
gorilla_gorilla ENSGGOG00000040835
papio_anubis ENSPANG00000033740
macaca_fascicularis ENSMFAG00000009576
piliocolobus_tephrosceles ENSPTEG00000034981
macaca_nemestrina ENSMNEG00000033144
cercocebus_atys ENSCATG00000036621
colobus_angolensis ENSCANG00000032838
nomascus_leucogenys ENSNLEG00000034751
heterocephalus_glaber ENSHGLG00000005396
heterocephalus_glaber ENSHGLG00100011237
heterocephalus_glaber ENSHGLG00100015502
heterocephalus_glaber ENSHGLG00000006346
heterocephalus_glaber ENSHGLG00000013091
heterocephalus_glaber ENSHGLG00100004832
heterocephalus_glaber ENSHGLG00000009112
fukomys_damarensis ENSFDAG00000021495
octodon_degus ENSODEG00000016878
octodon_degus ENSODEG00000005318
chinchilla_lanigera ENSCLAG00000007435
cavia_porcellus ENSCPOG00000037599
castor_canadensis ENSCCNG00000013973
dipodomys_ordii ENSDORG00000028034
octodon_degus ENSODEG00000002343
spermophilus_dauricus ENSSDAG00000000780
spermophilus_dauricus ENSSDAG00000016327
urocitellus_parryii ENSUPAG00010001338
marmota_marmota ENSMMMG00000006747
ictidomys_tridecemlineatus ENSSTOG00000015255
pan_troglodytes ENSPTRG00000044358
pan_paniscus ENSPPAG00000030195
gorilla_gorilla ENSGGOG00000014252
homo_sapiens ENSG00000103769
pongo_abelii ENSPPYG00000006573
macaca_mulatta ENSMMUG00000008006
macaca_fascicularis ENSMFAG00000000699
macaca_nemestrina ENSMNEG00000043040
theropithecus_gelada ENSTGEG00000024450
cercocebus_atys ENSCATG00000034739
chlorocebus_sabaeus ENSCSAG00000013038
mandrillus_leucophaeus ENSMLEG00000032505
piliocolobus_tephrosceles ENSPTEG00000034083
colobus_angolensis ENSCANG00000034570
saimiri_boliviensis ENSSBOG00000017326
cebus_capucinus ENSCCAG00000021286
callithrix_jacchus ENSCJAG00000042037
nomascus_leucogenys ENSNLEG00000012853
papio_anubis ENSPANG00000016687
rhinopithecus_roxellana ENSRROG00000035305
rhinopithecus_bieti ENSRBIG00000035649
aotus_nancymaae ENSANAG00000008429
vicugna_pacos ENSVPAG00000004556
equus_caballus ENSECAG00000023865
dasypus_novemcinctus ENSDNOG00000046234
cavia_aperea ENSCAPG00000007783
oryctolagus_cuniculus ENSOCUG00000014755
propithecus_coquereli ENSPCOG00000015463
capra_hircus ENSCHIG00000013602
anser_brachyrhynchus ENSABRG00000008748
cyanistes_caeruleus ENSCCEG00000007215
sorex_araneus ENSSARG00000006285
latimeria_chalumnae ENSLACG00000012184
callorhinchus_milii ENSCMIG00000018649
eptatretus_burgeri ENSEBUG00000007493
mola_mola ENSMMOG00000017423
drosophila_melanogaster FBgn0015790
