melopsittacus_undulatus ENSMUNG00000010614
spermophilus_dauricus ENSSDAG00000024031
ictidomys_tridecemlineatus ENSSTOG00000033164
marmota_marmota_marmota ENSMMMG00000021792
cavia_porcellus ENSCPOG00000030306
cavia_aperea ENSCAPG00000002853
chinchilla_lanigera ENSCLAG00000004984
heterocephalus_glaber_female ENSHGLG00000006053
heterocephalus_glaber_male ENSHGLG00100012048
fukomys_damarensis ENSFDAG00000009000
oryctolagus_cuniculus ENSOCUG00000023977
pan_troglodytes ENSPTRG00000033959
pan_paniscus ENSPPAG00000022203
homo_sapiens ENSG00000219626
homo_sapiens ENSG00000276087
gorilla_gorilla ENSGGOG00000014641
nomascus_leucogenys ENSNLEG00000000856
macaca_nemestrina ENSMNEG00000030342
macaca_mulatta ENSMMUG00000009406
macaca_fascicularis ENSMFAG00000031377
mandrillus_leucophaeus ENSMLEG00000034625
papio_anubis ENSPANG00000017003
theropithecus_gelada ENSTGEG00000019557
chlorocebus_sabaeus ENSCSAG00000008416
rhinopithecus_roxellana ENSRROG00000035188
rhinopithecus_bieti ENSRBIG00000037047
piliocolobus_tephrosceles ENSPTEG00000037212
colobus_angolensis_palliatus ENSCANG00000030666
cebus_capucinus ENSCCAG00000033095
callithrix_jacchus ENSCJAG00000007757
saimiri_boliviensis_boliviensis ENSSBOG00000021849
aotus_nancymaae ENSANAG00000021433
carlito_syrichta ENSTSYG00000000827
propithecus_coquereli ENSPCOG00000009235
prolemur_simus ENSPSMG00000017181
microcebus_murinus ENSMICG00000032483
loxodonta_africana ENSLAFG00000020782
procavia_capensis ENSPCAG00000016363
choloepus_hoffmanni ENSCHOG00000006925
dasypus_novemcinctus ENSDNOG00000043908
equus_asinus_asinus ENSEASG00005009998
equus_caballus ENSECAG00000014593
cricetulus_griseus_crigri-picr ENSCGRG00015026966
peromyscus_maniculatus_bairdii ENSPEMG00000026255
mesocricetus_auratus ENSMAUG00000019010
microtus_ochrogaster ENSMOCG00000003050
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018431
mus_spicilegus ENSMSIG00000000009
mus_musculus ENSMUSG00000079177
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017587
mus_pahari MGP_PahariEiJ_G0029345
rattus_norvegicus ENSRNOG00000050114
jaculus_jaculus ENSJJAG00000018793
ictidomys_tridecemlineatus ENSSTOG00000003159
marmota_marmota_marmota ENSMMMG00000021782
marmota_marmota_marmota ENSMMMG00000021173
spermophilus_dauricus ENSSDAG00000024028
chinchilla_lanigera ENSCLAG00000005849
oryctolagus_cuniculus ENSOCUG00000015258
ochotona_princeps ENSOPRG00000014125
pan_troglodytes ENSPTRG00000011712
pan_paniscus ENSPPAG00000025951
gorilla_gorilla ENSGGOG00000042882
homo_sapiens ENSG00000186453
pongo_abelii ENSPPYG00000012600
nomascus_leucogenys ENSNLEG00000000888
colobus_angolensis_palliatus ENSCANG00000033140
piliocolobus_tephrosceles ENSPTEG00000037175
rhinopithecus_roxellana ENSRROG00000035076
rhinopithecus_bieti ENSRBIG00000036877
macaca_mulatta ENSMMUG00000009407
macaca_nemestrina ENSMNEG00000012997
macaca_fascicularis ENSMFAG00000001199
mandrillus_leucophaeus ENSMLEG00000011620
theropithecus_gelada ENSTGEG00000019577
papio_anubis ENSPANG00000033119
chlorocebus_sabaeus ENSCSAG00000008425
callithrix_jacchus ENSCJAG00000007770
cebus_capucinus ENSCCAG00000029149
carlito_syrichta ENSTSYG00000000799
propithecus_coquereli ENSPCOG00000002187
microcebus_murinus ENSMICG00000001546
prolemur_simus ENSPSMG00000017171
otolemur_garnettii ENSOGAG00000028998
tupaia_belangeri ENSTBEG00000005516
ursus_maritimus ENSUMAG00000022822
ursus_americanus ENSUAMG00000025278
ailuropoda_melanoleuca ENSAMEG00000002768
felis_catus ENSFCAG00000037101
panthera_tigris_altaica ENSPTIG00000019797
tursiops_truncatus ENSTTRG00000013434
vicugna_pacos ENSVPAG00000005550
sus_scrofa ENSSSCG00000008582
bos_taurus ENSBTAG00000000261
bos_mutus ENSBMUG00000006172
bison_bison_bison ENSBBBG00000018716
ovis_aries ENSOARG00000017896
capra_hircus ENSCHIG00000012771
pteropus_vampyrus ENSPVAG00000011351
choloepus_hoffmanni ENSCHOG00000005381
dasypus_novemcinctus ENSDNOG00000000335
loxodonta_africana ENSLAFG00000000618
sarcophilus_harrisii ENSSHAG00000005047
phascolarctos_cinereus ENSPCIG00000022125
ornithorhynchus_anatinus ENSOANG00000011050
xenopus_tropicalis ENSXETG00000018202
latimeria_chalumnae ENSLACG00000012798
esox_lucius ENSELUG00000007344
seriola_lalandi_dorsalis ENSSLDG00000025366
pygocentrus_nattereri ENSPNAG00000002303
danio_rerio ENSDARG00000042936
ciona_savignyi ENSCSAVG00000010691
ciona_intestinalis ENSCING00000005792
