rhinopithecus_bieti ENSRBIG00000030242
rattus_norvegicus ENSRNOG00000056179
rattus_norvegicus ENSRNOG00000053228
rattus_norvegicus ENSRNOG00000060654
rattus_norvegicus ENSRNOG00000045682
mus_spicilegus ENSMSIG00000020312
mus_spicilegus ENSMSIG00000017341
mus_musculus ENSMUSG00000076535
rattus_norvegicus ENSRNOG00000046324
peromyscus_maniculatus ENSPEMG00000030096
cricetulus_griseus ENSCGRG00015003585
cricetulus_griseus ENSCGRG00015012542
cricetulus_griseus ENSCGRG00015011647
peromyscus_maniculatus ENSPEMG00000029254
peromyscus_maniculatus ENSPEMG00000030524
rattus_norvegicus ENSRNOG00000050066
rattus_norvegicus ENSRNOG00000049024
mus_spretus MGP_SPRETEiJ_G0000102
mus_musculus ENSMUSG00000076573
mus_spicilegus ENSMSIG00000008377
mus_caroli MGP_CAROLIEiJ_G0000077
peromyscus_maniculatus ENSPEMG00000030104
peromyscus_maniculatus ENSPEMG00000027270
peromyscus_maniculatus ENSPEMG00000028245
peromyscus_maniculatus ENSPEMG00000025600
peromyscus_maniculatus ENSPEMG00000025626
mus_musculus ENSMUSG00000096336
mus_spicilegus ENSMSIG00000002946
mus_musculus ENSMUSG00000094491
mus_spicilegus ENSMSIG00000019215
mus_spicilegus ENSMSIG00000019239
mus_musculus ENSMUSG00000076505
mus_spicilegus ENSMSIG00000019233
mus_musculus ENSMUSG00000096580
mus_spretus MGP_SPRETEiJ_G0000075
mus_spretus MGP_SPRETEiJ_G0000093
rattus_norvegicus ENSRNOG00000059176
rattus_norvegicus ENSRNOG00000053327
rattus_norvegicus ENSRNOG00000054428
rattus_norvegicus ENSRNOG00000061169
rattus_norvegicus ENSRNOG00000030177
rattus_norvegicus ENSRNOG00000059352
rattus_norvegicus ENSRNOG00000038376
rattus_norvegicus ENSRNOG00000054012
rattus_norvegicus ENSRNOG00000061407
rattus_norvegicus ENSRNOG00000059214
rattus_norvegicus ENSRNOG00000057963
rattus_norvegicus ENSRNOG00000059762
jaculus_jaculus ENSJJAG00000016984
jaculus_jaculus ENSJJAG00000017135
castor_canadensis ENSCCNG00000019887
mus_spicilegus ENSMSIG00000012508
mus_spicilegus ENSMSIG00000005438
peromyscus_maniculatus ENSPEMG00000030176
cricetulus_griseus ENSCGRG00015011596
castor_canadensis ENSCCNG00000021774
carlito_syrichta ENSTSYG00000028588
carlito_syrichta ENSTSYG00000026281
aotus_nancymaae ENSANAG00000036694
sorex_araneus ENSSARG00000007556
sorex_araneus ENSSARG00000013734
sorex_araneus ENSSARG00000003171
otolemur_garnettii ENSOGAG00000033208
aotus_nancymaae ENSANAG00000019683
panthera_pardus ENSPPRG00000006223
panthera_tigris ENSPTIG00000015720
panthera_tigris ENSPTIG00000019526
felis_catus ENSFCAG00000043953
felis_catus ENSFCAG00000043620
ursus_maritimus ENSUMAG00000008373
neovison_vison ENSNVIG00000017930
mustela_putorius ENSMPUG00000009445
mustela_putorius ENSMPUG00000009391
neovison_vison ENSNVIG00000007595
neovison_vison ENSNVIG00000018049
mustela_putorius ENSMPUG00000009411
neovison_vison ENSNVIG00000018208
mustela_putorius ENSMPUG00000009436
neovison_vison ENSNVIG00000018044
mustela_putorius ENSMPUG00000009442
mustela_putorius ENSMPUG00000009361
mustela_putorius ENSMPUG00000009424
neovison_vison ENSNVIG00000018180
neovison_vison ENSNVIG00000018199
mustela_putorius ENSMPUG00000018847
canis_lupus ENSCAFG00020016951
vulpes_vulpes ENSVVUG00000028709
ursus_maritimus ENSUMAG00000008337
ursus_maritimus ENSUMAG00000008313
ursus_maritimus ENSUMAG00000008338
ursus_americanus ENSUAMG00000026179
ursus_americanus ENSUAMG00000000543
ursus_maritimus ENSUMAG00000008380
ursus_maritimus ENSUMAG00000008378
ailuropoda_melanoleuca ENSAMEG00000010166
canis_lupus ENSCAFG00000047614
canis_lupus ENSCAFG00000049391
canis_lupus ENSCAFG00020016932
vulpes_vulpes ENSVVUG00000028717
canis_lupus ENSCAFG00000042668
canis_lupus ENSCAFG00000046921
canis_lupus ENSCAFG00020016922
canis_lupus ENSCAFG00000043564
canis_lupus ENSCAFG00000041882
canis_lupus ENSCAFG00000042584
canis_lupus ENSCAFG00020016924
canis_lupus ENSCAFG00000042663
canis_lupus ENSCAFG00020016929
canis_lupus ENSCAFG00000042778
canis_lupus ENSCAFG00000043200
canis_lupus ENSCAFG00000042397
canis_lupus ENSCAFG00000047982
canis_lupus ENSCAFG00020016930
canis_lupus ENSCAFG00000049138
canis_lupus ENSCAFG00000044081
canis_lupus ENSCAFG00020016926
canis_lupus ENSCAFG00000031121
canis_lupus ENSCAFG00000043563
vulpes_vulpes ENSVVUG00000028718
vulpes_vulpes ENSVVUG00000028720
vulpes_vulpes ENSVVUG00000028719
canis_lupus ENSCAFG00000045261
vulpes_vulpes ENSVVUG00000028707
canis_lupus ENSCAFG00000047572
canis_lupus ENSCAFG00020016936
canis_lupus ENSCAFG00020016925
canis_lupus ENSCAFG00000047583
canis_lupus ENSCAFG00020016927
canis_lupus ENSCAFG00000028583
canis_lupus ENSCAFG00000042234
canis_lupus ENSCAFG00000049667
canis_lupus ENSCAFG00000044414
canis_lupus ENSCAFG00020016937
canis_lupus ENSCAFG00000046135
vulpes_vulpes ENSVVUG00000028713
canis_lupus ENSCAFG00000047687
canis_lupus ENSCAFG00000046041
canis_lupus ENSCAFG00020016921
mustela_putorius ENSMPUG00000009488
neovison_vison ENSNVIG00000017921
ursus_americanus ENSUAMG00000026178
ursus_americanus ENSUAMG00000026176
ursus_maritimus ENSUMAG00000008376
ursus_americanus ENSUAMG00000011873
ursus_maritimus ENSUMAG00000008368
microcebus_murinus ENSMICG00000043516
propithecus_coquereli ENSPCOG00000020407
tupaia_belangeri ENSTBEG00000005347
equus_caballus ENSECAG00000037550
equus_asinus ENSEASG00005006558
equus_asinus ENSEASG00005006550
equus_caballus ENSECAG00000028513
equus_caballus ENSECAG00000033924
equus_asinus ENSEASG00005006551
bos_indicus ENSBIXG00000016237
bos_indicus ENSBIXG00005001531
bison_bison ENSBBBG00000004205
bison_bison ENSBBBG00000016966
bos_mutus ENSBMUG00000016942
capra_hircus ENSCHIG00000009419
capra_hircus ENSCHIG00000007247
ovis_aries ENSOARG00000020811
bos_indicus ENSBIXG00005001529
bison_bison ENSBBBG00000017008
capra_hircus ENSCHIG00000016512
spermophilus_dauricus ENSSDAG00000013473
spermophilus_dauricus ENSSDAG00000013947
urocitellus_parryii ENSUPAG00010023801
ictidomys_tridecemlineatus ENSSTOG00000013649
spermophilus_dauricus ENSSDAG00000016406
marmota_marmota ENSMMMG00000003505
marmota_marmota ENSMMMG00000021126
marmota_marmota ENSMMMG00000003234
spermophilus_dauricus ENSSDAG00000014989
urocitellus_parryii ENSUPAG00010023745
ictidomys_tridecemlineatus ENSSTOG00000004701
marmota_marmota ENSMMMG00000021151
urocitellus_parryii ENSUPAG00010010411
marmota_marmota ENSMMMG00000003698
urocitellus_parryii ENSUPAG00010010420
marmota_marmota ENSMMMG00000003689
urocitellus_parryii ENSUPAG00010010380
marmota_marmota ENSMMMG00000003656
spermophilus_dauricus ENSSDAG00000022824
ictidomys_tridecemlineatus ENSSTOG00000027883
spermophilus_dauricus ENSSDAG00000009327
spermophilus_dauricus ENSSDAG00000009346
urocitellus_parryii ENSUPAG00010007602
marmota_marmota ENSMMMG00000003483
marmota_marmota ENSMMMG00000007004
marmota_marmota ENSMMMG00000003679
spermophilus_dauricus ENSSDAG00000003833
urocitellus_parryii ENSUPAG00010010431
urocitellus_parryii ENSUPAG00010000378
ictidomys_tridecemlineatus ENSSTOG00000019524
spermophilus_dauricus ENSSDAG00000016685
urocitellus_parryii ENSUPAG00010000390
marmota_marmota ENSMMMG00000003670
spermophilus_dauricus ENSSDAG00000021843
urocitellus_parryii ENSUPAG00010010398
urocitellus_parryii ENSUPAG00010010433
ictidomys_tridecemlineatus ENSSTOG00000024756
urocitellus_parryii ENSUPAG00010015316
urocitellus_parryii ENSUPAG00010001794
spermophilus_dauricus ENSSDAG00000009354
urocitellus_parryii ENSUPAG00010000385
marmota_marmota ENSMMMG00000007012
spermophilus_dauricus ENSSDAG00000024703
spermophilus_dauricus ENSSDAG00000024704
marmota_marmota ENSMMMG00000006993
marmota_marmota ENSMMMG00000007026
marmota_marmota ENSMMMG00000003608
spermophilus_dauricus ENSSDAG00000018411
urocitellus_parryii ENSUPAG00010000248
urocitellus_parryii ENSUPAG00010007320
marmota_marmota ENSMMMG00000021139
marmota_marmota ENSMMMG00000003288
marmota_marmota ENSMMMG00000003148
marmota_marmota ENSMMMG00000021116
urocitellus_parryii ENSUPAG00010020129
fukomys_damarensis ENSFDAG00000016265
fukomys_damarensis ENSFDAG00000000596
loxodonta_africana ENSLAFG00000025966
loxodonta_africana ENSLAFG00000031044
loxodonta_africana ENSLAFG00000028068
loxodonta_africana ENSLAFG00000028137
echinops_telfairi ENSETEG00000010027
echinops_telfairi ENSETEG00000010627
echinops_telfairi ENSETEG00000015615
