cottoperca_gobio ENSCGOG00000003655
macaca_mulatta ENSMMUG00000017850
macaca_nemestrina ENSMNEG00000032508
papio_anubis ENSPANG00000019893
theropithecus_gelada ENSTGEG00000005350
mandrillus_leucophaeus ENSMLEG00000032757
cercocebus_atys ENSCATG00000029913
chlorocebus_sabaeus ENSCSAG00000011785
pan_troglodytes ENSPTRG00000020502
pan_paniscus ENSPPAG00000030770
homo_sapiens ENSG00000174429
gorilla_gorilla ENSGGOG00000016286
pongo_abelii ENSPPYG00000018816
nomascus_leucogenys ENSNLEG00000004053
cebus_capucinus ENSCCAG00000024449
saimiri_boliviensis ENSSBOG00000026553
callithrix_jacchus ENSCJAG00000040325
aotus_nancymaae ENSANAG00000027886
carlito_syrichta ENSTSYG00000010111
prolemur_simus ENSPSMG00000013031
microcebus_murinus ENSMICG00000042866
propithecus_coquereli ENSPCOG00000025480
otolemur_garnettii ENSOGAG00000013394
tupaia_belangeri ENSTBEG00000004936
ursus_maritimus ENSUMAG00000019994
ursus_americanus ENSUAMG00000019631
ailuropoda_melanoleuca ENSAMEG00000009310
neovison_vison ENSNVIG00000002004
mustela_putorius ENSMPUG00000005948
canis_lupus ENSCAFG00000000682
canis_lupus ENSCAFG00020003289
vulpes_vulpes ENSVVUG00000017135
panthera_pardus ENSPPRG00000013192
panthera_tigris ENSPTIG00000017155
felis_catus ENSFCAG00000036061
equus_caballus ENSECAG00000015998
equus_asinus ENSEASG00005001097
pteropus_vampyrus ENSPVAG00000012808
myotis_lucifugus ENSMLUG00000015207
bos_indicus ENSBIXG00000019145
bos_indicus ENSBIXG00005014885
bos_taurus ENSBTAG00000018352
bos_mutus ENSBMUG00000010499
bison_bison ENSBBBG00000013972
capra_hircus ENSCHIG00000024017
ovis_aries ENSOARG00000015208
tursiops_truncatus ENSTTRG00000016363
sus_scrofa ENSSSCG00000031728
dasypus_novemcinctus ENSDNOG00000045203
choloepus_hoffmanni ENSCHOG00000003951
loxodonta_africana ENSLAFG00000007362
procavia_capensis ENSPCAG00000006631
echinops_telfairi ENSETEG00000011777
heterocephalus_glaber ENSHGLG00000015448
heterocephalus_glaber ENSHGLG00100009778
fukomys_damarensis ENSFDAG00000001218
chinchilla_lanigera ENSCLAG00000006852
octodon_degus ENSODEG00000001137
cavia_aperea ENSCAPG00000011849
cavia_porcellus ENSCPOG00000026994
ornithorhynchus_anatinus ENSOANG00000008344
xenopus_tropicalis ENSXETG00000005742
latimeria_chalumnae ENSLACG00000013990
scleropages_formosus ENSSFOG00015009479
paramormyrops_kingsleyae ENSPKIG00000018974
astyanax_mexicanus ENSAMXG00000029693
astyanax_mexicanus ENSAMXG00005024380
pygocentrus_nattereri ENSPNAG00000024344
ictalurus_punctatus ENSIPUG00000015143
electrophorus_electricus ENSEEEG00000018556
danio_rerio ENSDARG00000033854
denticeps_clupeoides ENSDCDG00000034598
clupea_harengus ENSCHAG00000001737
amphiprion_ocellaris ENSAOCG00000005137
amphiprion_percula ENSAPEG00000019326
acanthochromis_polyacanthus ENSAPOG00000007334
stegastes_partitus ENSSPAG00000010032
parambassis_ranga ENSPRNG00000018061
gouania_willdenowi ENSGWIG00000013529
haplochromis_burtoni ENSHBUG00000023123
maylandia_zebra ENSMZEG00005026383
pundamilia_nyererei ENSPNYG00000017454
neolamprologus_brichardi ENSNBRG00000013138
oreochromis_niloticus ENSONIG00000013547
amphilophus_citrinellus ENSACIG00000013786
betta_splendens ENSBSLG00000018622
hippocampus_comes ENSHCOG00000014402
periophthalmus_magnuspinnatus ENSPMGG00000002275
seriola_dumerili ENSSDUG00000020425
seriola_lalandi ENSSLDG00000022201
lates_calcarifer ENSLCAG00010012994
larimichthys_crocea ENSLCRG00005010391
labrus_bergylta ENSLBEG00000022031
mola_mola ENSMMOG00000013390
scophthalmus_maximus ENSSMAG00000020430
cynoglossus_semilaevis ENSCSEG00000011033
fundulus_heteroclitus ENSFHEG00000008280
cyprinodon_variegatus ENSCVAG00000011497
xiphophorus_maculatus ENSXMAG00000023570
xiphophorus_couchianus ENSXCOG00000010596
gambusia_affinis ENSGAFG00000014862
poecilia_formosa ENSPFOG00000003389
poecilia_latipinna ENSPLAG00000002291
poecilia_mexicana ENSPMEG00000010909
poecilia_reticulata ENSPREG00000012967
kryptolebias_marmoratus ENSKMAG00000001948
oryzias_latipes ENSORLG00000024010
oryzias_latipes ENSORLG00015017261
oryzias_latipes ENSORLG00020010068
oryzias_melastigma ENSOMEG00000009089
mastacembelus_armatus ENSMAMG00000003455
monopterus_albus ENSMALG00000011097
anabas_testudineus ENSATEG00000007321
tetraodon_nigroviridis ENSTNIG00000017745
tetraodon_nigroviridis ENSTNIG00000017746
takifugu_rubripes ENSTRUG00000003433
hucho_hucho ENSHHUG00000031446
hucho_hucho ENSHHUG00000047637
esox_lucius ENSELUG00000005353
lepisosteus_oculatus ENSLOCG00000003192
erpetoichthys_calabaricus ENSECRG00000017432
callorhinchus_milii ENSCMIG00000013169
callorhinchus_milii ENSCMIG00000005409
petromyzon_marinus ENSPMAG00000010060
eptatretus_burgeri ENSEBUG00000012788
ciona_savignyi ENSCSAVG00000008633
