cricetulus_griseus_chok1gshd ENSCGRG00001021779
cyprinodon_variegatus ENSCVAG00000019290
poecilia_latipinna ENSPLAG00000004019
poecilia_formosa ENSPFOG00000017095
poecilia_reticulata ENSPREG00000006522
xiphophorus_maculatus ENSXMAG00000023379
xiphophorus_couchianus ENSXCOG00000001393
gambusia_affinis ENSGAFG00000002192
kryptolebias_marmoratus ENSKMAG00000009773
oryzias_melastigma ENSOMEG00000018352
maylandia_zebra ENSMZEG00005022577
pundamilia_nyererei ENSPNYG00000011208
astatotilapia_calliptera ENSACLG00000013971
haplochromis_burtoni ENSHBUG00000015849
oreochromis_niloticus ENSONIG00000003959
neolamprologus_brichardi ENSNBRG00000012501
amphilophus_citrinellus ENSACIG00000003087
stegastes_partitus ENSSPAG00000022141
anabas_testudineus ENSATEG00000008367
takifugu_rubripes ENSTRUG00000024918
tetraodon_nigroviridis ENSTNIG00000010400
mola_mola ENSMMOG00000018972
seriola_lalandi_dorsalis ENSSLDG00000019978
seriola_dumerili ENSSDUG00000015121
scophthalmus_maximus ENSSMAG00000001633
amphiprion_ocellaris ENSAOCG00000009324
amphiprion_percula ENSAPEG00000020345
acanthochromis_polyacanthus ENSAPOG00000018697
labrus_bergylta ENSLBEG00000005126
gasterosteus_aculeatus ENSGACG00000008880
hippocampus_comes ENSHCOG00000010283
mastacembelus_armatus ENSMAMG00000022845
monopterus_albus ENSMALG00000014111
periophthalmus_magnuspinnatus ENSPMGG00000009255
phascolarctos_cinereus ENSPCIG00000020971
sarcophilus_harrisii ENSSHAG00000008791
cyanistes_caeruleus ENSCCEG00000020143
parus_major ENSPMJG00000009419
ficedula_albicollis ENSFALG00000009930
junco_hyemalis ENSJHYG00000013951
manacus_vitellinus ENSMVIG00005005977
lepidothrix_coronata ENSLCOG00000008510
taeniopygia_guttata ENSTGUG00000003824
lonchura_striata_domestica ENSLSDG00000008470
serinus_canaria ENSSCAG00000004166
numida_meleagris ENSNMEG00000007564
coturnix_japonica ENSCJPG00005008172
anser_brachyrhynchus ENSABRG00000014439
melopsittacus_undulatus ENSMUNG00000016095
apteryx_owenii ENSAOWG00000015288
apteryx_rowi ENSARWG00000007104
apteryx_haastii ENSAHAG00000000418
nothoprocta_perdicaria ENSNPEG00000002235
dromaius_novaehollandiae ENSDNVG00000010218
anas_platyrhynchos_platyrhynchos ENSAPLG00000029978
calidris_pygmaea ENSCPGG00000012480
calidris_pugnax ENSCPUG00000013033
gallus_gallus ENSGALG00000023584
zonotrichia_albicollis ENSZALG00000006976
notechis_scutatus ENSNSUG00000011205
pelodiscus_sinensis ENSPSIG00000002290
chrysemys_picta_bellii ENSCPBG00000021338
crocodylus_porosus ENSCPRG00005011478
pogona_vitticeps ENSPVIG00000008275
anolis_carolinensis ENSACAG00000029616
salvator_merianae ENSSMRG00000010589
lepisosteus_oculatus ENSLOCG00000016048
chelonoidis_abingdonii ENSCABG00000006735
latimeria_chalumnae ENSLACG00000009329
meleagris_gallopavo ENSMGAG00000007775
scleropages_formosus ENSSFOG00015020441
pygocentrus_nattereri ENSPNAG00000015272
astyanax_mexicanus ENSAMXG00000038067
ictalurus_punctatus ENSIPUG00000011014
danio_rerio ENSDARG00000068100
maylandia_zebra ENSMZEG00005004879
haplochromis_burtoni ENSHBUG00000019427
oreochromis_niloticus ENSONIG00000009274
amphiprion_ocellaris ENSAOCG00000002788
amphiprion_percula ENSAPEG00000008559
acanthochromis_polyacanthus ENSAPOG00000012399
cyprinodon_variegatus ENSCVAG00000001419
xiphophorus_maculatus ENSXMAG00000023113
fundulus_heteroclitus ENSFHEG00000012079
kryptolebias_marmoratus ENSKMAG00000005166
anabas_testudineus ENSATEG00000004494
mola_mola ENSMMOG00000015127
labrus_bergylta ENSLBEG00000014017
monopterus_albus ENSMALG00000007865
astatotilapia_calliptera ENSACLG00000012423
periophthalmus_magnuspinnatus ENSPMGG00000000879
seriola_lalandi_dorsalis ENSSLDG00000004192
seriola_dumerili ENSSDUG00000002373
mastacembelus_armatus ENSMAMG00000013535
cynoglossus_semilaevis ENSCSEG00000005036
oryzias_latipes_asm223469v1 ENSORLG00015020289
oryzias_latipes ENSORLG00020006087
oryzias_latipes ENSORLG00000000403
oryzias_melastigma ENSOMEG00000016521
gasterosteus_aculeatus ENSGACG00000004910
hippocampus_comes ENSHCOG00000004007
pundamilia_nyererei ENSPNYG00000014286
maylandia_zebra ENSMZEG00005028426
neolamprologus_brichardi ENSNBRG00000020100
amphilophus_citrinellus ENSACIG00000014807
poecilia_reticulata ENSPREG00000011028
scophthalmus_maximus ENSSMAG00000007752
takifugu_rubripes ENSTRUG00000023464
tetraodon_nigroviridis ENSTNIG00000010887
esox_lucius ENSELUG00000005040
scleropages_formosus ENSSFOG00015017195
paramormyrops_kingsleyae ENSPKIG00000016235
lepisosteus_oculatus ENSLOCG00000011050
gopherus_agassizii ENSGAGG00000006177
chelonoidis_abingdonii ENSCABG00000007102
chrysemys_picta_bellii ENSCPBG00000007675
pelodiscus_sinensis ENSPSIG00000006910
crocodylus_porosus ENSCPRG00005003206
anolis_carolinensis ENSACAG00000028959
pogona_vitticeps ENSPVIG00000009960
notechis_scutatus ENSNSUG00000014576
notechis_scutatus ENSNSUG00000001472
salvator_merianae ENSSMRG00000021004
sphenodon_punctatus ENSSPUG00000010679
gadus_morhua ENSGMOG00000015126
eptatretus_burgeri ENSEBUG00000006851
