heterocephalus_glaber_female ENSHGLG00000003354
sorex_araneus ENSSARG00000004623
sorex_araneus ENSSARG00000011322
erinaceus_europaeus ENSEEUG00000010005
myotis_lucifugus ENSMLUG00000022961
myotis_lucifugus ENSMLUG00000023431
myotis_lucifugus ENSMLUG00000027994
myotis_lucifugus ENSMLUG00000022728
myotis_lucifugus ENSMLUG00000026656
myotis_lucifugus ENSMLUG00000009077
myotis_lucifugus ENSMLUG00000024324
myotis_lucifugus ENSMLUG00000029279
myotis_lucifugus ENSMLUG00000006560
oryctolagus_cuniculus ENSOCUG00000026803
oryctolagus_cuniculus ENSOCUG00000023556
ochotona_princeps ENSOPRG00000012757
ochotona_princeps ENSOPRG00000012767
echinops_telfairi ENSETEG00000002988
procavia_capensis ENSPCAG00000008971
echinops_telfairi ENSETEG00000003577
choloepus_hoffmanni ENSCHOG00000010749
choloepus_hoffmanni ENSCHOG00000008529
choloepus_hoffmanni ENSCHOG00000012781
choloepus_hoffmanni ENSCHOG00000010555
dasypus_novemcinctus ENSDNOG00000047348
dasypus_novemcinctus ENSDNOG00000038687
bos_mutus ENSBMUG00000000761
bos_taurus ENSBTAG00000015940
bison_bison_bison ENSBBBG00000018946
capra_hircus ENSCHIG00000018172
ovis_aries ENSOARG00000014805
sus_scrofa ENSSSCG00000013067
tupaia_belangeri ENSTBEG00000009746
tupaia_belangeri ENSTBEG00000013279
echinops_telfairi ENSETEG00000004766
