cricetulus_griseus_crigri ENSCGRG00000003641
oryzias_melastigma ENSOMEG00000014337
labrus_bergylta ENSLBEG00000021721
monopterus_albus ENSMALG00000002530
esox_lucius ENSELUG00000011195
scleropages_formosus ENSSFOG00015007145
astyanax_mexicanus ENSAMXG00000042762
pygocentrus_nattereri ENSPNAG00000016426
ictalurus_punctatus ENSIPUG00000013131
gadus_morhua ENSGMOG00000003663
periophthalmus_magnuspinnatus ENSPMGG00000022436
seriola_lalandi_dorsalis ENSSLDG00000001271
scophthalmus_maximus ENSSMAG00000004940
acanthochromis_polyacanthus ENSAPOG00000015697
amphilophus_citrinellus ENSACIG00000004286
mola_mola ENSMMOG00000005693
fundulus_heteroclitus ENSFHEG00000022154
cyprinodon_variegatus ENSCVAG00000022572
xiphophorus_maculatus ENSXMAG00000012158
oryzias_latipes ENSORLG00020015338
oryzias_latipes_asm223469v1 ENSORLG00015013880
oryzias_latipes ENSORLG00000025753
haplochromis_burtoni ENSHBUG00000006660
maylandia_zebra ENSMZEG00005007986
labrus_bergylta ENSLBEG00000020198
monopterus_albus ENSMALG00000007863
gasterosteus_aculeatus ENSGACG00000014859
anabas_testudineus ENSATEG00000004442
mastacembelus_armatus ENSMAMG00000021696
seriola_dumerili ENSSDUG00000021186
hippocampus_comes ENSHCOG00000009194
tetraodon_nigroviridis ENSTNIG00000014503
tetraodon_nigroviridis ENSTNIG00000014504
takifugu_rubripes ENSTRUG00000017323
stegastes_partitus ENSSPAG00000009847
amphiprion_percula ENSAPEG00000005306
oreochromis_niloticus ENSONIG00000012303
pundamilia_nyererei ENSPNYG00000015558
neolamprologus_brichardi ENSNBRG00000006660
poecilia_formosa ENSPFOG00000007177
poecilia_latipinna ENSPLAG00000013175
poecilia_mexicana ENSPMEG00000006386
gambusia_affinis ENSGAFG00000004662
kryptolebias_marmoratus ENSKMAG00000011283
oryzias_melastigma ENSOMEG00000008408
xiphophorus_couchianus ENSXCOG00000020280
poecilia_reticulata ENSPREG00000011119
maylandia_zebra ENSMZEG00005008003
neolamprologus_brichardi ENSNBRG00000000974
amphiprion_ocellaris ENSAOCG00000014992
amphilophus_citrinellus ENSACIG00000004280
mola_mola ENSMMOG00000005695
periophthalmus_magnuspinnatus ENSPMGG00000014235
mus_spicilegus ENSMSIG00000002312
eptatretus_burgeri ENSEBUG00000007647
eptatretus_burgeri ENSEBUG00000010842
xenopus_tropicalis ENSXETG00000008069
esox_lucius ENSELUG00000003618
scleropages_formosus ENSSFOG00015021869
ciona_intestinalis ENSCING00000004107
