lonchura_striata ENSLSDG00000013152
panthera_tigris ENSPTIG00000012818
felis_catus ENSFCAG00000013197
pteropus_vampyrus ENSPVAG00000007093
myotis_lucifugus ENSMLUG00000014717
equus_caballus ENSECAG00000024958
equus_asinus ENSEASG00005002860
loxodonta_africana ENSLAFG00000008790
procavia_capensis ENSPCAG00000007420
echinops_telfairi ENSETEG00000019780
dasypus_novemcinctus ENSDNOG00000012761
phascolarctos_cinereus ENSPCIG00000006136
vombatus_ursinus ENSVURG00010007742
notamacropus_eugenii ENSMEUG00000000557
sarcophilus_harrisii ENSSHAG00000009803
monodelphis_domestica ENSMODG00000004225
gadus_morhua ENSGMOG00000012897
ornithorhynchus_anatinus ENSOANG00000028311
xenopus_tropicalis ENSXETG00000015620
latimeria_chalumnae ENSLACG00000005985
denticeps_clupeoides ENSDCDG00000004225
clupea_harengus ENSCHAG00000015969
astyanax_mexicanus ENSAMXG00000000548
astyanax_mexicanus ENSAMXG00005008922
pygocentrus_nattereri ENSPNAG00000024960
electrophorus_electricus ENSEEEG00000021281
ictalurus_punctatus ENSIPUG00000009364
danio_rerio ENSDARG00000052330
cottoperca_gobio ENSCGOG00000022017
gasterosteus_aculeatus ENSGACG00000004664
labrus_bergylta ENSLBEG00000012874
takifugu_rubripes ENSTRUG00000010602
tetraodon_nigroviridis ENSTNIG00000017145
mola_mola ENSMMOG00000004208
larimichthys_crocea ENSLCRG00005017301
amphiprion_ocellaris ENSAOCG00000017014
amphiprion_percula ENSAPEG00000012059
acanthochromis_polyacanthus ENSAPOG00000017003
stegastes_partitus ENSSPAG00000012358
parambassis_ranga ENSPRNG00000009029
maylandia_zebra ENSMZEG00005018443
astatotilapia_calliptera ENSACLG00000004023
pundamilia_nyererei ENSPNYG00000002382
haplochromis_burtoni ENSHBUG00000015231
oreochromis_niloticus ENSONIG00000006209
neolamprologus_brichardi ENSNBRG00000013268
amphilophus_citrinellus ENSACIG00000021326
fundulus_heteroclitus ENSFHEG00000000432
cyprinodon_variegatus ENSCVAG00000017807
xiphophorus_maculatus ENSXMAG00000001894
xiphophorus_couchianus ENSXCOG00000012326
gambusia_affinis ENSGAFG00000021045
poecilia_formosa ENSPFOG00000012046
poecilia_mexicana ENSPMEG00000015500
poecilia_latipinna ENSPLAG00000000473
poecilia_reticulata ENSPREG00000005968
kryptolebias_marmoratus ENSKMAG00000016571
oryzias_latipes ENSORLG00020007572
oryzias_latipes ENSORLG00000012164
oryzias_latipes ENSORLG00015007864
oryzias_melastigma ENSOMEG00000001716
gouania_willdenowi ENSGWIG00000025792
seriola_dumerili ENSSDUG00000009824
seriola_lalandi ENSSLDG00000023917
scophthalmus_maximus ENSSMAG00000015744
lates_calcarifer ENSLCAG00010022184
lates_calcarifer ENSLCAG00010022191
lates_calcarifer ENSLCAG00010027540
monopterus_albus ENSMALG00000017613
mastacembelus_armatus ENSMAMG00000010293
anabas_testudineus ENSATEG00000001881
cynoglossus_semilaevis ENSCSEG00000019871
betta_splendens ENSBSLG00000014467
periophthalmus_magnuspinnatus ENSPMGG00000013724
hippocampus_comes ENSHCOG00000008805
gadus_morhua ENSGMOG00000006300
hucho_hucho ENSHHUG00000030175
hucho_hucho ENSHHUG00000033794
esox_lucius ENSELUG00000007056
paramormyrops_kingsleyae ENSPKIG00000016349
scleropages_formosus ENSSFOG00015019490
denticeps_clupeoides ENSDCDG00000017277
clupea_harengus ENSCHAG00000017259
astyanax_mexicanus ENSAMXG00005015271
astyanax_mexicanus ENSAMXG00000012634
pygocentrus_nattereri ENSPNAG00000020424
pygocentrus_nattereri ENSPNAG00000020497
ictalurus_punctatus ENSIPUG00000002664
electrophorus_electricus ENSEEEG00000014918
danio_rerio ENSDARG00000028173
hucho_hucho ENSHHUG00000040378
hucho_hucho ENSHHUG00000050261
esox_lucius ENSELUG00000017238
scleropages_formosus ENSSFOG00015019548
paramormyrops_kingsleyae ENSPKIG00000008435
gouania_willdenowi ENSGWIG00000001860
gouania_willdenowi ENSGWIG00000001844
gouania_willdenowi ENSGWIG00000001895
fundulus_heteroclitus ENSFHEG00000022209
cynoglossus_semilaevis ENSCSEG00000014682
gasterosteus_aculeatus ENSGACG00000001526
gasterosteus_aculeatus ENSGACG00000001525
mola_mola ENSMMOG00000018037
xiphophorus_maculatus ENSXMAG00000007732
xiphophorus_couchianus ENSXCOG00000000767
gambusia_affinis ENSGAFG00000018924
poecilia_formosa ENSPFOG00000010347
poecilia_latipinna ENSPLAG00000003325
poecilia_mexicana ENSPMEG00000001427
poecilia_reticulata ENSPREG00000001344
cyprinodon_variegatus ENSCVAG00000011456
kryptolebias_marmoratus ENSKMAG00000002760
oryzias_latipes ENSORLG00000006900
oryzias_latipes ENSORLG00020018589
oryzias_latipes ENSORLG00015017192
oryzias_melastigma ENSOMEG00000021761
stegastes_partitus ENSSPAG00000008341
acanthochromis_polyacanthus ENSAPOG00000000941
amphiprion_ocellaris ENSAOCG00000011533
mastacembelus_armatus ENSMAMG00000019259
seriola_dumerili ENSSDUG00000006344
seriola_lalandi ENSSLDG00000005976
lates_calcarifer ENSLCAG00010005081
larimichthys_crocea ENSLCRG00005004880
monopterus_albus ENSMALG00000009804
amphiprion_percula ENSAPEG00000001499
anabas_testudineus ENSATEG00000005280
anabas_testudineus ENSATEG00000005256
anabas_testudineus ENSATEG00000005351
labrus_bergylta ENSLBEG00000027289
labrus_bergylta ENSLBEG00000004886
haplochromis_burtoni ENSHBUG00000009773
haplochromis_burtoni ENSHBUG00000009793
pundamilia_nyererei ENSPNYG00000003654
astatotilapia_calliptera ENSACLG00000016684
maylandia_zebra ENSMZEG00005019359
neolamprologus_brichardi ENSNBRG00000001993
neolamprologus_brichardi ENSNBRG00000017037
oreochromis_niloticus ENSONIG00000014050
amphilophus_citrinellus ENSACIG00000018566
periophthalmus_magnuspinnatus ENSPMGG00000003686
hippocampus_comes ENSHCOG00000015481
lepisosteus_oculatus ENSLOCG00000010245
erpetoichthys_calabaricus ENSECRG00000005845
callorhinchus_milii ENSCMIG00000017748
petromyzon_marinus ENSPMAG00000006912
petromyzon_marinus ENSPMAG00000002796
eptatretus_burgeri ENSEBUG00000005179
