equus_asinus ENSEASG00005009353
pogona_vitticeps ENSPVIG00000023026
notechis_scutatus ENSNSUG00000004515
salvator_merianae ENSSMRG00000012048
sphenodon_punctatus ENSSPUG00000009578
lonchura_striata ENSLSDG00000016000
taeniopygia_guttata ENSTGUG00000011813
ficedula_albicollis ENSFALG00000011423
calidris_pygmaea ENSCPGG00000012888
calidris_pugnax ENSCPUG00000017785
anser_brachyrhynchus ENSABRG00000007965
anas_platyrhynchos ENSAPLG00000026000
coturnix_japonica ENSCJPG00005009159
meleagris_gallopavo ENSMGAG00000013289
melopsittacus_undulatus ENSMUNG00000012669
lepidothrix_coronata ENSLCOG00000016230
junco_hyemalis ENSJHYG00000016539
gallus_gallus ENSGALG00000014848
apteryx_owenii ENSAOWG00000006639
apteryx_haastii ENSAHAG00000006171
nothoprocta_perdicaria ENSNPEG00000013727
numida_meleagris ENSNMEG00000022107
apteryx_rowi ENSARWG00000016993
crocodylus_porosus ENSCPRG00005004917
pelodiscus_sinensis ENSPSIG00000013118
gopherus_agassizii ENSGAGG00000013022
parus_major ENSPMJG00000013746
cyanistes_caeruleus ENSCCEG00000015051
zonotrichia_albicollis ENSZALG00000016147
serinus_canaria ENSSCAG00000014209
manacus_vitellinus ENSMVIG00005017811
dromaius_novaehollandiae ENSDNVG00000000183
chelonoidis_abingdonii ENSCABG00000013320
sarcophilus_harrisii ENSSHAG00000010295
lepisosteus_oculatus ENSLOCG00000017262
paramormyrops_kingsleyae ENSPKIG00000013171
scleropages_formosus ENSSFOG00015017625
hucho_hucho ENSHHUG00000006866
esox_lucius ENSELUG00000020548
mastacembelus_armatus ENSMAMG00000019378
monopterus_albus ENSMALG00000005971
betta_splendens ENSBSLG00000024783
cynoglossus_semilaevis ENSCSEG00000004469
seriola_lalandi ENSSLDG00000007622
seriola_dumerili ENSSDUG00000003797
anabas_testudineus ENSATEG00000022846
amphiprion_percula ENSAPEG00000013453
amphiprion_ocellaris ENSAOCG00000018494
acanthochromis_polyacanthus ENSAPOG00000018467
stegastes_partitus ENSSPAG00000022392
maylandia_zebra ENSMZEG00005006392
haplochromis_burtoni ENSHBUG00000018084
pundamilia_nyererei ENSPNYG00000024105
neolamprologus_brichardi ENSNBRG00000009640
oreochromis_niloticus ENSONIG00000020203
amphilophus_citrinellus ENSACIG00000003756
mola_mola ENSMMOG00000015808
tetraodon_nigroviridis ENSTNIG00000004202
takifugu_rubripes ENSTRUG00000002846
labrus_bergylta ENSLBEG00000010087
scophthalmus_maximus ENSSMAG00000005602
poecilia_mexicana ENSPMEG00000024078
poecilia_formosa ENSPFOG00000022636
poecilia_latipinna ENSPLAG00000010773
poecilia_reticulata ENSPREG00000018473
xiphophorus_maculatus ENSXMAG00000005306
xiphophorus_couchianus ENSXCOG00000019111
gambusia_affinis ENSGAFG00000006525
cyprinodon_variegatus ENSCVAG00000020595
kryptolebias_marmoratus ENSKMAG00000012585
astyanax_mexicanus ENSAMXG00000034208
astyanax_mexicanus ENSAMXG00005019652
pygocentrus_nattereri ENSPNAG00000027745
ictalurus_punctatus ENSIPUG00000005277
electrophorus_electricus ENSEEEG00000017535
danio_rerio ENSDARG00000041779
denticeps_clupeoides ENSDCDG00000033304
clupea_harengus ENSCHAG00000000493
xiphophorus_maculatus ENSXMAG00000007156
gambusia_affinis ENSGAFG00000005577
poecilia_mexicana ENSPMEG00000006606
poecilia_formosa ENSPFOG00000010530
poecilia_reticulata ENSPREG00000012640
cyprinodon_variegatus ENSCVAG00000003984
kryptolebias_marmoratus ENSKMAG00000018376
oryzias_latipes ENSORLG00015020706
oryzias_latipes ENSORLG00000026510
monopterus_albus ENSMALG00000021483
labrus_bergylta ENSLBEG00000007981
cottoperca_gobio ENSCGOG00000014688
amphiprion_ocellaris ENSAOCG00000009338
amphiprion_percula ENSAPEG00000005896
acanthochromis_polyacanthus ENSAPOG00000002315
stegastes_partitus ENSSPAG00000007067
cynoglossus_semilaevis ENSCSEG00000019384
seriola_lalandi ENSSLDG00000025504
scophthalmus_maximus ENSSMAG00000008654
mastacembelus_armatus ENSMAMG00000014938
anabas_testudineus ENSATEG00000002399
larimichthys_crocea ENSLCRG00005015107
parambassis_ranga ENSPRNG00000003006
maylandia_zebra ENSMZEG00005013236
astatotilapia_calliptera ENSACLG00000007733
haplochromis_burtoni ENSHBUG00000015250
pundamilia_nyererei ENSPNYG00000004008
oreochromis_niloticus ENSONIG00000000678
neolamprologus_brichardi ENSNBRG00000022742
gouania_willdenowi ENSGWIG00000024347
mola_mola ENSMMOG00000015181
poecilia_latipinna ENSPLAG00000007096
fundulus_heteroclitus ENSFHEG00000018843
seriola_dumerili ENSSDUG00000010958
tetraodon_nigroviridis ENSTNIG00000010945
takifugu_rubripes ENSTRUG00000019668
lates_calcarifer ENSLCAG00010018122
oryzias_latipes ENSORLG00020002251
danio_rerio ENSDARG00000057903
xenopus_tropicalis ENSXETG00000010923
erpetoichthys_calabaricus ENSECRG00000005493
callorhinchus_milii ENSCMIG00000011732
