otolemur_garnettii ENSOGAG00000004991
capra_hircus ENSCHIG00000024361
ursus_americanus ENSUAMG00000027204
chlorocebus_sabaeus ENSCSAG00000005524
macaca_mulatta ENSMMUG00000013737
oryctolagus_cuniculus ENSOCUG00000002345
ochotona_princeps ENSOPRG00000012069
castor_canadensis ENSCCNG00000014945
tursiops_truncatus ENSTTRG00000001682
vicugna_pacos ENSVPAG00000008163
sus_scrofa ENSSSCG00000023169
myotis_lucifugus ENSMLUG00000016229
pteropus_vampyrus ENSPVAG00000013905
bos_taurus ENSBTAG00000034681
bos_mutus ENSBMUG00000015384
bison_bison_bison ENSBBBG00000001978
erinaceus_europaeus ENSEEUG00000001027
dasypus_novemcinctus ENSDNOG00000033523
choloepus_hoffmanni ENSCHOG00000009007
loxodonta_africana ENSLAFG00000015886
procavia_capensis ENSPCAG00000002030
notamacropus_eugenii ENSMEUG00000012847
phascolarctos_cinereus ENSPCIG00000000719
sarcophilus_harrisii ENSSHAG00000011074
monodelphis_domestica ENSMODG00000012548
xenopus_tropicalis ENSXETG00000001296
anolis_carolinensis ENSACAG00000017362
pogona_vitticeps ENSPVIG00000001387
notechis_scutatus ENSNSUG00000009644
salvator_merianae ENSSMRG00000021629
sphenodon_punctatus ENSSPUG00000006438
anser_brachyrhynchus ENSABRG00000006739
anas_platyrhynchos_platyrhynchos ENSAPLG00000003762
meleagris_gallopavo ENSMGAG00000008447
coturnix_japonica ENSCJPG00005021416
gallus_gallus ENSGALG00000002993
numida_meleagris ENSNMEG00000006686
calidris_pugnax ENSCPUG00000001952
calidris_pygmaea ENSCPGG00000001100
manacus_vitellinus ENSMVIG00005011257
lepidothrix_coronata ENSLCOG00000001072
lonchura_striata_domestica ENSLSDG00000015195
taeniopygia_guttata ENSTGUG00000009427
taeniopygia_guttata ENSTGUG00000015789
serinus_canaria ENSSCAG00000014414
junco_hyemalis ENSJHYG00000012911
zonotrichia_albicollis ENSZALG00000015118
cyanistes_caeruleus ENSCCEG00000016839
parus_major ENSPMJG00000018097
ficedula_albicollis ENSFALG00000000813
melopsittacus_undulatus ENSMUNG00000000569
apteryx_haastii ENSAHAG00000010833
apteryx_rowi ENSARWG00000008032
nothoprocta_perdicaria ENSNPEG00000004091
dromaius_novaehollandiae ENSDNVG00000011563
crocodylus_porosus ENSCPRG00005002222
chelonoidis_abingdonii ENSCABG00000011816
gopherus_agassizii ENSGAGG00000008695
chrysemys_picta_bellii ENSCPBG00000000583
pelodiscus_sinensis ENSPSIG00000014709
latimeria_chalumnae ENSLACG00000009476
ornithorhynchus_anatinus ENSOANG00000002282
cyprinodon_variegatus ENSCVAG00000014562
fundulus_heteroclitus ENSFHEG00000019155
poecilia_formosa ENSPFOG00000006428
poecilia_latipinna ENSPLAG00000019975
poecilia_mexicana ENSPMEG00000017126
poecilia_reticulata ENSPREG00000017244
xiphophorus_couchianus ENSXCOG00000003203
xiphophorus_maculatus ENSXMAG00000016604
gambusia_affinis ENSGAFG00000014748
kryptolebias_marmoratus ENSKMAG00000010347
mastacembelus_armatus ENSMAMG00000020268
tetraodon_nigroviridis ENSTNIG00000006082
amphiprion_ocellaris ENSAOCG00000005869
amphiprion_percula ENSAPEG00000018251
stegastes_partitus ENSSPAG00000000770
maylandia_zebra ENSMZEG00005003382
haplochromis_burtoni ENSHBUG00000018085
pundamilia_nyererei ENSPNYG00000009045
neolamprologus_brichardi ENSNBRG00000023851
astatotilapia_calliptera ENSACLG00000024981
oreochromis_niloticus ENSONIG00000019505
amphilophus_citrinellus ENSACIG00000023174
monopterus_albus ENSMALG00000015802
mola_mola ENSMMOG00000000721
hippocampus_comes ENSHCOG00000009575
cynoglossus_semilaevis ENSCSEG00000002861
anabas_testudineus ENSATEG00000023844
labrus_bergylta ENSLBEG00000027462
seriola_dumerili ENSSDUG00000013318
seriola_lalandi_dorsalis ENSSLDG00000003855
scophthalmus_maximus ENSSMAG00000001668
oryzias_latipes ENSORLG00000024235
oryzias_latipes_asm223469v1 ENSORLG00015013755
oryzias_latipes ENSORLG00020015953
oryzias_melastigma ENSOMEG00000015201
gasterosteus_aculeatus ENSGACG00000015243
gadus_morhua ENSGMOG00000013917
takifugu_rubripes ENSTRUG00000003350
tetraodon_nigroviridis ENSTNIG00000019532
acanthochromis_polyacanthus ENSAPOG00000017026
esox_lucius ENSELUG00000024623
ictalurus_punctatus ENSIPUG00000003818
pygocentrus_nattereri ENSPNAG00000010679
danio_rerio ENSDARG00000052644
scleropages_formosus ENSSFOG00015000949
paramormyrops_kingsleyae ENSPKIG00000011067
astatotilapia_calliptera ENSACLG00000004962
haplochromis_burtoni ENSHBUG00000020616
maylandia_zebra ENSMZEG00005000607
pundamilia_nyererei ENSPNYG00000022387
neolamprologus_brichardi ENSNBRG00000008485
oreochromis_niloticus ENSONIG00000006280
amphilophus_citrinellus ENSACIG00000020958
poecilia_formosa ENSPFOG00000016248
poecilia_latipinna ENSPLAG00000016401
poecilia_reticulata ENSPREG00000007889
xiphophorus_maculatus ENSXMAG00000008389
xiphophorus_couchianus ENSXCOG00000010766
poecilia_mexicana ENSPMEG00000022149
poecilia_formosa ENSPFOG00000019558
poecilia_mexicana ENSPMEG00000009631
poecilia_latipinna ENSPLAG00000012566
xiphophorus_couchianus ENSXCOG00000012042
gambusia_affinis ENSGAFG00000005856
fundulus_heteroclitus ENSFHEG00000008890
cyprinodon_variegatus ENSCVAG00000011068
monopterus_albus ENSMALG00000002201
anabas_testudineus ENSATEG00000008832
labrus_bergylta ENSLBEG00000009814
periophthalmus_magnuspinnatus ENSPMGG00000005105
cynoglossus_semilaevis ENSCSEG00000013864
tetraodon_nigroviridis ENSTNIG00000005272
tetraodon_nigroviridis ENSTNIG00000014012
takifugu_rubripes ENSTRUG00000012987
mola_mola ENSMMOG00000006758
gasterosteus_aculeatus ENSGACG00000000484
amphiprion_ocellaris ENSAOCG00000003288
amphiprion_percula ENSAPEG00000020965
acanthochromis_polyacanthus ENSAPOG00000003769
stegastes_partitus ENSSPAG00000019601
seriola_lalandi_dorsalis ENSSLDG00000011164
seriola_dumerili ENSSDUG00000023325
scophthalmus_maximus ENSSMAG00000016903
periophthalmus_magnuspinnatus ENSPMGG00000005106
gadus_morhua ENSGMOG00000009194
esox_lucius ENSELUG00000006534
pygocentrus_nattereri ENSPNAG00000009493
astyanax_mexicanus ENSAMXG00000001310
ictalurus_punctatus ENSIPUG00000000565
danio_rerio ENSDARG00000009568
lepisosteus_oculatus ENSLOCG00000011070
ovis_aries ENSOARG00000004091
petromyzon_marinus ENSPMAG00000003164
eptatretus_burgeri ENSEBUG00000004863
petromyzon_marinus ENSPMAG00000005773
petromyzon_marinus ENSPMAG00000008990
eptatretus_burgeri ENSEBUG00000004805
