neolamprologus_brichardi ENSNBRG00000012679
sarcophilus_harrisii ENSSHAG00000000302
gopherus_agassizii ENSGAGG00000004839
gopherus_agassizii ENSGAGG00000001685
gopherus_agassizii ENSGAGG00000002268
gopherus_agassizii ENSGAGG00000002259
gopherus_agassizii ENSGAGG00000002984
gopherus_agassizii ENSGAGG00000010376
apteryx_owenii ENSAOWG00000017336
ciona_savignyi ENSCSAVG00000006484
loxodonta_africana ENSLAFG00000002184
procavia_capensis ENSPCAG00000004501
echinops_telfairi ENSETEG00000016881
choloepus_hoffmanni ENSCHOG00000004639
dasypus_novemcinctus ENSDNOG00000019774
chinchilla_lanigera ENSCLAG00000001434
octodon_degus ENSODEG00000004312
cavia_aperea ENSCAPG00000014287
dipodomys_ordii ENSDORG00000025458
microtus_ochrogaster ENSMOCG00000008757
peromyscus_maniculatus_bairdii ENSPEMG00000012756
cricetulus_griseus_crigri ENSCGRG00000016885
cricetulus_griseus_crigri-picr ENSCGRG00015000590
cricetulus_griseus_chok1gshd ENSCGRG00001016459
cricetulus_griseus_chok1gshd ENSCGRG00001017507
mus_spicilegus ENSMSIG00000028399
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019389
mus_musculus ENSMUSG00000021392
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018509
mus_pahari MGP_PahariEiJ_G0019575
rattus_norvegicus ENSRNOG00000046968
rattus_norvegicus ENSRNOG00000045569
meriones_unguiculatus ENSMUGG00000020770
mesocricetus_auratus ENSMAUG00000008173
cavia_porcellus ENSCPOG00000027360
cavia_porcellus ENSCPOG00000031767
heterocephalus_glaber_male ENSHGLG00100002570
heterocephalus_glaber_male ENSHGLG00100012858
heterocephalus_glaber_female ENSHGLG00000001400
heterocephalus_glaber_male ENSHGLG00100012643
heterocephalus_glaber_female ENSHGLG00000010060
fukomys_damarensis ENSFDAG00000016216
jaculus_jaculus ENSJJAG00000011518
castor_canadensis ENSCCNG00000013960
ictidomys_tridecemlineatus ENSSTOG00000015195
urocitellus_parryii ENSUPAG00010007466
spermophilus_dauricus ENSSDAG00000019060
marmota_marmota_marmota ENSMMMG00000006239
oryctolagus_cuniculus ENSOCUG00000008053
ochotona_princeps ENSOPRG00000003268
tupaia_belangeri ENSTBEG00000014187
theropithecus_gelada ENSTGEG00000002459
mandrillus_leucophaeus ENSMLEG00000037641
papio_anubis ENSPANG00000024725
cercocebus_atys ENSCATG00000035530
macaca_fascicularis ENSMFAG00000034500
macaca_mulatta ENSMMUG00000004629
macaca_nemestrina ENSMNEG00000036927
chlorocebus_sabaeus ENSCSAG00000007235
piliocolobus_tephrosceles ENSPTEG00000017025
colobus_angolensis_palliatus ENSCANG00000033400
rhinopithecus_roxellana ENSRROG00000043673
rhinopithecus_bieti ENSRBIG00000036444
pan_troglodytes ENSPTRG00000021109
pan_paniscus ENSPPAG00000002204
homo_sapiens ENSG00000198000
pongo_abelii ENSPPYG00000019375
nomascus_leucogenys ENSNLEG00000016357
gorilla_gorilla ENSGGOG00000025612
colobus_angolensis_palliatus ENSCANG00000036226
colobus_angolensis_palliatus ENSCANG00000007712
macaca_fascicularis ENSMFAG00000031716
macaca_mulatta ENSMMUG00000039189
macaca_nemestrina ENSMNEG00000005430
mandrillus_leucophaeus ENSMLEG00000035584
papio_anubis ENSPANG00000031553
rhinopithecus_bieti ENSRBIG00000011855
rhinopithecus_roxellana ENSRROG00000033368
colobus_angolensis_palliatus ENSCANG00000032736
cercocebus_atys ENSCATG00000038353
theropithecus_gelada ENSTGEG00000019567
papio_anubis ENSPANG00000033194
piliocolobus_tephrosceles ENSPTEG00000000177
pan_paniscus ENSPPAG00000032897
pan_troglodytes ENSPTRG00000044749
gorilla_gorilla ENSGGOG00000023838
nomascus_leucogenys ENSNLEG00000028854
saimiri_boliviensis_boliviensis ENSSBOG00000024228
callithrix_jacchus ENSCJAG00000039875
cebus_capucinus ENSCCAG00000026399
aotus_nancymaae ENSANAG00000033271
carlito_syrichta ENSTSYG00000006661
propithecus_coquereli ENSPCOG00000020573
propithecus_coquereli ENSPCOG00000014335
microcebus_murinus ENSMICG00000014322
prolemur_simus ENSPSMG00000009852
otolemur_garnettii ENSOGAG00000015009
nannospalax_galili ENSNGAG00000021592
pteropus_vampyrus ENSPVAG00000010582
myotis_lucifugus ENSMLUG00000015204
capra_hircus ENSCHIG00000023837
ovis_aries ENSOARG00000008299
bos_taurus ENSBTAG00000018613
bos_mutus ENSBMUG00000009001
bison_bison_bison ENSBBBG00000007305
sus_scrofa ENSSSCG00000008069
tursiops_truncatus ENSTTRG00000008244
erinaceus_europaeus ENSEEUG00000013381
sorex_araneus ENSSARG00000010607
ursus_maritimus ENSUMAG00000015496
ursus_americanus ENSUAMG00000013803
ailuropoda_melanoleuca ENSAMEG00000013488
neovison_vison ENSNVIG00000016815
mustela_putorius_furo ENSMPUG00000004748
canis_lupus_dingo ENSCAFG00020009514
canis_lupus_familiaris ENSCAFG00000002324
vulpes_vulpes ENSVVUG00000005127
panthera_tigris_altaica ENSPTIG00000015402
panthera_pardus ENSPPRG00000008693
felis_catus ENSFCAG00000000818
equus_asinus_asinus ENSEASG00005013182
equus_caballus ENSECAG00000022362
phascolarctos_cinereus ENSPCIG00000010446
notamacropus_eugenii ENSMEUG00000011714
sarcophilus_harrisii ENSSHAG00000014555
monodelphis_domestica ENSMODG00000020877
ornithorhynchus_anatinus ENSOANG00000015102
eptatretus_burgeri ENSEBUG00000004875
drosophila_melanogaster FBgn0031062
