cottoperca_gobio ENSCGOG00000005500
pan_troglodytes ENSPTRG00000020379
pan_paniscus ENSPPAG00000041976
homo_sapiens ENSG00000164695
pongo_abelii ENSPPYG00000018708
gorilla_gorilla ENSGGOG00000016672
nomascus_leucogenys ENSNLEG00000002649
saimiri_boliviensis ENSSBOG00000021020
cebus_capucinus ENSCCAG00000025330
callithrix_jacchus ENSCJAG00000000415
aotus_nancymaae ENSANAG00000025274
carlito_syrichta ENSTSYG00000013549
tupaia_belangeri ENSTBEG00000002853
castor_canadensis ENSCCNG00000018803
dipodomys_ordii ENSDORG00000025589
mus_caroli MGP_CAROLIEiJ_G0024848
mus_musculus ENSMUSG00000027536
mus_spicilegus ENSMSIG00000016426
mus_spretus MGP_SPRETEiJ_G0025778
mus_pahari MGP_PahariEiJ_G0026296
rattus_norvegicus ENSRNOG00000010238
meriones_unguiculatus ENSMUGG00000019645
peromyscus_maniculatus ENSPEMG00000001431
microtus_ochrogaster ENSMOCG00000017950
cricetulus_griseus ENSCGRG00015018013
cricetulus_griseus ENSCGRG00000016020
cricetulus_griseus ENSCGRG00001016277
mesocricetus_auratus ENSMAUG00000007174
nannospalax_galili ENSNGAG00000010118
jaculus_jaculus ENSJJAG00000019647
chinchilla_lanigera ENSCLAG00000015093
octodon_degus ENSODEG00000000862
cavia_porcellus ENSCPOG00000032705
cavia_aperea ENSCAPG00000001195
heterocephalus_glaber ENSHGLG00000015356
heterocephalus_glaber ENSHGLG00100009906
fukomys_damarensis ENSFDAG00000000051
ictidomys_tridecemlineatus ENSSTOG00000012910
marmota_marmota ENSMMMG00000006062
urocitellus_parryii ENSUPAG00010016128
spermophilus_dauricus ENSSDAG00000003306
ochotona_princeps ENSOPRG00000004775
oryctolagus_cuniculus ENSOCUG00000006847
pteropus_vampyrus ENSPVAG00000011939
sorex_araneus ENSSARG00000001842
erinaceus_europaeus ENSEEUG00000015458
ornithorhynchus_anatinus ENSOANG00000014702
xenopus_tropicalis ENSXETG00000018472
