geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest  , AU_Ensembl , AU_ReconstructEnsembl , TreeBestPassTest   , EnsemblTreePassTest , ReconstructEnsemblTreePassTest , TreeBestBetter   , EnsemblBetter , ReconstructEnsemblBetter , REC_TreeBest  ,  REC_Ensembl , REC_ReconstructEnsembl  , Treebest_REC_is_best     , Ensembl_REC_is_best ,Ensembl_REC_reconstruct_is_best 
ENSGT00940000156370,6,0.0,0.776,0.227,0.227,1,1,1,1,0,0,4,4,4,0,0,0
ENSGT00530000063255,4,0.0,0.642,0.617,0.08,1,1,1,1,0,0,3,3,3,0,0,0
ENSGT00940000161512,6,-10.0,0.813,0.187,0.813,1,1,1,0,0,0,2,2,2,0,0,0
ENSGT00940000167505,5,100.0,0.598,0.5,0.571,1,1,1,1,0,0,2,2,0,0,0,1
ENSGT00390000008744,16,40.0,0.34,0.66,7E-33,1,1,0,0,1,0,1,2,3,1,0,0
ENSGT00390000006227,8,66.67,0.03,0.97,0.03,0,1,0,0,1,0,5,5,5,0,0,0
ENSGT00940000153472,9,100.0,0.93,0.104,0.93,1,1,1,0,0,0,4,4,2,0,0,1
ENSGT00940000158027,8,66.67,0.617,0.691,0.134,1,1,1,0,1,0,6,6,6,0,0,0
ENSGT00910000147528,7,-10.0,0.04,0.277,0.887,0,1,1,0,0,1,5,5,5,0,0,0
ENSGT00950000183248,6,-10.0,0.413,0.137,0.413,1,1,1,0,0,0,1,1,1,0,0,0
ENSGT00940000157805,7,33.33,0.579,0.471,0.579,1,1,1,0,0,0,5,5,5,0,0,0
ENSGT00390000007890,6,50.0,0.466,0.491,0.466,1,1,1,0,1,0,3,3,3,0,0,0
ENSGT00940000162075,15,-10.0,0.092,0.017,0.949,1,0,1,0,0,1,2,2,4,0,0,0
ENSGT00940000160970,4,50.0,0.467,0.506,0.001,1,1,0,0,1,0,1,1,1,0,0,0
ENSGT00940000174692,11,0.0,0.538,0.584,0.538,1,1,1,0,1,0,2,2,3,0,0,0
ENSGT00940000171677,5,50.0,0.535,0.534,0.002,1,1,0,1,0,0,2,1,1,0,0,0
ENSGT00940000166658,16,45.45,0.124,0.876,"0,000000001",1,1,0,0,1,0,5,5,4,0,0,1
ENSGT00910000146899,10,100.0,0.593,0.43,0.001,1,1,0,1,0,0,8,8,7,0,0,1
ENSGT00940000178224,4,-10.0,0.495,0.504,0.495,1,1,1,0,1,0,1,1,2,0,0,0
ENSGT00950000183312,11,-10.0,0.716,0.284,0.716,1,1,1,0,0,0,8,8,9,0,0,0
ENSGT00940000176078,13,-10.0,0.343,0.468,0.625,1,1,1,0,0,1,4,3,2,0,0,1
ENSGT00940000157459,19,60.0,0.928,0.072,0.928,1,1,1,0,0,0,16,16,16,0,0,0
ENSGT00390000010512,10,50.0,0.046,0.734,0.434,0,1,1,0,1,0,6,6,5,0,0,1
ENSGT00940000159129,8,0.0,"0,00000005","0,00005",0.003,0,0,0,0,0,1,5,3,4,0,1,0
ENSGT00940000169756,3,0.0,0.487,0.504,0.465,1,1,1,0,1,0,2,2,2,0,0,0
ENSGT00530000063787,10,50.0,0.588,0.563,0.588,1,1,1,0,0,0,8,8,8,0,0,0
ENSGT00940000155347,7,16.67,0.748,0.469,"0,0000002",1,1,0,1,0,0,4,3,3,0,0,0
ENSGT00940000167924,8,-10.0,0.678,0.691,0.678,1,1,1,0,1,0,0,0,2,0,0,0
ENSGT00720000108834,11,20.0,0.457,0.706,0.706,1,1,1,0,0,0,4,4,4,0,0,0
ENSGT00940000164532,14,20.0,1.0,"0,0000009",0.0003,1,0,0,1,0,0,10,10,10,0,0,0
ENSGT00690000103118,14,-10.0,0.752,0.248,0.752,1,1,1,0,0,0,0,0,2,0,0,0
ENSGT00940000154956,19,63.64,0.972,6E-48,0.972,1,0,1,0,0,0,15,15,16,0,0,0
ENSGT00940000163213,12,25.0,0.486,0.514,4E-87,1,1,0,0,1,0,10,9,10,0,1,0
ENSGT00940000178277,4,-10.0,0.488,0.535,0.488,1,1,1,0,1,0,2,2,2,0,0,0
ENSGT00390000003337,10,50.0,0.721,0.13,0.475,1,1,1,1,0,0,6,6,4,0,0,1
ENSGT00940000161450,15,70.0,0.446,0.562,0.446,1,1,1,0,1,0,0,0,3,0,0,0
ENSGT00940000167355,6,50.0,0.055,0.946,0.055,1,1,1,0,1,0,3,3,4,0,0,0
ENSGT00940000168688,7,-10.0,0.139,0.868,0.139,1,1,1,0,1,0,1,1,1,0,0,0
ENSGT00940000160474,17,100.0,0.381,0.628,0.381,1,1,1,0,1,0,3,3,6,0,0,0
ENSGT00940000178375,3,-10.0,0.686,0.43,0.556,1,1,1,1,0,0,2,2,2,0,0,0
ENSGT00940000178042,9,66.67,0.465,0.536,0.465,1,1,1,0,1,0,0,0,2,0,0,0
ENSGT00960000186606,7,-10.0,0.125,0.436,0.027,1,1,0,0,1,0,0,1,1,1,0,0
ENSGT00940000163885,13,40.0,0.277,0.724,6E-48,1,1,0,0,1,0,11,10,10,0,0,0
ENSGT00940000166522,9,16.67,0.551,0.535,0.62,1,1,1,0,0,1,1,2,2,1,0,0
ENSGT00940000177785,5,-10.0,0.203,0.565,0.203,1,1,1,0,1,0,0,0,1,0,0,0
ENSGT00940000177296,3,-10.0,0.513,0.459,0.513,1,1,1,0,0,0,1,1,1,0,0,0
ENSGT00910000146517,7,-10.0,0.038,0.962,0.038,0,1,0,0,1,0,5,5,5,0,0,0
ENSGT00940000178325,6,-10.0,0.687,0.491,0.687,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00390000008931,10,33.33,0.326,0.684,0.324,1,1,1,0,1,0,8,8,8,0,0,0
ENSGT00390000016470,11,50.0,0.599,0.402,"0,0000006",1,1,0,1,0,0,9,8,9,0,1,0
ENSGT00940000167593,8,-10.0,0.0,0.0,0.0,0,0,0,0,0,0,5,1,0,0,0,1
ENSGT00940000167230,5,0.0,0.542,0.597,4E-41,1,1,0,0,1,0,3,2,2,0,0,0
ENSGT00940000159656,7,0.0,0.661,0.061,0.661,1,1,1,0,0,0,4,4,5,0,0,0
ENSGT00940000155474,14,16.67,0.001,0.989,0.003,0,1,0,0,1,0,2,3,4,1,0,0
ENSGT00940000178658,3,-10.0,0.522,0.474,0.522,1,1,1,0,0,0,0,0,1,0,0,0
ENSGT00940000168285,3,0.0,0.501,0.492,0.464,1,1,1,1,0,0,1,1,0,0,0,1
ENSGT00640000091497,4,66.67,0.504,0.472,0.504,1,1,1,0,0,0,1,1,0,0,0,1
ENSGT00390000003246,4,0.0,0.487,0.478,0.487,1,1,1,0,0,0,1,1,0,0,0,1
ENSGT00940000163053,9,100.0,0.734,0.294,0.0001,1,1,0,1,0,0,5,5,4,0,0,1
ENSGT00390000012605,10,33.33,0.528,0.555,0.528,1,1,1,0,1,0,7,7,7,0,0,0
ENSGT00950000183132,25,75.0,0.651,"0,00001",0.353,1,0,1,1,0,0,6,6,9,0,0,0
,,,,,,85,81,64,26,35,7,374,371,393,9,6,17
,,,,,,"90,4255319149","86,170212766","68,085106383",,,,,,,"28,125","18,75","53,125"
