MELEAGRISGALLOPAVO	meleagris_gallopavo
SUSSCROFA	sus_scrofa
VICUGNAPACOS	vicugna_pacos
PROCAVIACAPENSIS	procavia_capensis
ECHINOPSTELFAIRI	echinops_telfairi
LOXODONTAAFRICANA	loxodonta_africana
CHOLOEPUSHOFFMANNI	choloepus_hoffmanni
DASYPUSNOVEMCINCTUS	dasypus_novemcinctus
NOTAMACROPUSEUGENII	notamacropus_eugenii
LATIMERIACHALUMNAE	latimeria_chalumnae
CALLORHINCHUSMILII	callorhinchus_milii
CIONAINTESTINALIS	ciona_intestinalis
CIONAINTESTINALIS	ciona_intestinalis
CIONASAVIGNYI	ciona_savignyi
SACCHAROMYCESCEREVISIAE	saccharomyces_cerevisiae
