,ENSCSET00000009235_ENSCSEG00000005853,ENSGWIT00000013068_ENSGWIG00000006873,ENSGWIT00000013070_ENSGWIG00000006873,ENSGWIT00000013071_ENSGWIG00000006873,ENSMALT00000017917_ENSMALG00000012259,ENSMALT00000017935_ENSMALG00000012259,ENSMALT00000017948_ENSMALG00000012259,ENSBSLT00000051508_ENSBSLG00000022328,ENSPFOT00000009724_ENSPFOG00000009761,ENSPFOT00000022436_ENSPFOG00000009761,ENSPMET00000012292_ENSPMEG00000003637,ENSPMET00000012299_ENSPMEG00000003637,ENSPMET00000012308_ENSPMEG00000003637,ENSPLAT00000028674_ENSPLAG00000023878,ENSPLAT00000032149_ENSPLAG00000023878,ENSPRET00000023147_ENSPREG00000015469,ENSPRET00000023153_ENSPREG00000015469,ENSXMAT00000037708_ENSXMAG00000022972,ENSXMAT00000021100_ENSXMAG00000022972,ENSXCOT00000002065_ENSXCOG00000001640,ENSGAFT00000025119_ENSGAFG00000016779,ENSGAFT00000025121_ENSGAFG00000016779,ENSFHET00000013376_ENSFHEG00000002495,ENSFHET00000013380_ENSFHEG00000002495,ENSFHET00000013390_ENSFHEG00000002495,ENSFHET00000013401_ENSFHEG00000002495,ENSCVAT00000007527_ENSCVAG00000006242,ENSKMAT00000005746_ENSKMAG00000004296,ENSKMAT00000005765_ENSKMAG00000004296,ENSORLT00000039387_ENSORLG00000022969
ENSPLAT00000028674_ENSPLAG00000023878,0.73,0.69,0.56,0.5,0.78,0.75,0.77,0.69,0.95,0.82,0.93,0.95,0.93,1.0,0.91,0.91,0.94,0.9,0.92,0.84,0.92,0.9,0.84,0.83,0.84,0.87,0.86,0.8,0.82,0.7
ENSPLAT00000032149_ENSPLAG00000023878,0.68,0.64,0.53,0.49,0.73,0.73,0.72,0.7,0.9,0.82,0.9,0.9,0.9,0.91,1.0,0.89,0.89,0.87,0.87,0.85,0.87,0.87,0.82,0.8,0.82,0.82,0.82,0.77,0.77,0.68
ENSPRET00000023147_ENSPREG00000015469,0.72,0.66,0.55,0.49,0.75,0.77,0.76,0.69,0.92,0.81,0.92,0.92,0.94,0.91,0.89,1.0,0.94,0.92,0.9,0.84,0.9,0.92,0.84,0.83,0.86,0.84,0.86,0.81,0.79,0.7
ENSPRET00000023153_ENSPREG00000015469,0.72,0.69,0.55,0.49,0.77,0.75,0.76,0.69,0.94,0.81,0.92,0.94,0.92,0.94,0.89,0.94,1.0,0.9,0.92,0.84,0.92,0.9,0.84,0.83,0.84,0.86,0.86,0.79,0.81,0.7
ENSXMAT00000037708_ENSXMAG00000022972,0.72,0.66,0.55,0.48,0.74,0.77,0.76,0.68,0.9,0.78,0.9,0.9,0.92,0.9,0.87,0.92,0.9,1.0,0.94,0.87,0.9,0.93,0.83,0.82,0.85,0.83,0.85,0.81,0.78,0.7
ENSXMAT00000021100_ENSXMAG00000022972,0.72,0.68,0.55,0.48,0.77,0.74,0.76,0.68,0.92,0.78,0.9,0.92,0.9,0.92,0.87,0.9,0.92,0.94,1.0,0.87,0.93,0.9,0.83,0.82,0.83,0.85,0.85,0.78,0.81,0.7
ENSXCOT00000002065_ENSXCOG00000001640,0.64,0.58,0.49,0.5,0.68,0.68,0.69,0.67,0.84,0.8,0.84,0.84,0.84,0.84,0.85,0.84,0.84,0.87,0.87,1.0,0.85,0.85,0.77,0.76,0.77,0.77,0.78,0.72,0.72,0.63
ENSGAFT00000025119_ENSGAFG00000016779,0.72,0.68,0.55,0.48,0.77,0.75,0.76,0.68,0.92,0.79,0.9,0.92,0.9,0.92,0.87,0.9,0.92,0.9,0.93,0.85,1.0,0.94,0.84,0.83,0.84,0.86,0.85,0.79,0.81,0.7
ENSGAFT00000025121_ENSGAFG00000016779,0.72,0.66,0.55,0.48,0.75,0.77,0.76,0.68,0.9,0.79,0.9,0.9,0.92,0.9,0.87,0.92,0.9,0.93,0.9,0.85,0.94,1.0,0.84,0.82,0.86,0.84,0.85,0.81,0.79,0.7
ENSFHET00000013376_ENSFHEG00000002495,0.71,0.65,0.54,0.47,0.73,0.73,0.75,0.7,0.84,0.72,0.86,0.84,0.84,0.84,0.82,0.84,0.84,0.83,0.83,0.77,0.84,0.84,1.0,0.92,0.94,0.94,0.85,0.8,0.8,0.69
ENSFHET00000013380_ENSFHEG00000002495,0.69,0.63,0.53,0.46,0.72,0.72,0.72,0.69,0.83,0.71,0.82,0.83,0.83,0.83,0.8,0.83,0.83,0.82,0.82,0.76,0.83,0.82,0.92,1.0,0.92,0.92,0.82,0.78,0.78,0.67
ENSFHET00000013390_ENSFHEG00000002495,0.71,0.65,0.54,0.47,0.73,0.76,0.75,0.7,0.84,0.72,0.84,0.84,0.87,0.84,0.82,0.86,0.84,0.85,0.83,0.77,0.84,0.86,0.94,0.92,1.0,0.94,0.85,0.82,0.8,0.69
ENSFHET00000013401_ENSFHEG00000002495,0.71,0.67,0.54,0.47,0.76,0.73,0.75,0.7,0.87,0.72,0.84,0.87,0.84,0.87,0.82,0.84,0.86,0.83,0.85,0.77,0.86,0.84,0.94,0.92,0.94,1.0,0.85,0.8,0.82,0.69
ENSCVAT00000007527_ENSCVAG00000006242,0.73,0.67,0.56,0.48,0.76,0.76,0.77,0.69,0.86,0.73,0.86,0.86,0.86,0.86,0.82,0.86,0.86,0.85,0.85,0.78,0.85,0.85,0.85,0.82,0.85,0.85,1.0,0.8,0.8,0.73
ENSKMAT00000005746_ENSKMAG00000004296,0.73,0.67,0.56,0.5,0.75,0.77,0.76,0.69,0.8,0.65,0.8,0.8,0.82,0.8,0.77,0.81,0.79,0.81,0.78,0.72,0.79,0.81,0.8,0.78,0.82,0.8,0.8,1.0,0.95,0.71
ENSKMAT00000005765_ENSKMAG00000004296,0.73,0.7,0.56,0.5,0.78,0.75,0.76,0.69,0.82,0.65,0.8,0.82,0.8,0.82,0.77,0.79,0.81,0.78,0.81,0.72,0.81,0.79,0.8,0.78,0.8,0.82,0.8,0.95,1.0,0.71
ENSORLT00000039387_ENSORLG00000022969,0.7,0.65,0.53,0.45,0.72,0.72,0.74,0.64,0.71,0.55,0.7,0.7,0.7,0.7,0.68,0.7,0.7,0.7,0.7,0.63,0.7,0.7,0.69,0.67,0.69,0.69,0.73,0.71,0.71,1.0
