,ENSAHAT00000008308_ENSAHAG00000005522,ENSAHAT00000008311_ENSAHAG00000005522,ENSAHAT00000008325_ENSAHAG00000005522,ENSAHAT00000008356_ENSAHAG00000005522,ENSAHAT00000008375_ENSAHAG00000005522,ENSAOWT00000032439_ENSAOWG00000019289,ENSAOWT00000032440_ENSAOWG00000019289,ENSAOWT00000032442_ENSAOWG00000019289,ENSARWT00000019779_ENSARWG00000011968,ENSDNVT00000007356_ENSDNVG00000004364,ENSNPET00000021018_ENSNPEG00000015029,ENSNPET00000021038_ENSNPEG00000015029,ENSNPET00000021073_ENSNPEG00000015029,ENSNPET00000021089_ENSNPEG00000015029,ENSNPET00000021093_ENSNPEG00000015029,ENSCPUT00000030240_ENSCPUG00000017316,ENSCPUT00000030241_ENSCPUG00000017316,ENSCPUT00000030242_ENSCPUG00000017316,ENSCPUT00000030244_ENSCPUG00000017316,ENSCPUT00000030245_ENSCPUG00000017316,ENSCPUT00000030252_ENSCPUG00000017316,ENSCPUT00000030254_ENSCPUG00000017316,ENSCPUT00000030255_ENSCPUG00000017316,ENSCPUT00000030256_ENSCPUG00000017316,ENSCPGT00000028508_ENSCPGG00000017964,ENSCPGT00000028560_ENSCPGG00000017964,ENSCPGT00000028562_ENSCPGG00000017964,ENSCPGT00000028563_ENSCPGG00000017964,ENSZALT00000005102_ENSZALG00000003213
ENSNPET00000021018_ENSNPEG00000015029,0.77,0.72,0.72,0.72,0.7,0.76,0.72,0.69,0.76,0.76,1.0,0.91,0.9,0.9,0.91,0.67,0.67,0.67,0.65,0.63,0.74,0.69,0.69,0.75,0.7,0.74,0.68,0.66,0.74
ENSNPET00000021038_ENSNPEG00000015029,0.74,0.74,0.7,0.7,0.7,0.73,0.74,0.7,0.75,0.74,0.91,1.0,0.92,0.92,0.94,0.67,0.67,0.67,0.65,0.63,0.73,0.69,0.69,0.74,0.7,0.73,0.67,0.66,0.73
ENSNPET00000021073_ENSNPEG00000015029,0.74,0.73,0.69,0.7,0.7,0.73,0.73,0.7,0.74,0.73,0.9,0.92,1.0,0.94,0.92,0.67,0.67,0.67,0.64,0.63,0.72,0.68,0.68,0.73,0.7,0.72,0.67,0.66,0.72
ENSNPET00000021089_ENSNPEG00000015029,0.74,0.74,0.7,0.7,0.7,0.73,0.74,0.7,0.75,0.74,0.9,0.92,0.94,1.0,0.92,0.67,0.67,0.67,0.64,0.63,0.73,0.69,0.69,0.73,0.7,0.73,0.67,0.66,0.72
ENSNPET00000021093_ENSNPEG00000015029,0.75,0.75,0.7,0.7,0.7,0.74,0.75,0.7,0.76,0.74,0.91,0.94,0.92,0.92,1.0,0.67,0.67,0.67,0.65,0.63,0.73,0.69,0.69,0.74,0.7,0.73,0.67,0.66,0.73
ENSCPUT00000030240_ENSCPUG00000017316,0.65,0.64,0.67,0.64,0.64,0.64,0.64,0.63,0.65,0.65,0.67,0.67,0.67,0.67,0.67,1.0,0.9,0.9,0.77,0.77,0.84,0.87,0.87,0.84,0.81,0.82,0.8,0.81,0.7
ENSCPUT00000030241_ENSCPUG00000017316,0.65,0.64,0.66,0.64,0.64,0.64,0.64,0.63,0.65,0.65,0.67,0.67,0.67,0.67,0.67,0.9,1.0,0.9,0.6,0.77,0.85,0.87,0.87,0.86,0.81,0.82,0.8,0.82,0.7
ENSCPUT00000030242_ENSCPUG00000017316,0.65,0.64,0.67,0.64,0.64,0.64,0.64,0.63,0.65,0.67,0.67,0.67,0.67,0.67,0.67,0.9,0.9,1.0,0.6,0.77,0.84,0.87,0.87,0.84,0.81,0.83,0.81,0.81,0.7
ENSCPUT00000030244_ENSCPUG00000017316,0.63,0.62,0.63,1e-18,1e-18,0.63,0.63,1e-18,0.63,0.63,0.65,0.65,0.64,0.64,0.65,0.77,0.6,0.6,1.0,0.9,0.79,0.79,0.79,0.79,0.56,0.78,1e-18,1e-18,0.63
ENSCPUT00000030245_ENSCPUG00000017316,0.63,0.62,0.63,1e-18,1e-18,0.63,0.63,1e-18,0.63,0.64,0.63,0.63,0.63,0.63,0.63,0.77,0.77,0.77,0.9,1.0,0.8,0.8,0.8,0.8,0.76,0.79,1e-18,1e-18,0.65
ENSCPUT00000030252_ENSCPUG00000017316,0.71,0.69,0.66,0.64,0.64,0.7,0.69,0.64,0.71,0.71,0.74,0.73,0.72,0.73,0.73,0.84,0.85,0.84,0.79,0.8,1.0,0.85,0.85,0.92,0.84,0.87,0.83,0.82,0.77
ENSCPUT00000030254_ENSCPUG00000017316,0.67,0.65,0.69,0.64,0.64,0.65,0.65,0.64,0.66,0.66,0.69,0.69,0.68,0.69,0.69,0.87,0.87,0.87,0.79,0.8,0.85,1.0,0.89,0.86,0.81,0.83,0.8,0.81,0.71
ENSCPUT00000030255_ENSCPUG00000017316,0.67,0.65,0.69,0.64,0.64,0.65,0.65,0.64,0.66,0.67,0.69,0.69,0.68,0.69,0.69,0.87,0.87,0.87,0.79,0.8,0.85,0.89,1.0,0.86,0.81,0.83,0.8,0.81,0.71
ENSCPUT00000030256_ENSCPUG00000017316,0.72,0.7,0.67,0.64,0.65,0.71,0.7,0.64,0.72,0.72,0.75,0.74,0.73,0.73,0.74,0.84,0.86,0.84,0.79,0.8,0.92,0.86,0.86,1.0,0.85,0.88,0.83,0.83,0.79
ENSCPGT00000028508_ENSCPGG00000017964,0.67,0.66,0.62,0.61,0.62,0.66,0.66,0.61,0.67,0.68,0.7,0.7,0.7,0.7,0.7,0.81,0.81,0.81,0.56,0.76,0.84,0.81,0.81,0.85,1.0,0.86,0.83,0.82,0.73
ENSCPGT00000028560_ENSCPGG00000017964,0.71,0.69,0.65,0.63,0.63,0.7,0.69,0.63,0.71,0.73,0.74,0.73,0.72,0.73,0.73,0.82,0.82,0.83,0.78,0.79,0.87,0.83,0.83,0.88,0.86,1.0,0.86,0.84,0.76
ENSCPGT00000028562_ENSCPGG00000017964,0.65,0.64,0.62,0.63,0.63,0.64,0.64,0.63,0.65,0.68,0.68,0.67,0.67,0.67,0.67,0.8,0.8,0.81,1e-18,1e-18,0.83,0.8,0.8,0.83,0.83,0.86,1.0,0.86,0.68
ENSCPGT00000028563_ENSCPGG00000017964,0.63,0.62,0.62,0.64,0.65,0.62,0.62,0.65,0.63,0.65,0.66,0.66,0.66,0.66,0.66,0.81,0.82,0.81,1e-18,1e-18,0.82,0.81,0.81,0.83,0.82,0.84,0.86,1.0,0.67
ENSZALT00000005102_ENSZALG00000003213,0.71,0.68,0.65,0.63,0.64,0.69,0.68,0.63,0.71,0.7,0.74,0.73,0.72,0.72,0.73,0.7,0.7,0.7,0.63,0.65,0.77,0.71,0.71,0.79,0.73,0.76,0.68,0.67,1.0
