,ENSVURT00010025493_ENSVURG00010017155,ENSPCIT00000026022_ENSPCIG00000016025,ENSPCIT00000026018_ENSPCIG00000016025,ENSSHAT00000009920_ENSSHAG00000008514,ENSMODT00000073730_ENSMODG00000016311,ENSCCNT00000037011_ENSCCNG00000027047,ENSCCNT00000037168_ENSCCNG00000027047,ENSCCNT00000037278_ENSCCNG00000027047,ENSPVIT00000013818_ENSPVIG00000006262,ENSPVIT00000014698_ENSPVIG00000006262,ENSNSUT00000027452_ENSNSUG00000018397,ENSNSUT00000027776_ENSNSUG00000018397,ENSNSUT00000027786_ENSNSUG00000018397,ENSNSUT00000027827_ENSNSUG00000018397,ENSNSUT00000027828_ENSNSUG00000018397,ENSNSUT00000027867_ENSNSUG00000018397,ENSNSUT00000027868_ENSNSUG00000018397,ENSGALT00000056316_ENSGALG00000037943,ENSGALT00000078523_ENSGALG00000037943,ENSCJPT00005017434_ENSCJPG00005010228,ENSCJPT00005017435_ENSCJPG00005010228,ENSNMET00000020317_ENSNMEG00000012159,ENSNMET00000020318_ENSNMEG00000012159,ENSNMET00000020319_ENSNMEG00000012159
ENSNSUT00000027452_ENSNSUG00000018397,0.71,0.71,0.68,0.7,0.7,0.7,0.7,0.7,0.75,0.75,1.0,0.89,0.9,0.89,0.87,0.92,0.91,0.73,0.72,0.73,0.72,0.73,0.72,0.72
ENSNSUT00000027776_ENSNSUG00000018397,0.75,0.75,0.72,0.75,0.74,0.73,0.72,0.73,0.77,0.77,0.89,1.0,0.95,0.95,0.94,0.92,0.93,0.74,0.76,0.74,0.76,0.74,0.73,0.76
ENSNSUT00000027786_ENSNSUG00000018397,0.76,0.75,0.73,0.75,0.75,0.75,0.73,0.74,0.77,0.78,0.9,0.95,1.0,0.95,0.93,0.93,0.94,0.74,0.76,0.75,0.77,0.75,0.73,0.77
ENSNSUT00000027827_ENSNSUG00000018397,0.76,0.75,0.73,0.75,0.75,0.74,0.73,0.73,0.77,0.77,0.89,0.95,0.95,1.0,0.94,0.93,0.93,0.74,0.76,0.74,0.77,0.74,0.73,0.77
ENSNSUT00000027828_ENSNSUG00000018397,0.74,0.74,0.71,0.74,0.74,0.73,0.71,0.72,0.76,0.76,0.87,0.94,0.93,0.94,1.0,0.91,0.92,0.73,0.75,0.73,0.75,0.73,0.72,0.75
ENSNSUT00000027867_ENSNSUG00000018397,0.74,0.75,0.72,0.74,0.74,0.74,0.73,0.73,0.75,0.76,0.92,0.92,0.93,0.93,0.91,1.0,0.97,0.73,0.76,0.74,0.76,0.74,0.73,0.76
ENSNSUT00000027868_ENSNSUG00000018397,0.75,0.75,0.72,0.75,0.75,0.74,0.73,0.73,0.76,0.76,0.91,0.93,0.94,0.93,0.92,0.97,1.0,0.74,0.76,0.74,0.77,0.74,0.73,0.77
ENSGALT00000056316_ENSGALG00000037943,0.74,0.74,0.72,0.74,0.73,0.75,0.73,0.73,0.74,0.77,0.73,0.74,0.74,0.74,0.73,0.73,0.74,1.0,0.96,0.95,0.93,0.95,0.93,0.93
ENSGALT00000078523_ENSGALG00000037943,0.77,0.77,0.75,0.77,0.76,0.78,0.75,0.76,0.74,0.76,0.72,0.76,0.76,0.76,0.75,0.76,0.76,0.96,1.0,0.93,0.95,0.93,0.92,0.96
ENSCJPT00005017434_ENSCJPG00005010228,0.75,0.74,0.72,0.75,0.73,0.76,0.73,0.74,0.74,0.77,0.73,0.74,0.75,0.74,0.73,0.74,0.74,0.95,0.93,1.0,0.96,0.94,0.92,0.92
ENSCJPT00005017435_ENSCJPG00005010228,0.77,0.77,0.75,0.77,0.76,0.79,0.76,0.76,0.74,0.75,0.72,0.76,0.77,0.77,0.75,0.76,0.77,0.93,0.95,0.96,1.0,0.92,0.91,0.95
ENSNMET00000020317_ENSNMEG00000012159,0.73,0.73,0.71,0.74,0.73,0.75,0.73,0.74,0.74,0.77,0.73,0.74,0.75,0.74,0.73,0.74,0.74,0.95,0.93,0.94,0.92,1.0,0.96,0.96
ENSNMET00000020318_ENSNMEG00000012159,0.72,0.72,0.7,0.72,0.71,0.74,0.72,0.72,0.72,0.75,0.72,0.73,0.73,0.73,0.72,0.73,0.73,0.93,0.92,0.92,0.91,0.96,1.0,0.94
ENSNMET00000020319_ENSNMEG00000012159,0.76,0.76,0.74,0.77,0.76,0.78,0.76,0.76,0.75,0.76,0.72,0.76,0.77,0.77,0.75,0.76,0.77,0.93,0.96,0.92,0.95,0.96,0.94,1.0
