,ENSPCIT00000025027_ENSPCIG00000015443,ENSPCIT00000025018_ENSPCIG00000015443,ENSVURT00010031309_ENSVURG00010020936,ENSVURT00010031321_ENSVURG00010020936,ENSVURT00010031358_ENSVURG00010020936,ENSVURT00010031365_ENSVURG00010020936,ENSMODT00000036248_ENSMODG00000015995,ENSMODT00000085325_ENSMODG00000015995,ENSPTRT00000024341_ENSPTRG00000013115,ENSPTRT00000090523_ENSPTRG00000013115,ENSPTRT00000107793_ENSPTRG00000013115,ENST00000401884_ENSG00000162804,ENST00000405547_ENSG00000162804,ENST00000310397_ENSG00000162804,ENST00000342631_ENSG00000162804,ENSPPYT00000015528_ENSPPYG00000013346,ENSNLET00000017482_ENSNLEG00000013708,ENSNLET00000035082_ENSNLEG00000013708,ENSNLET00000042168_ENSNLEG00000013708,ENSNLET00000042742_ENSNLEG00000013708,ENSPTET00000052410_ENSPTEG00000036083,ENSPTET00000052411_ENSPTEG00000036083
ENSPTRT00000107793_ENSPTRG00000013115,0.68,0.69,0.62,0.61,0.63,0.63,0.71,0.71,0.97,0.96,1.0,0.95,0.96,0.95,0.83,0.93,0.9,0.89,0.92,0.8,0.92,0.93
ENST00000401884_ENSG00000162804,0.67,0.69,0.62,0.61,0.62,0.63,0.71,0.73,0.94,0.94,0.95,1.0,0.96,0.96,0.84,0.94,0.91,0.9,0.91,0.79,0.93,0.93
ENST00000405547_ENSG00000162804,0.69,0.69,0.63,0.62,0.63,0.63,0.73,0.71,0.95,0.96,0.96,0.96,1.0,0.97,0.85,0.95,0.92,0.91,0.92,0.8,0.94,0.95
ENST00000310397_ENSG00000162804,0.69,0.69,0.64,0.62,0.63,0.63,0.73,0.7,0.96,0.96,0.95,0.96,0.97,1.0,0.85,0.96,0.93,0.92,0.91,0.8,0.95,0.94
ENST00000342631_ENSG00000162804,0.59,0.6,0.63,0.61,0.64,0.63,0.61,0.6,0.83,0.83,0.83,0.84,0.85,0.85,1.0,0.83,0.81,0.81,0.82,0.86,0.82,0.81
ENSPPYT00000015528_ENSPPYG00000013346,0.68,0.69,0.64,0.62,0.63,0.63,0.73,0.7,0.94,0.95,0.93,0.94,0.95,0.96,0.83,1.0,0.92,0.91,0.9,0.8,0.94,0.93
ENSNLET00000017482_ENSNLEG00000013708,0.66,0.67,0.63,0.62,0.62,0.61,0.7,0.68,0.91,0.92,0.9,0.91,0.92,0.93,0.81,0.92,1.0,0.97,0.95,0.83,0.91,0.91
ENSNLET00000035082_ENSNLEG00000013708,0.66,0.66,0.62,0.61,0.61,0.61,0.7,0.67,0.91,0.91,0.89,0.9,0.91,0.92,0.81,0.91,0.97,1.0,0.95,0.83,0.9,0.9
ENSNLET00000042168_ENSNLEG00000013708,0.66,0.67,0.61,0.6,0.63,0.62,0.69,0.69,0.9,0.9,0.92,0.91,0.92,0.91,0.82,0.9,0.95,0.95,1.0,0.84,0.9,0.91
ENSNLET00000042742_ENSNLEG00000013708,0.58,0.59,0.61,0.6,0.61,0.6,0.59,0.57,0.8,0.8,0.8,0.79,0.8,0.8,0.86,0.8,0.83,0.83,0.84,1.0,0.8,0.8
ENSPTET00000052410_ENSPTEG00000036083,0.68,0.69,0.64,0.63,0.63,0.63,0.73,0.71,0.93,0.94,0.92,0.93,0.94,0.95,0.82,0.94,0.91,0.9,0.9,0.8,1.0,0.97
ENSPTET00000052411_ENSPTEG00000036083,0.69,0.69,0.64,0.62,0.64,0.64,0.73,0.72,0.93,0.93,0.93,0.93,0.95,0.94,0.81,0.93,0.91,0.9,0.91,0.8,0.97,1.0
