,FBtr0088941_FBgn0033210,H20J04.8.1_WBGene00003390,H20J04.8.2_WBGene00003390,ENSPVIT00000006750_ENSPVIG00000004298,ENSPVIT00000006751_ENSPVIG00000004298,ENSACAT00000003179_ENSACAG00000003173,ENSNSUT00000002881_ENSNSUG00000002204,ENSSMRT00000033784_ENSSMRG00000022283,ENSSPUT00000015072_ENSSPUG00000010899,ENSNPET00000011076_ENSNPEG00000008121,ENSNPET00000011079_ENSNPEG00000008121,ENSCPGT00000021985_ENSCPGG00000014058,ENSGALT00000011612_ENSGALG00000007170,ENSGALT00000089609_ENSGALG00000007170,ENSCJPT00005036055_ENSCJPG00005020683,ENSCJPT00005036072_ENSCJPG00005020683,ENSNMET00000040040_ENSNMEG00000023218,ENSMUNT00000012773_ENSMUNG00000008682,ENSCCET00000013806_ENSCCEG00000008909,ENSFALT00000010683_ENSFALG00000010195,ENSSCAT00000014450_ENSSCAG00000009581,ENSJHYT00000021084_ENSJHYG00000013338,ENSJHYT00000021090_ENSJHYG00000013338,ENSLCOT00000007402_ENSLCOG00000005126,ENSMVIT00005016662_ENSMVIG00005010619,ENSPMJT00000016788_ENSPMJG00000009778,ENSPMJT00000016790_ENSPMJG00000009778
ENSNMET00000040040_ENSNMEG00000023218,0.36,0.37,0.37,0.77,0.73,0.77,0.77,0.77,0.74,0.76,0.66,0.88,0.95,0.86,0.82,0.9,1.0,0.82,0.85,0.85,0.84,0.8,0.72,0.85,0.85,0.86,0.77
ENSMUNT00000012773_ENSMUNG00000008682,0.41,0.38,0.38,0.74,0.7,0.73,0.75,0.74,0.72,0.74,0.67,0.86,0.82,0.76,0.75,0.8,0.82,1.0,0.83,0.84,0.82,0.77,0.73,0.83,0.83,0.84,0.79
ENSCCET00000013806_ENSCCEG00000008909,0.43,0.36,0.36,0.77,0.72,0.75,0.77,0.75,0.74,0.78,0.69,0.87,0.84,0.75,0.71,0.82,0.85,0.83,1.0,0.95,0.93,0.88,0.8,0.9,0.9,0.97,0.88
ENSFALT00000010683_ENSFALG00000010195,0.45,0.38,0.38,0.77,0.73,0.75,0.78,0.76,0.74,0.78,0.69,0.87,0.84,0.75,0.71,0.82,0.85,0.84,0.95,1.0,0.92,0.88,0.8,0.9,0.9,0.95,0.85
ENSSCAT00000014450_ENSSCAG00000009581,0.48,0.39,0.39,0.76,0.72,0.73,0.76,0.74,0.73,0.79,0.71,0.87,0.83,0.75,0.7,0.82,0.84,0.82,0.93,0.92,1.0,0.91,0.84,0.91,0.91,0.93,0.84
ENSJHYT00000021084_ENSJHYG00000013338,0.5,0.38,0.38,0.71,0.72,0.69,0.7,0.7,0.73,0.75,0.67,0.81,0.79,0.71,0.67,0.77,0.8,0.77,0.88,0.88,0.91,1.0,0.88,0.85,0.85,0.87,0.8
ENSJHYT00000021090_ENSJHYG00000013338,0.5,0.38,0.38,0.61,0.61,0.59,0.61,0.62,0.66,0.67,0.71,0.74,0.71,0.75,0.69,0.69,0.72,0.73,0.8,0.8,0.84,0.88,1.0,0.79,0.79,0.8,0.85
ENSLCOT00000007402_ENSLCOG00000005126,0.46,0.39,0.39,0.77,0.73,0.75,0.78,0.76,0.75,0.79,0.7,0.88,0.84,0.75,0.71,0.82,0.85,0.83,0.9,0.9,0.91,0.85,0.79,1.0,0.97,0.91,0.82
ENSMVIT00005016662_ENSMVIG00005010619,0.45,0.38,0.38,0.77,0.73,0.75,0.78,0.76,0.75,0.78,0.69,0.88,0.84,0.75,0.71,0.82,0.85,0.83,0.9,0.9,0.91,0.85,0.79,0.97,1.0,0.91,0.82
ENSPMJT00000016788_ENSPMJG00000009778,0.43,0.37,0.37,0.78,0.73,0.76,0.78,0.76,0.74,0.78,0.69,0.88,0.85,0.76,0.71,0.82,0.86,0.84,0.97,0.95,0.93,0.87,0.8,0.91,0.91,1.0,0.89
ENSPMJT00000016790_ENSPMJG00000009778,0.43,0.37,0.37,0.67,0.63,0.66,0.69,0.68,0.67,0.69,0.75,0.8,0.76,0.82,0.74,0.73,0.77,0.79,0.88,0.85,0.84,0.8,0.85,0.82,0.82,0.89,1.0
