,ENSATET00000012592_ENSATEG00000008650,ENSMAMT00000015759_ENSMAMG00000010392,ENSMAMT00000015764_ENSMAMG00000010392,ENSPRNT00000011509_ENSPRNG00000006089,ENSXCOT00000011927_ENSXCOG00000008913,ENSLBET00000008613_ENSLBEG00000006330,ENSHHUT00000005806_ENSHHUG00000003460,ENSHHUT00000019256_ENSHHUG00000011595,ENSDNVT00000021903_ENSDNVG00000012731,ENSNPET00000011700_ENSNPEG00000008567,ENSAOWT00000015686_ENSAOWG00000009427,ENSAOWT00000015688_ENSAOWG00000009427,ENSARWT00000015738_ENSARWG00000009521,ENSARWT00000015739_ENSARWG00000009521,ENSAHAT00000028317_ENSAHAG00000017927,ENSCPGT00000023148_ENSCPGG00000014762,ENSCPUT00000032154_ENSCPUG00000018386,ENSGALT00000050934_ENSGALG00000029244,ENSGALT00000092477_ENSGALG00000029244,ENSCJPT00005029636_ENSCJPG00005017273,ENSNMET00000011594_ENSNMEG00000007047,ENSNMET00000011596_ENSNMEG00000007047
ENSARWT00000015738_ENSARWG00000009521,0.53,0.48,0.53,0.5,0.49,0.58,0.44,0.45,0.88,0.85,0.89,0.92,1.0,0.92,0.91,0.82,0.8,0.78,0.78,0.77,0.75,0.75
ENSARWT00000015739_ENSARWG00000009521,0.52,0.47,0.53,0.51,0.48,0.51,0.44,0.45,0.89,0.85,0.9,0.93,0.92,1.0,0.93,0.82,0.8,0.78,0.78,0.78,0.75,0.75
ENSAHAT00000028317_ENSAHAG00000017927,1e-18,0.45,0.49,1e-18,0.44,1e-18,0.45,0.46,0.88,0.85,0.91,0.95,0.91,0.93,1.0,0.82,0.81,0.78,0.78,0.78,0.76,0.76
ENSCPGT00000023148_ENSCPGG00000014762,0.57,0.52,0.57,0.55,0.43,0.62,0.47,0.48,0.86,0.84,0.78,0.82,0.82,0.82,0.82,1.0,0.92,0.84,0.81,0.84,0.79,0.83
ENSCPUT00000032154_ENSCPUG00000018386,0.59,0.52,0.58,0.57,0.42,0.62,0.48,0.49,0.84,0.83,0.77,0.81,0.8,0.8,0.81,0.92,1.0,0.84,0.81,0.83,0.8,0.83
ENSGALT00000050934_ENSGALG00000029244,0.64,0.52,0.56,0.61,0.43,0.62,0.47,0.49,0.82,0.81,0.76,0.79,0.78,0.78,0.78,0.84,0.84,1.0,0.92,0.9,0.84,0.88
ENSGALT00000092477_ENSGALG00000029244,0.64,0.51,0.57,0.61,0.45,0.62,0.47,0.49,0.78,0.77,0.76,0.79,0.78,0.78,0.78,0.81,0.81,0.92,1.0,0.88,0.89,0.84
ENSCJPT00005029636_ENSCJPG00005017273,0.63,0.52,0.57,0.6,0.42,0.63,0.47,0.49,0.81,0.8,0.75,0.78,0.77,0.78,0.78,0.84,0.83,0.9,0.88,1.0,0.83,0.86
ENSNMET00000011594_ENSNMEG00000007047,0.66,0.49,0.57,0.63,0.46,0.62,0.46,0.47,0.76,0.75,0.73,0.76,0.75,0.75,0.76,0.79,0.8,0.84,0.89,0.83,1.0,0.92
ENSNMET00000011596_ENSNMEG00000007047,0.66,0.51,0.56,0.63,0.43,0.62,0.46,0.47,0.8,0.79,0.73,0.76,0.75,0.75,0.76,0.83,0.83,0.88,0.84,0.86,0.92,1.0
