,ENSSMRT00000022901_ENSSMRG00000015217,ENSSMRT00000022902_ENSSMRG00000015217,ENSPVIT00000003968_ENSPVIG00000002587,ENSPVIT00000003973_ENSPVIG00000002587,ENSPVIT00000003988_ENSPVIG00000002587,ENSSPUT00000002148_ENSSPUG00000001583,ENSSPUT00000002150_ENSSPUG00000001583,ENSMVIT00005008257_ENSMVIG00005005434,ENSLCOT00000018582_ENSLCOG00000012442,ENSPMJT00000006725_ENSPMJG00000004142,ENSPMJT00000006728_ENSPMJG00000004142,ENSCCET00000019047_ENSCCEG00000011829,ENSCCET00000019049_ENSCCEG00000011829,ENSFALT00000013072_ENSFALG00000012471,ENSJHYT00000025367_ENSJHYG00000015906,ENSJHYT00000025369_ENSJHYG00000015906,ENSCPGT00000025056_ENSCPGG00000015900,ENSCPGT00000025058_ENSCPGG00000015900,ENSCPUT00000017848_ENSCPUG00000010488,ENSCPUT00000017849_ENSCPUG00000010488,ENSGALT00000104400_ENSGALG00000047393,ENSGALT00000104695_ENSGALG00000047393,ENSGALT00000103409_ENSGALG00000047393,ENSCJPT00005013401_ENSCJPG00005007893,ENSNMET00000009080_ENSNMEG00000005559,ENSNMET00000009081_ENSNMEG00000005559,ENSMUNT00000008808_ENSMUNG00000006103,ENSARWT00000030511_ENSARWG00000018239,ENSAOWT00000005404_ENSAOWG00000003312,ENSDNVT00000026875_ENSDNVG00000015520,ENSDNVT00000026878_ENSDNVG00000015520
ENSPMJT00000006728_ENSPMJG00000004142,0.55,0.55,0.53,0.52,0.56,0.54,0.51,0.66,0.68,0.88,1.0,0.82,0.83,0.74,0.73,0.74,0.62,0.62,0.62,0.62,0.63,0.63,0.64,0.62,0.65,0.65,0.62,0.57,0.57,0.61,0.57
ENSCCET00000019047_ENSCCEG00000011829,0.55,0.55,0.53,0.52,0.54,0.54,0.52,0.66,0.67,0.82,0.82,1.0,0.83,0.72,0.72,0.72,0.6,0.61,0.6,0.61,0.62,0.62,0.63,0.61,0.64,0.64,0.62,0.58,0.57,0.62,0.59
ENSCCET00000019049_ENSCCEG00000011829,0.47,0.56,0.52,0.52,0.54,0.48,0.46,0.65,0.66,0.83,0.83,0.83,1.0,0.7,0.72,0.72,0.61,0.61,0.61,0.61,0.6,0.6,0.62,0.6,0.62,0.62,0.61,0.54,0.54,0.59,0.57
ENSFALT00000013072_ENSFALG00000012471,0.53,0.54,0.58,0.55,0.56,0.55,0.51,0.67,0.65,0.73,0.74,0.72,0.7,1.0,0.72,0.73,0.6,0.61,0.61,0.62,0.62,0.62,0.63,0.62,0.63,0.63,0.65,0.58,0.57,0.63,0.58
ENSJHYT00000025367_ENSJHYG00000015906,0.48,0.55,0.52,0.49,0.55,0.45,0.42,0.66,0.73,0.75,0.73,0.72,0.72,0.72,1.0,0.88,0.67,0.67,0.67,0.67,0.65,0.66,0.68,0.66,0.67,0.67,0.62,0.56,0.55,0.59,0.56
ENSJHYT00000025369_ENSJHYG00000015906,0.55,0.56,0.53,0.5,0.55,0.53,0.5,0.66,0.74,0.73,0.74,0.72,0.72,0.73,0.88,1.0,0.67,0.69,0.67,0.69,0.68,0.68,0.69,0.67,0.68,0.68,0.63,0.6,0.59,0.61,0.56
ENSCPGT00000025056_ENSCPGG00000015900,0.47,0.54,0.5,0.48,0.53,0.5,0.47,0.71,0.75,0.63,0.62,0.6,0.61,0.6,0.67,0.67,1.0,0.88,0.88,0.87,0.72,0.72,0.74,0.74,0.71,0.71,0.69,0.69,0.67,0.72,0.68
ENSCPGT00000025058_ENSCPGG00000015900,0.54,0.55,0.51,0.49,0.53,0.57,0.55,0.71,0.77,0.62,0.62,0.61,0.61,0.61,0.67,0.69,0.88,1.0,0.87,0.88,0.74,0.74,0.76,0.76,0.73,0.73,0.71,0.73,0.72,0.74,0.69
ENSCPUT00000017848_ENSCPUG00000010488,0.47,0.54,0.5,0.49,0.52,0.5,0.47,0.71,0.75,0.63,0.62,0.6,0.61,0.61,0.67,0.67,0.88,0.87,1.0,0.88,0.72,0.72,0.74,0.74,0.71,0.71,0.7,0.69,0.67,0.72,0.68
ENSCPUT00000017849_ENSCPUG00000010488,0.54,0.55,0.51,0.49,0.53,0.58,0.55,0.71,0.77,0.62,0.62,0.61,0.61,0.62,0.67,0.69,0.87,0.88,0.88,1.0,0.74,0.74,0.76,0.76,0.72,0.72,0.72,0.73,0.72,0.74,0.7
ENSGALT00000104400_ENSGALG00000047393,0.49,0.55,0.52,0.51,0.55,0.5,0.47,0.67,0.74,0.61,0.63,0.62,0.6,0.62,0.65,0.68,0.72,0.74,0.72,0.74,1.0,0.92,0.9,0.83,0.83,0.83,0.66,0.63,0.62,0.68,0.64
ENSGALT00000104695_ENSGALG00000047393,0.49,0.55,0.52,0.51,0.55,0.5,0.47,0.68,0.74,0.62,0.63,0.62,0.6,0.62,0.66,0.68,0.72,0.74,0.72,0.74,0.92,1.0,0.9,0.83,0.83,0.83,0.67,0.63,0.62,0.68,0.64
ENSGALT00000103409_ENSGALG00000047393,0.55,0.56,0.53,0.52,0.56,0.58,0.56,0.71,0.76,0.63,0.64,0.63,0.62,0.63,0.68,0.69,0.74,0.76,0.74,0.76,0.9,0.9,1.0,0.85,0.82,0.82,0.71,0.68,0.67,0.72,0.68
ENSCJPT00005013401_ENSCJPG00005007893,0.53,0.54,0.51,0.49,0.54,0.57,0.55,0.68,0.74,0.61,0.62,0.61,0.6,0.62,0.66,0.67,0.74,0.76,0.74,0.76,0.83,0.83,0.85,1.0,0.8,0.8,0.69,0.68,0.66,0.7,0.66
ENSNMET00000009080_ENSNMEG00000005559,0.5,0.56,0.53,0.52,0.56,0.5,0.47,0.69,0.75,0.63,0.65,0.64,0.62,0.63,0.67,0.68,0.71,0.73,0.71,0.72,0.83,0.83,0.82,0.8,1.0,0.9,0.66,0.62,0.61,0.67,0.63
ENSNMET00000009081_ENSNMEG00000005559,0.5,0.56,0.53,0.52,0.56,0.5,0.47,0.69,0.75,0.63,0.65,0.64,0.62,0.63,0.67,0.68,0.71,0.73,0.71,0.72,0.83,0.83,0.82,0.8,0.9,1.0,0.66,0.62,0.61,0.67,0.63
ENSMUNT00000008808_ENSMUNG00000006103,0.43,0.5,0.54,0.52,0.52,0.51,0.48,0.72,0.71,0.62,0.62,0.62,0.61,0.65,0.62,0.63,0.69,0.71,0.7,0.72,0.66,0.67,0.71,0.69,0.66,0.66,1.0,0.63,0.61,0.69,0.64
ENSARWT00000030511_ENSARWG00000018239,0.38,0.45,0.45,0.45,0.46,0.48,0.45,0.65,0.68,0.55,0.57,0.58,0.54,0.58,0.56,0.6,0.69,0.73,0.69,0.73,0.63,0.63,0.68,0.68,0.62,0.62,0.63,1.0,0.86,0.79,0.75
ENSAOWT00000005404_ENSAOWG00000003312,0.37,0.44,0.43,0.43,0.44,0.48,0.45,0.63,0.66,0.54,0.57,0.57,0.54,0.57,0.55,0.59,0.67,0.72,0.67,0.72,0.62,0.62,0.67,0.66,0.61,0.61,0.61,0.86,1.0,0.78,0.74
ENSDNVT00000026875_ENSDNVG00000015520,0.44,0.52,0.54,0.52,0.53,0.56,0.52,0.71,0.71,0.59,0.61,0.62,0.59,0.63,0.59,0.61,0.72,0.74,0.72,0.74,0.68,0.68,0.72,0.7,0.67,0.67,0.69,0.79,0.78,1.0,0.86
ENSDNVT00000026878_ENSDNVG00000015520,0.42,0.5,0.5,0.49,0.5,0.55,0.55,0.66,0.67,0.56,0.57,0.59,0.57,0.58,0.56,0.56,0.68,0.69,0.68,0.7,0.64,0.64,0.68,0.66,0.63,0.63,0.64,0.75,0.74,0.86,1.0
